"Month","Day","Hour","hourly_abundance","hourly_biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
7,23,0,0,0,0,0,0,"LED Off","2024-07-23 00:00:00"
7,23,3,1,11.1690563553318,1,0,0,"LED Off","2024-07-23 03:00:00"
7,23,6,2,9.06515697132194,1,0,0,"LED Off","2024-07-23 06:00:00"
7,23,9,5,16.2917965218195,3,0,0,"LED Off","2024-07-23 09:00:00"
7,23,12,1,0,1,0,0,"LED Off","2024-07-23 12:00:00"
7,23,15,0,0,0,0,0,"LED Off","2024-07-23 15:00:00"
7,23,18,6,30.1269316211391,5,0,0,"LED Off","2024-07-23 18:00:00"
7,23,21,0,0,0,0,0,"LED Off","2024-07-23 21:00:00"
7,24,0,0,0,0,0,0,"LED Off","2024-07-24 00:00:00"
7,24,3,1,5.65752551775699,0,0,0,"LED Off","2024-07-24 03:00:00"
7,24,6,0,0,0,0,0,"LED Off","2024-07-24 06:00:00"
7,24,9,3,3.38627994160693,2,0,0,"LED Off","2024-07-24 09:00:00"
7,24,12,2,4.75828731147338,2,0,0,"LED Off","2024-07-24 12:00:00"
7,24,15,1,3.22797362412693,0,0,0,"LED Off","2024-07-24 15:00:00"
7,24,18,7,73.9017317048822,6,0,0,"LED Off","2024-07-24 18:00:00"
7,24,21,0,0,0,0,0,"LED Off","2024-07-24 21:00:00"
7,25,0,0,0,0,0,0,"LED Off","2024-07-25 00:00:00"
7,25,3,0,0,0,0,0,"LED Off","2024-07-25 03:00:00"
7,25,6,0,0,0,0,0,"LED Off","2024-07-25 06:00:00"
7,25,9,16,72.5999635939616,7,0,1,"LED Off","2024-07-25 09:00:00"
7,25,12,2,5.35821087587681,0,1,0,"LED Off","2024-07-25 12:00:00"
7,25,15,0,0,0,0,0,"LED Off","2024-07-25 15:00:00"
7,25,18,4,5.67450987925042,1,1,0,"LED Off","2024-07-25 18:00:00"
7,25,21,2,3.30337875802006,0,0,0,"LED Off","2024-07-25 21:00:00"
7,26,0,0,0,0,0,0,"LED Off","2024-07-26 00:00:00"
7,26,3,0,0,0,0,0,"LED Off","2024-07-26 03:00:00"
7,26,6,10,70.0733738478735,5,1,0,"LED Off","2024-07-26 06:00:00"
7,26,9,21,134.575347806038,7,1,2,"LED Off","2024-07-26 09:00:00"
7,26,12,1,37.2644632116589,0,0,0,"LED Off","2024-07-26 12:00:00"
7,26,15,0,0,0,0,0,"LED Off","2024-07-26 15:00:00"
7,26,18,5,13.9146408760589,3,0,0,"LED Off","2024-07-26 18:00:00"
7,26,21,0,0,0,0,0,"LED Off","2024-07-26 21:00:00"
7,27,0,0,0,0,0,0,"LED Off","2024-07-27 00:00:00"
7,27,3,0,0,0,0,0,"LED Off","2024-07-27 03:00:00"
7,27,6,9,66.8545102980991,6,0,0,"LED Off","2024-07-27 06:00:00"
7,27,9,18,61.916045033833,4,0,0,"LED Off","2024-07-27 09:00:00"
7,27,12,5,10.8042181403337,3,0,0,"LED Off","2024-07-27 12:00:00"
7,27,15,7,22.9001431881568,4,2,0,"LED Off","2024-07-27 15:00:00"
7,27,18,17,43.7467955301074,2,2,0,"LED Off","2024-07-27 18:00:00"
7,27,21,0,0,0,0,0,"LED Off","2024-07-27 21:00:00"
7,28,0,0,0,0,0,0,"LED Off","2024-07-28 00:00:00"
7,28,3,0,0,0,0,0,"LED Off","2024-07-28 03:00:00"
7,28,6,20,110.529574566212,13,2,0,"LED Off","2024-07-28 06:00:00"
7,28,9,1,9.24170909889685,1,0,0,"LED Off","2024-07-28 09:00:00"
7,28,12,4,7.07981495736784,1,0,0,"LED Off","2024-07-28 12:00:00"
7,28,15,5,6.76434915503634,2,1,0,"LED Off","2024-07-28 15:00:00"
7,28,18,6,79.5482437051226,2,1,0,"LED Off","2024-07-28 18:00:00"
7,28,21,1,2.09882399993009,0,0,0,"LED Off","2024-07-28 21:00:00"
7,29,0,0,0,0,0,0,"LED Off","2024-07-29 00:00:00"
7,29,3,0,0,0,0,0,"LED Off","2024-07-29 03:00:00"
7,29,6,1,0,0,0,0,"LED Off","2024-07-29 06:00:00"
7,29,9,4,24.4762883228207,3,0,0,"LED Off","2024-07-29 09:00:00"
7,29,12,0,0,0,0,0,"LED Off","2024-07-29 12:00:00"
7,29,15,5,10.1895416854807,3,0,0,"LED Off","2024-07-29 15:00:00"
