"Month","Day","Hour","hourly_abundance","hourly_biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
7,23,0,0,0,0,0,0,"LED Off","2024-07-23 00:00:00"
7,23,3,0,0,0,0,0,"LED Off","2024-07-23 03:00:00"
7,23,6,2,15.6839884763543,2,0,0,"LED Off","2024-07-23 06:00:00"
7,23,9,56,475.815225360224,50,2,0,"LED Off","2024-07-23 09:00:00"
7,23,12,16,103.935557667654,11,1,0,"LED Off","2024-07-23 12:00:00"
7,23,15,4,40.9396535043619,3,0,0,"LED Off","2024-07-23 15:00:00"
7,23,18,3,20.6082422195918,2,0,0,"LED Off","2024-07-23 18:00:00"
7,23,21,0,0,0,0,0,"LED Off","2024-07-23 21:00:00"
7,24,0,0,0,0,0,0,"LED Off","2024-07-24 00:00:00"
7,24,3,0,0,0,0,0,"LED Off","2024-07-24 03:00:00"
7,24,6,2,17.9834910674156,1,0,0,"LED Off","2024-07-24 06:00:00"
7,24,9,32,256.566071414869,28,2,0,"LED Off","2024-07-24 09:00:00"
7,24,12,6,64.871371309681,5,1,0,"LED Off","2024-07-24 12:00:00"
7,24,15,4,44.8453568029708,3,0,0,"LED Off","2024-07-24 15:00:00"
7,24,18,3,33.7830538546038,3,0,0,"LED Off","2024-07-24 18:00:00"
7,24,21,0,0,0,0,0,"LED Off","2024-07-24 21:00:00"
7,25,0,0,0,0,0,0,"LED Off","2024-07-25 00:00:00"
7,25,3,0,0,0,0,0,"LED Off","2024-07-25 03:00:00"
7,25,6,40,660.724276154294,34,1,0,"LED Off","2024-07-25 06:00:00"
7,25,9,81,1096.57471405107,66,9,1,"LED Off","2024-07-25 09:00:00"
7,25,12,14,91.5137939189338,5,1,1,"LED Off","2024-07-25 12:00:00"
7,25,15,1,70.431743842944,0,0,0,"LED Off","2024-07-25 15:00:00"
7,25,18,0,0,0,0,0,"LED Off","2024-07-25 18:00:00"
7,25,21,0,0,0,0,0,"LED Off","2024-07-25 21:00:00"
7,26,0,0,0,0,0,0,"LED Off","2024-07-26 00:00:00"
7,26,3,0,0,0,0,0,"LED Off","2024-07-26 03:00:00"
7,26,6,57,711.201569666167,46,6,1,"LED Off","2024-07-26 06:00:00"
7,26,9,52,615.660765664853,36,4,0,"LED Off","2024-07-26 09:00:00"
7,26,12,17,84.0295829941426,15,0,0,"LED Off","2024-07-26 12:00:00"
7,26,15,4,58.9622701854331,2,0,0,"LED Off","2024-07-26 15:00:00"
7,26,18,4,23.9248794441041,3,0,0,"LED Off","2024-07-26 18:00:00"
7,26,21,0,0,0,0,0,"LED Off","2024-07-26 21:00:00"
7,27,0,0,0,0,0,0,"LED Off","2024-07-27 00:00:00"
7,27,3,5,26.4892342993561,2,0,0,"LED Off","2024-07-27 03:00:00"
7,27,6,13,77.9335836658027,10,0,0,"LED Off","2024-07-27 06:00:00"
7,27,9,37,372.027394470591,32,0,1,"LED Off","2024-07-27 09:00:00"
7,27,12,31,198.775616739985,15,7,0,"LED Off","2024-07-27 12:00:00"
7,27,15,8,90.487508547154,4,2,0,"LED Off","2024-07-27 15:00:00"
