"Month","Day","Hour","hourly_abundance","hourly_biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
7,23,0,0,0,0,0,0,"LED Off","2024-07-23 00:00:00"
7,23,3,0,0,0,0,0,"LED Off","2024-07-23 03:00:00"
7,23,6,0,0,0,0,0,"LED Off","2024-07-23 06:00:00"
7,23,9,5,39.4830548364294,2,2,0,"LED Off","2024-07-23 09:00:00"
7,23,12,17,120.957647152578,11,0,0,"LED Off","2024-07-23 12:00:00"
7,23,15,6,53.7100254868608,1,3,0,"LED Off","2024-07-23 15:00:00"
7,23,18,6,45.7862402832743,5,0,0,"LED Off","2024-07-23 18:00:00"
7,23,21,0,0,0,0,0,"LED Off","2024-07-23 21:00:00"
7,24,0,0,0,0,0,0,"LED Off","2024-07-24 00:00:00"
7,24,3,0,0,0,0,0,"LED Off","2024-07-24 03:00:00"
7,24,6,0,0,0,0,0,"LED Off","2024-07-24 06:00:00"
7,24,9,6,44.5128153791791,5,0,0,"LED Off","2024-07-24 09:00:00"
7,24,12,8,53.7549620312291,5,0,0,"LED Off","2024-07-24 12:00:00"
7,24,15,26,261.410411614283,6,9,1,"LED Off","2024-07-24 15:00:00"
7,24,18,12,143.078551577102,6,0,0,"LED Off","2024-07-24 18:00:00"
7,24,21,0,0,0,0,0,"LED Off","2024-07-24 21:00:00"
7,25,0,0,0,0,0,0,"LED Off","2024-07-25 00:00:00"
7,25,3,0,0,0,0,0,"LED Off","2024-07-25 03:00:00"
7,25,6,4,99.9188843520845,4,0,0,"LED Off","2024-07-25 06:00:00"
7,25,9,9,62.0116242144854,4,1,0,"LED Off","2024-07-25 09:00:00"
7,25,12,32,261.809433035295,15,5,0,"LED Off","2024-07-25 12:00:00"
7,25,15,16,148.504438269417,2,6,0,"LED Off","2024-07-25 15:00:00"
7,25,18,12,64.6738805344302,12,0,0,"LED Off","2024-07-25 18:00:00"
7,25,21,0,0,0,0,0,"LED Off","2024-07-25 21:00:00"
7,26,0,0,0,0,0,0,"LED Off","2024-07-26 00:00:00"
7,26,3,0,0,0,0,0,"LED Off","2024-07-26 03:00:00"
7,26,6,5,172.439430991716,3,0,0,"LED Off","2024-07-26 06:00:00"
7,26,9,16,123.245579048538,10,1,0,"LED Off","2024-07-26 09:00:00"
7,26,12,20,114.76074504612,13,0,0,"LED Off","2024-07-26 12:00:00"
7,26,15,12,270.917012986525,4,0,0,"LED Off","2024-07-26 15:00:00"
7,26,18,18,124.472305501241,14,0,0,"LED Off","2024-07-26 18:00:00"
7,26,21,0,0,0,0,0,"LED Off","2024-07-26 21:00:00"
7,27,0,0,0,0,0,0,"LED Off","2024-07-27 00:00:00"
7,27,3,0,0,0,0,0,"LED Off","2024-07-27 03:00:00"
7,27,6,14,90.6351086186427,11,1,0,"LED Off","2024-07-27 06:00:00"
7,27,9,51,478.845944186674,22,7,0,"LED Off","2024-07-27 09:00:00"
7,27,12,19,149.98946893896,9,3,0,"LED Off","2024-07-27 12:00:00"
7,27,15,18,143.473930537834,8,6,0,"LED Off","2024-07-27 15:00:00"
7,27,18,32,245.743123292313,18,4,1,"LED Off","2024-07-27 18:00:00"
