"Month","Day","Hour","hourly_abundance","hourly_biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
7,23,0,0,0,0,0,0,"LED Off","2024-07-23 00:00:00"
7,23,3,0,0,0,0,0,"LED Off","2024-07-23 03:00:00"
7,23,6,6,66.5348690850895,6,0,0,"LED Off","2024-07-23 06:00:00"
7,23,9,3,18.1144702936751,2,0,1,"LED Off","2024-07-23 09:00:00"
7,23,12,7,66.335957829121,5,1,1,"LED Off","2024-07-23 12:00:00"
7,23,15,5,73.4453728265124,2,1,0,"LED Off","2024-07-23 15:00:00"
7,23,18,6,31.479210826176,3,0,0,"LED Off","2024-07-23 18:00:00"
7,23,21,1,11.855773473583,1,0,0,"LED Off","2024-07-23 21:00:00"
7,24,0,0,0,0,0,0,"LED Off","2024-07-24 00:00:00"
7,24,3,0,0,0,0,0,"LED Off","2024-07-24 03:00:00"
7,24,6,11,43.4833705806036,4,0,0,"LED Off","2024-07-24 06:00:00"
7,24,9,3,39.9464034770467,3,0,0,"LED Off","2024-07-24 09:00:00"
7,24,12,8,86.0972533764326,0,7,0,"LED Off","2024-07-24 12:00:00"
7,24,15,22,193.627682333418,5,5,4,"LED Off","2024-07-24 15:00:00"
7,24,18,2,9.17412292711802,1,0,0,"LED Off","2024-07-24 18:00:00"
7,24,21,0,0,0,0,0,"LED Off","2024-07-24 21:00:00"
7,25,0,0,0,0,0,0,"LED Off","2024-07-25 00:00:00"
7,25,3,0,0,0,0,0,"LED Off","2024-07-25 03:00:00"
7,25,6,3,21.0583571106171,1,0,1,"LED Off","2024-07-25 06:00:00"
7,25,9,7,67.2320204944637,6,0,0,"LED Off","2024-07-25 09:00:00"
7,25,12,0,0,0,0,0,"LED Off","2024-07-25 12:00:00"
7,25,15,2,9.51475302031643,1,0,0,"LED Off","2024-07-25 15:00:00"
7,25,18,6,83.8173132493705,4,1,0,"LED Off","2024-07-25 18:00:00"
7,25,21,0,0,0,0,0,"LED Off","2024-07-25 21:00:00"
7,26,0,0,0,0,0,0,"LED Off","2024-07-26 00:00:00"
7,26,3,1,0,0,0,0,"LED Off","2024-07-26 03:00:00"
7,26,6,14,97.1581567825677,6,0,0,"LED Off","2024-07-26 06:00:00"
7,26,9,8,215.082037847736,4,0,0,"LED Off","2024-07-26 09:00:00"
7,26,12,2,27.369614976694,2,0,0,"LED Off","2024-07-26 12:00:00"
7,26,15,1,1.42800436623262,1,0,0,"LED Off","2024-07-26 15:00:00"
7,26,18,9,63.1112530744886,8,0,0,"LED Off","2024-07-26 18:00:00"
7,26,21,0,0,0,0,0,"LED Off","2024-07-26 21:00:00"
7,27,0,0,0,0,0,0,"LED Off","2024-07-27 00:00:00"
7,27,3,0,0,0,0,0,"LED Off","2024-07-27 03:00:00"
7,27,6,2,3.91318523088334,1,0,0,"LED Off","2024-07-27 06:00:00"
7,27,9,5,29.5845349996397,5,0,0,"LED Off","2024-07-27 09:00:00"
7,27,12,0,0,0,0,0,"LED Off","2024-07-27 12:00:00"
7,27,15,4,16.4881790374869,3,0,0,"LED Off","2024-07-27 15:00:00"
