"Month","Day","Hour","hourly_abundance","hourly_biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
7,23,0,0,0,0,0,0,"LED Off","2024-07-23 00:00:00"
7,23,3,1,1.93600714687042,0,0,0,"LED Off","2024-07-23 03:00:00"
7,23,6,4,8.34779998475115,2,0,0,"LED Off","2024-07-23 06:00:00"
7,23,9,5,15.4466197466248,3,0,0,"LED Off","2024-07-23 09:00:00"
7,23,12,4,20.9854080397328,2,0,0,"LED Off","2024-07-23 12:00:00"
7,23,15,1,3.87132188171012,1,0,0,"LED Off","2024-07-23 15:00:00"
7,23,18,3,7.15590886094595,2,1,0,"LED Off","2024-07-23 18:00:00"
7,23,21,1,2.26881154451816,0,0,0,"LED Off","2024-07-23 21:00:00"
7,24,0,0,0,0,0,0,"LED Off","2024-07-24 00:00:00"
7,24,3,0,0,0,0,0,"LED Off","2024-07-24 03:00:00"
7,24,6,2,2.63049277210557,1,0,0,"LED Off","2024-07-24 06:00:00"
7,24,9,2,19.2332086852672,2,0,0,"LED Off","2024-07-24 09:00:00"
7,24,12,1,3.42220372900639,1,0,0,"LED Off","2024-07-24 12:00:00"
7,24,15,3,11.2149555536723,1,0,0,"LED Off","2024-07-24 15:00:00"
7,24,18,2,2.35646410233987,1,0,0,"LED Off","2024-07-24 18:00:00"
7,24,21,2,26.5996675619413,0,0,0,"LED Off","2024-07-24 21:00:00"
7,25,0,0,0,0,0,0,"LED Off","2024-07-25 00:00:00"
7,25,3,0,0,0,0,0,"LED Off","2024-07-25 03:00:00"
7,25,6,1,2.63049277210557,1,0,0,"LED Off","2024-07-25 06:00:00"
7,25,9,2,5.45277293670853,1,0,0,"LED Off","2024-07-25 09:00:00"
7,25,12,1,1.79417202262913,1,0,0,"LED Off","2024-07-25 12:00:00"
7,25,15,1,3.42220372900639,0,0,0,"LED Off","2024-07-25 15:00:00"
7,25,18,1,6.24371799639755,1,0,0,"LED Off","2024-07-25 18:00:00"
7,25,21,0,0,0,0,0,"LED Off","2024-07-25 21:00:00"
7,26,0,0,0,0,0,0,"LED Off","2024-07-26 00:00:00"
7,26,3,0,0,0,0,0,"LED Off","2024-07-26 03:00:00"
7,26,6,5,6.69629163088275,3,0,0,"LED Off","2024-07-26 06:00:00"
7,26,9,5,46.4704181453276,2,0,0,"LED Off","2024-07-26 09:00:00"
7,26,12,1,2.82228016460296,1,0,0,"LED Off","2024-07-26 12:00:00"
7,26,15,2,5.49678516864509,1,0,0,"LED Off","2024-07-26 15:00:00"
7,26,18,2,3.53474799710398,2,0,0,"LED Off","2024-07-26 18:00:00"
7,26,21,0,0,0,0,0,"LED Off","2024-07-26 21:00:00"
7,27,0,0,0,0,0,0,"LED Off","2024-07-27 00:00:00"
7,27,3,0,0,0,0,0,"LED Off","2024-07-27 03:00:00"
7,27,6,11,36.2101224973492,5,1,0,"LED Off","2024-07-27 06:00:00"
7,27,9,5,10.3649651902448,2,0,0,"LED Off","2024-07-27 09:00:00"
7,27,12,4,6.34192097998283,3,0,0,"LED Off","2024-07-27 12:00:00"
7,27,15,5,38.4078397796364,3,1,0,"LED Off","2024-07-27 15:00:00"
7,27,18,13,43.1403942799396,4,0,1,"LED Off","2024-07-27 18:00:00"
7,27,21,0,0,0,0,0,"LED Off","2024-07-27 21:00:00"
7,28,0,0,0,0,0,0,"LED Off","2024-07-28 00:00:00"
7,28,3,0,0,0,0,0,"LED Off","2024-07-28 03:00:00"
7,28,6,3,30.6591055568709,2,1,0,"LED Off","2024-07-28 06:00:00"
7,28,9,1,5.65752551775699,0,1,0,"LED Off","2024-07-28 09:00:00"
7,28,12,1,2.82228016460296,1,0,0,"LED Off","2024-07-28 12:00:00"
