"Month","Day","Hour","hourly_abundance","hourly_biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
7,23,0,0,0,0,0,0,"LED Off","2024-07-23 00:00:00"
7,23,3,0,0,0,0,0,"LED Off","2024-07-23 03:00:00"
7,23,6,18,97.0842750609727,14,2,0,"LED Off","2024-07-23 06:00:00"
7,23,9,37,238.792446430319,33,0,0,"LED Off","2024-07-23 09:00:00"
7,23,12,17,78.9498448680783,13,2,0,"LED Off","2024-07-23 12:00:00"
7,23,15,17,149.202278738018,9,4,0,"LED Off","2024-07-23 15:00:00"
7,23,18,1,5.94669562707619,1,0,0,"LED Off","2024-07-23 18:00:00"
7,23,21,0,0,0,0,0,"LED Off","2024-07-23 21:00:00"
7,24,0,0,0,0,0,0,"LED Off","2024-07-24 00:00:00"
7,24,3,0,0,0,0,0,"LED Off","2024-07-24 03:00:00"
7,24,6,1,10.3598899929131,1,0,0,"LED Off","2024-07-24 06:00:00"
7,24,9,11,57.6216394006736,9,0,0,"LED Off","2024-07-24 09:00:00"
7,24,12,4,34.7283303746148,4,0,0,"LED Off","2024-07-24 12:00:00"
7,24,15,12,55.7854925585704,5,3,0,"LED Off","2024-07-24 15:00:00"
7,24,18,1,6.54862606249359,1,0,0,"LED Off","2024-07-24 18:00:00"
7,24,21,0,0,0,0,0,"LED Off","2024-07-24 21:00:00"
7,25,0,0,0,0,0,0,"LED Off","2024-07-25 00:00:00"
7,25,3,0,0,0,0,0,"LED Off","2024-07-25 03:00:00"
7,25,6,13,115.535279977396,7,3,0,"LED Off","2024-07-25 06:00:00"
7,25,9,8,57.6285928649162,4,0,0,"LED Off","2024-07-25 09:00:00"
7,25,12,10,58.7674272315538,7,1,0,"LED Off","2024-07-25 12:00:00"
7,25,15,6,21.871821328716,5,0,0,"LED Off","2024-07-25 15:00:00"
7,25,18,10,58.3903149720528,7,0,0,"LED Off","2024-07-25 18:00:00"
7,25,21,0,0,0,0,0,"LED Off","2024-07-25 21:00:00"
7,26,0,0,0,0,0,0,"LED Off","2024-07-26 00:00:00"
7,26,3,0,0,0,0,0,"LED Off","2024-07-26 03:00:00"
7,26,6,52,384.666842066452,37,5,1,"LED Off","2024-07-26 06:00:00"
7,26,9,26,104.328810486061,15,3,0,"LED Off","2024-07-26 09:00:00"
7,26,12,11,58.2637515812056,5,2,0,"LED Off","2024-07-26 12:00:00"
7,26,15,7,56.3567217673129,3,2,0,"LED Off","2024-07-26 15:00:00"
7,26,18,4,40.5020126808264,4,0,0,"LED Off","2024-07-26 18:00:00"
7,26,21,0,0,0,0,0,"LED Off","2024-07-26 21:00:00"
7,27,0,0,0,0,0,0,"LED Off","2024-07-27 00:00:00"
7,27,3,0,0,0,0,0,"LED Off","2024-07-27 03:00:00"
7,27,6,28,302.576827625984,20,2,0,"LED Off","2024-07-27 06:00:00"
7,27,9,30,189.048344999679,23,2,0,"LED Off","2024-07-27 09:00:00"
7,27,12,16,78.6264579865943,8,0,0,"LED Off","2024-07-27 12:00:00"
7,27,15,6,32.3672541814953,1,2,0,"LED Off","2024-07-27 15:00:00"
