"Month","Day","Hour","hourly_abundance","hourly_biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
7,23,0,0,0,0,0,0,"LED Off","2024-07-23 00:00:00"
7,23,3,0,0,0,0,0,"LED Off","2024-07-23 03:00:00"
7,23,6,1,7.51099009460466,1,0,0,"LED Off","2024-07-23 06:00:00"
7,23,9,37,243.671126106518,24,2,0,"LED Off","2024-07-23 09:00:00"
7,23,12,57,237.005290222766,14,7,1,"LED Off","2024-07-23 12:00:00"
7,23,15,12,276.538312247448,6,2,0,"LED Off","2024-07-23 15:00:00"
7,23,18,12,97.7641609045448,5,0,0,"LED Off","2024-07-23 18:00:00"
7,23,21,0,0,0,0,0,"LED Off","2024-07-23 21:00:00"
7,24,0,0,0,0,0,0,"LED Off","2024-07-24 00:00:00"
7,24,3,0,0,0,0,0,"LED Off","2024-07-24 03:00:00"
7,24,6,0,0,0,0,0,"LED Off","2024-07-24 06:00:00"
7,24,9,9,54.7082905285816,4,0,0,"LED Off","2024-07-24 09:00:00"
7,24,12,13,87.1828886328708,7,1,0,"LED Off","2024-07-24 12:00:00"
7,24,15,2,1.57937832530033,0,1,0,"LED Off","2024-07-24 15:00:00"
7,24,18,0,0,0,0,0,"LED Off","2024-07-24 18:00:00"
7,24,21,0,0,0,0,0,"LED Off","2024-07-24 21:00:00"
7,25,0,0,0,0,0,0,"LED Off","2024-07-25 00:00:00"
7,25,3,0,0,0,0,0,"LED Off","2024-07-25 03:00:00"
7,25,6,16,902.324484855582,13,0,0,"LED Off","2024-07-25 06:00:00"
7,25,9,35,131.813388987183,18,2,0,"LED Off","2024-07-25 09:00:00"
7,25,12,19,74.4287535500336,4,2,0,"LED Off","2024-07-25 12:00:00"
7,25,15,38,967.537332548763,19,7,1,"LED Off","2024-07-25 15:00:00"
7,25,18,81,578.685883973439,46,7,6,"LED Off","2024-07-25 18:00:00"
7,25,21,0,0,0,0,0,"LED Off","2024-07-25 21:00:00"
7,26,0,0,0,0,0,0,"LED Off","2024-07-26 00:00:00"
7,26,3,0,0,0,0,0,"LED Off","2024-07-26 03:00:00"
7,26,6,32,183.517155097696,14,3,2,"LED Off","2024-07-26 06:00:00"
7,26,9,32,145.43041286312,10,5,0,"LED Off","2024-07-26 09:00:00"
7,26,12,26,125.217692496319,11,2,0,"LED Off","2024-07-26 12:00:00"
7,26,15,13,79.598992472272,9,1,0,"LED Off","2024-07-26 15:00:00"
7,26,18,48,281.288830088797,28,3,0,"LED Off","2024-07-26 18:00:00"
7,26,21,2,7.23466005022982,1,0,0,"LED Off","2024-07-26 21:00:00"
7,27,0,0,0,0,0,0,"LED Off","2024-07-27 00:00:00"
7,27,3,3,11.8278315488208,0,0,0,"LED Off","2024-07-27 03:00:00"
7,27,6,63,369.942261815101,29,9,0,"LED Off","2024-07-27 06:00:00"
7,27,9,47,313.548917644213,33,3,0,"LED Off","2024-07-27 09:00:00"
7,27,12,27,144.306375224323,14,2,0,"LED Off","2024-07-27 12:00:00"
7,27,15,33,301.339876635972,17,1,0,"LED Off","2024-07-27 15:00:00"
