Filename;Year;Month;Day;Hour;Minute;Second;Head_length;Abdomen_length;Insect_length_total;kingdom;phylum;class;order;family;score;highest_classification_rank;taxonomic_name_2;score_2;score_diff;path;camera;light;site;position;altitude;days_active;days_with_light
20240716160616_crop_0.jpg;2024;7;16;16;6;16;1.38;7.55;8.94;Animalia;Arthropoda;Insecta;Hemiptera;Miridae;0.489811331;family;Cerambycidae;0.12915422;0.360657111;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240716/cropped/20240716160616_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240716163335_crop_0.jpg;2024;7;16;16;33;35;0.53;5.32;5.85;Animalia;Arthropoda;Insecta;Diptera;Muscidae;0.7739833;family;Scathophagidae;0.032208357;0.741774943;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240716/cropped/20240716163335_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240716163450_crop_0.jpg;2024;7;16;16;34;50;0.64;5.85;6.49;Animalia;Arthropoda;Insecta;Diptera;Stratiomyidae;0.411487311;family;Scatopsidae;0.139133528;0.272353783;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240716/cropped/20240716163450_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240716163528_crop_0.jpg;2024;7;16;16;35;28;0.64;4.68;5.32;Animalia;Arthropoda;Insecta;Diptera;Muscidae;0.957035363;family;Ephydridae;0.009397814;0.947637549;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240716/cropped/20240716163528_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240716182103_crop_0.jpg;2024;7;16;18;21;3;0.43;4.68;5.11;Animalia;Arthropoda;Insecta;Hemiptera;Rhyparochromidae;0.215981454;family;Empididae;0.107869871;0.108111583;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240716/cropped/20240716182103_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240716182609_crop_0.jpg;2024;7;16;18;26;9;0.21;;;Animalia;Arthropoda;Arachnida;Araneae;Thomisidae;0.162988514;family;Curculionidae;0.053606052;0.109382462;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240716/cropped/20240716182609_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240716191211_crop_0.jpg;2024;7;16;19;12;11;0.64;5.21;5.85;Animalia;Arthropoda;Insecta;Diptera;Tephritidae;0.331896394;family;Pallopteridae;0.226562619;0.105333775;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240716/cropped/20240716191211_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240716191231_crop_0.jpg;2024;7;16;19;12;31;0.74;4.47;5.21;Animalia;Arthropoda;Insecta;Diptera;Tephritidae;0.240825534;family;Pallopteridae;0.146189541;0.094635993;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240716/cropped/20240716191231_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240716191413_crop_0.jpg;2024;7;16;19;14;13;1.17;6.6;7.77;Animalia;Arthropoda;Insecta;Diptera;Pipunculidae;0.266069114;family;Asilidae;0.113616273;0.152452841;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240716/cropped/20240716191413_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240716194943_crop_0.jpg;2024;7;16;19;49;43;0.64;7.98;8.62;Animalia;Arthropoda;Insecta;Diptera;Lonchopteridae;0.294007033;family;Hybotidae;0.119479179;0.174527854;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240716/cropped/20240716194943_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240716200627_crop_0.jpg;2024;7;16;20;6;27;0.64;3.09;3.72;Animalia;Arthropoda;Insecta;Raphidioptera;Raphidiidae;0.230088487;family;Limoniidae;0.165956691;0.064131796;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240716/cropped/20240716200627_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240716210840_crop_0.jpg;2024;7;16;21;8;40;0.32;2.02;2.34;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;0.14755708;family;Pediculidae;0.120507561;0.027049519;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240716/cropped/20240716210840_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240717083640_crop_0.jpg;2024;7;17;8;36;40;1.38;8.4;9.79;Animalia;Arthropoda;Insecta;Diptera;Muscidae;0.785739124;family;Agromyzidae;0.050504714;0.73523441;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240717/cropped/20240717083640_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240717083731_crop_0.jpg;2024;7;17;8;37;31;0.85;6.38;7.23;Animalia;Arthropoda;Insecta;Hymenoptera;Formicidae;0.439741075;family;Halictidae;0.225922674;0.213818401;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240717/cropped/20240717083731_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240717093754_crop_0.jpg;2024;7;17;9;37;54;0.64;;;Animalia;Arthropoda;Insecta;Diptera;Muscidae;0.392595589;family;Rhagionidae;0.099369511;0.293226078;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240717/cropped/20240717093754_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240717093904_crop_0.jpg;2024;7;17;9;39;4;1.06;7.02;8.09;Animalia;Arthropoda;Insecta;Diptera;Muscidae;0.919780374;family;Sarcophagidae;0.016656952;0.903123422;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240717/cropped/20240717093904_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240717093949_crop_0.jpg;2024;7;17;9;39;49;0.85;7.34;8.19;Animalia;Arthropoda;Insecta;Diptera;Muscidae;0.776960731;family;Agromyzidae;0.047177847;0.729782883;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240717/cropped/20240717093949_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240717094043_crop_0.jpg;2024;7;17;9;40;43;1.17;7.23;8.4;Animalia;Arthropoda;Insecta;Diptera;Muscidae;0.847814262;family;Sarcophagidae;0.033560723;0.814253539;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240717/cropped/20240717094043_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240717105238_crop_1.jpg;2024;7;17;10;52;38;;;;Animalia;Arthropoda;Insecta;Hymenoptera;Halictidae;0.534216106;family;Megachilidae;0.165065438;0.369150668;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240717/cropped/20240717105238_crop_1.jpg;389;no;Monstein;Lower;1427;71.042;51
20240717111307_crop_1.jpg;2024;7;17;11;13;7;0.32;2.13;2.45;Animalia;Arthropoda;Insecta;Diptera;Culicidae;0.126435563;family;Aphididae;0.089812934;0.036622629;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240717/cropped/20240717111307_crop_1.jpg;389;no;Monstein;Lower;1427;71.042;51
20240717111401_crop_0.jpg;2024;7;17;11;14;1;0.74;6.7;7.45;Animalia;Arthropoda;Insecta;Diptera;Muscidae;0.251994073;family;Syrphidae;0.130858481;0.121135592;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240717/cropped/20240717111401_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240717111649_crop_0.jpg;2024;7;17;11;16;49;;;;Animalia;Arthropoda;Insecta;Hymenoptera;Megachilidae;0.227551624;family;Halictidae;0.147420108;0.080131516;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240717/cropped/20240717111649_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
20240717112054_crop_0.jpg;2024;7;17;11;20;54;0.64;6.28;6.91;Animalia;Arthropoda;Insecta;Diptera;Syrphidae;0.244268209;family;Stratiomyidae;0.212638274;0.031629935;/Users/rentaluser/Desktop/DIOPSIS-389/photos/20240717/cropped/20240717112054_crop_0.jpg;389;no;Monstein;Lower;1427;71.042;51
