"DayNight","Month","Day","abundance","biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
"Day",7,23,15,66.6529414696123,11,0,0,"LED Off","2024-07-23 00:00:00"
"Day",7,24,14,90.9317980998464,10,0,0,"LED Off","2024-07-24 00:00:00"
"Day",7,25,22,83.6326843490889,8,2,1,"LED Off","2024-07-25 00:00:00"
"Day",7,26,37,255.827825741629,15,2,2,"LED Off","2024-07-26 00:00:00"
"Day",7,27,56,206.22171219053,19,4,0,"LED Off","2024-07-27 00:00:00"
"Day",7,28,36,213.163691482636,19,4,0,"LED Off","2024-07-28 00:00:00"
"Day",7,29,24,74.0160555502985,13,1,0,"LED Off","2024-07-29 00:00:00"
"Day",7,30,NA,NA,0,0,0,"LED Off","2024-07-30 00:00:00"
"Day",7,31,NA,NA,0,0,0,"LED Off","2024-07-31 00:00:00"
"Day",8,1,NA,NA,0,0,0,"LED Off","2024-08-01 00:00:00"
"Day",8,2,NA,NA,0,0,0,"LED Off","2024-08-02 00:00:00"
"Day",8,3,NA,NA,0,0,0,"LED Off","2024-08-03 00:00:00"
"Day",8,4,NA,NA,0,0,0,"LED Off","2024-08-04 00:00:00"
"Day",8,5,NA,NA,0,0,0,"LED Off","2024-08-05 00:00:00"
"Day",8,6,NA,NA,0,0,0,"LED Off","2024-08-06 00:00:00"
"Day",8,7,NA,NA,0,0,0,"LED Off","2024-08-07 00:00:00"
"Day",8,8,NA,NA,0,0,0,"LED Off","2024-08-08 00:00:00"
"Day",8,9,31,176.77682345215,22,1,0,"LED Off","2024-08-09 00:00:00"
"Day",8,10,59,816.094272981268,20,0,8,"LED Off","2024-08-10 00:00:00"
"Day",8,11,NA,NA,0,0,0,"LED Off","2024-08-11 00:00:00"
"Day",8,12,5,11.210951310249,3,0,0,"LED Off","2024-08-12 00:00:00"
"Day",8,13,39,230.913216676596,14,1,0,"LED Off","2024-08-13 00:00:00"
"Day",8,14,59,499.031527035674,28,4,1,"LED Off","2024-08-14 00:00:00"
"Day",8,15,NA,NA,0,0,0,"LED Off","2024-08-15 00:00:00"
"Day",8,16,NA,NA,0,0,0,"LED Off","2024-08-16 00:00:00"
"Day",8,17,NA,NA,0,0,0,"LED Off","2024-08-17 00:00:00"
"Day",8,18,NA,NA,0,0,0,"LED Off","2024-08-18 00:00:00"
"Day",8,19,9,11.9253051168963,4,0,0,"LED Off","2024-08-19 00:00:00"
"Day",8,20,20,67.4153316042105,9,1,0,"LED Off","2024-08-20 00:00:00"
"Day",8,21,24,128.767555741357,8,0,1,"LED Off","2024-08-21 00:00:00"
"Day",8,22,24,135.272198674665,10,1,2,"LED Off","2024-08-22 00:00:00"
"Day",8,23,18,120.93006078347,9,0,0,"LED Off","2024-08-23 00:00:00"
"Day",8,24,24,165.359914544307,8,3,0,"LED Off","2024-08-24 00:00:00"
"Day",8,25,17,76.565547106321,11,0,0,"LED Off","2024-08-25 00:00:00"
"Day",8,26,17,102.222658091303,11,0,1,"LED Off","2024-08-26 00:00:00"
"Day",8,27,24,122.85233332117,8,3,0,"LED Off","2024-08-27 00:00:00"
"Day",8,28,30,263.749169111803,15,2,1,"LED Off","2024-08-28 00:00:00"
"Day",8,29,11,68.3705041585854,6,0,0,"LED Off","2024-08-29 00:00:00"
"Day",8,30,20,148.756483366713,13,0,0,"LED Off","2024-08-30 00:00:00"
"Day",8,31,22,72.0998710135651,9,2,0,"LED Off","2024-08-31 00:00:00"
"Day",9,1,17,49.5258642847678,6,0,1,"LED Off","2024-09-01 00:00:00"
"Day",9,2,19,52.4347611297452,8,2,0,"LED Off","2024-09-02 00:00:00"
"Day",9,3,16,76.1200800450177,8,0,0,"LED Off","2024-09-03 00:00:00"
"Day",9,4,29,135.762146480063,18,0,0,"LED Off","2024-09-04 00:00:00"
"Day",9,5,40,192.933395323731,21,0,0,"LED Off","2024-09-05 00:00:00"
"Day",9,6,9,46.9611806160017,5,1,0,"LED Off","2024-09-06 00:00:00"
"Day",9,7,5,20.5699239051217,1,0,0,"LED Off","2024-09-07 00:00:00"
"Day",9,8,14,67.3674654182129,8,0,0,"LED Off","2024-09-08 00:00:00"
"Day",9,9,15,168.910703336566,10,1,1,"LED Off","2024-09-09 00:00:00"
