"DayNight","Month","Day","abundance","biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
"Day",7,23,81,656.982667228186,68,3,0,"LED Off","2024-07-23 00:00:00"
"Day",7,24,47,418.04934444954,40,3,0,"LED Off","2024-07-24 00:00:00"
"Day",7,25,136,1919.24452796724,105,11,2,"LED Off","2024-07-25 00:00:00"
"Day",7,26,134,1493.7790679547,102,10,1,"LED Off","2024-07-26 00:00:00"
"Day",7,27,109,890.524917263678,71,12,3,"LED Off","2024-07-27 00:00:00"
"Day",7,28,70,512.584573107847,49,4,1,"LED Off","2024-07-28 00:00:00"
"Day",7,29,123,858.624323398396,80,2,2,"LED Off","2024-07-29 00:00:00"
"Day",7,30,75,661.247346676914,53,1,0,"LED Off","2024-07-30 00:00:00"
"Day",7,31,79,692.679682943152,47,5,1,"LED Off","2024-07-31 00:00:00"
"Day",8,1,73,670.792343392029,51,5,0,"LED Off","2024-08-01 00:00:00"
"Day",8,2,96,824.392976438357,84,7,1,"LED Off","2024-08-02 00:00:00"
"Day",8,3,98,780.030741690737,80,9,0,"LED Off","2024-08-03 00:00:00"
"Day",8,4,116,808.379994059768,88,5,0,"LED Off","2024-08-04 00:00:00"
"Day",8,5,84,776.04921676406,52,5,1,"LED Off","2024-08-05 00:00:00"
"Day",8,6,37,382.352013357619,25,4,0,"LED Off","2024-08-06 00:00:00"
"Day",8,7,89,606.652577503916,62,5,0,"LED Off","2024-08-07 00:00:00"
"Day",8,8,80,446.862466191191,51,3,0,"LED Off","2024-08-08 00:00:00"
"Day",8,9,12,66.044044838803,7,3,0,"LED Off","2024-08-09 00:00:00"
"Day",8,10,19,223.998019435406,10,0,0,"LED Off","2024-08-10 00:00:00"
"Day",8,11,25,145.646486548158,14,2,0,"LED Off","2024-08-11 00:00:00"
"Day",8,12,18,183.539348581862,15,2,0,"LED Off","2024-08-12 00:00:00"
"Day",8,13,18,150.979549527346,13,0,0,"LED Off","2024-08-13 00:00:00"
"Day",8,14,52,275.862702639298,39,2,2,"LED Off","2024-08-14 00:00:00"
"Day",8,15,46,256.781151138253,35,4,1,"LED Off","2024-08-15 00:00:00"
"Day",8,16,17,98.3376835111902,14,1,0,"LED Off","2024-08-16 00:00:00"
"Day",8,17,25,262.582795816545,18,1,1,"LED Off","2024-08-17 00:00:00"
"Day",8,18,0,0,0,0,0,"LED Off","2024-08-18 00:00:00"
"Day",8,19,23,119.484147923143,16,0,0,"LED Off","2024-08-19 00:00:00"
"Day",8,20,68,329.907079502113,50,1,1,"LED Off","2024-08-20 00:00:00"
"Day",8,21,4,49.5423665929707,2,0,0,"LED Off","2024-08-21 00:00:00"
"Day",8,22,47,213.926296341415,36,4,0,"LED Off","2024-08-22 00:00:00"
"Day",8,23,16,79.9798643784184,13,0,0,"LED Off","2024-08-23 00:00:00"
"Day",8,24,25,148.448847353835,14,1,1,"LED Off","2024-08-24 00:00:00"
"Day",8,25,37,250.70249566439,34,0,0,"LED Off","2024-08-25 00:00:00"
"Day",8,26,40,259.774525137058,30,3,1,"LED Off","2024-08-26 00:00:00"
"Day",8,27,39,209.940435926392,26,1,0,"LED Off","2024-08-27 00:00:00"
"Day",8,28,36,177.917163980588,24,4,1,"LED Off","2024-08-28 00:00:00"
"Day",8,29,21,158.170210988635,13,3,1,"LED Off","2024-08-29 00:00:00"
"Day",8,30,9,50.9067823207056,5,0,0,"LED Off","2024-08-30 00:00:00"
"Day",8,31,25,138.999551090337,19,2,1,"LED Off","2024-08-31 00:00:00"
"Day",9,1,46,229.852600633351,33,1,1,"LED Off","2024-09-01 00:00:00"
