"DayNight","Month","Day","abundance","biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
"Day",7,23,27,255.909880860574,18,2,2,"LED Off","2024-07-23 00:00:00"
"Day",7,24,46,372.328832694619,13,12,4,"LED Off","2024-07-24 00:00:00"
"Day",7,25,18,181.622443874768,12,1,1,"LED Off","2024-07-25 00:00:00"
"Day",7,26,35,404.149067047719,21,0,0,"LED Off","2024-07-26 00:00:00"
"Day",7,27,13,124.813427998798,10,0,0,"LED Off","2024-07-27 00:00:00"
"Day",7,28,24,332.619820621125,15,0,0,"LED Off","2024-07-28 00:00:00"
"Day",7,29,11,165.721770070469,9,0,0,"LED Off","2024-07-29 00:00:00"
"Day",7,30,18,135.522631694977,13,0,0,"LED Off","2024-07-30 00:00:00"
"Day",7,31,13,41.8907759828493,6,0,0,"LED Off","2024-07-31 00:00:00"
"Day",8,1,18,90.9397301187139,10,1,0,"LED Off","2024-08-01 00:00:00"
"Day",8,2,19,159.529906394186,14,0,0,"LED Off","2024-08-02 00:00:00"
"Day",8,3,37,211.262106754062,28,2,0,"LED Off","2024-08-03 00:00:00"
"Day",8,4,31,91.6509202127339,19,2,0,"LED Off","2024-08-04 00:00:00"
"Day",8,5,14,66.3973268033454,11,0,0,"LED Off","2024-08-05 00:00:00"
"Day",8,6,34,209.348995121286,17,0,4,"LED Off","2024-08-06 00:00:00"
"Day",8,7,41,294.207386956895,27,1,1,"LED Off","2024-08-07 00:00:00"
"Day",8,8,22,269.707445386453,12,2,1,"LED Off","2024-08-08 00:00:00"
"Day",8,9,23,187.048925168114,15,0,2,"LED Off","2024-08-09 00:00:00"
"Day",8,10,16,129.43903918544,10,0,0,"LED Off","2024-08-10 00:00:00"
"Day",8,11,16,33.5063767612269,11,1,0,"LED Off","2024-08-11 00:00:00"
"Day",8,12,29,105.229252020194,13,1,2,"LED Off","2024-08-12 00:00:00"
"Day",8,13,36,141.788268784579,22,0,1,"LED Off","2024-08-13 00:00:00"
"Day",8,14,28,164.381678620408,21,0,0,"LED Off","2024-08-14 00:00:00"
"Day",8,15,25,137.324492107881,16,0,1,"LED Off","2024-08-15 00:00:00"
"Day",8,16,34,300.179521980396,21,4,0,"LED Off","2024-08-16 00:00:00"
"Day",8,17,20,106.912354997272,12,1,1,"LED Off","2024-08-17 00:00:00"
"Day",8,18,35,240.621582222129,22,1,0,"LED Off","2024-08-18 00:00:00"
"Day",8,19,22,143.636737449828,18,1,0,"LED Off","2024-08-19 00:00:00"
"Day",8,20,24,88.2232649053935,13,0,1,"LED Off","2024-08-20 00:00:00"
"Day",8,21,38,284.262137808559,26,8,0,"LED Off","2024-08-21 00:00:00"
"Day",8,22,16,40.7149594210709,6,1,0,"LED Off","2024-08-22 00:00:00"
"Day",8,23,12,29.3331755761693,3,0,0,"LED Off","2024-08-23 00:00:00"
"Day",8,24,11,52.2084515352521,5,0,0,"LED Off","2024-08-24 00:00:00"
"Day",8,25,23,86.2087868994337,12,1,0,"LED Off","2024-08-25 00:00:00"
"Day",8,26,25,431.71323931837,18,0,0,"LED Off","2024-08-26 00:00:00"
"Day",8,27,10,141.458558389537,6,1,0,"LED Off","2024-08-27 00:00:00"
"Day",8,28,12,85.3255283097468,5,1,1,"LED Off","2024-08-28 00:00:00"
"Day",8,29,23,91.2319531461112,14,0,0,"LED Off","2024-08-29 00:00:00"
"Day",8,30,19,132.687762409621,10,0,1,"LED Off","2024-08-30 00:00:00"
"Day",8,31,15,66.5764544152984,11,1,0,"LED Off","2024-08-31 00:00:00"
"Day",9,1,33,137.146393478092,17,4,0,"LED Off","2024-09-01 00:00:00"
"Day",9,2,8,33.0819498414067,4,0,0,"LED Off","2024-09-02 00:00:00"
"Day",9,3,16,60.8946282276905,9,1,0,"LED Off","2024-09-03 00:00:00"
"Day",9,4,23,89.8931540783767,9,2,0,"LED Off","2024-09-04 00:00:00"
"Day",9,5,37,168.318131768483,20,1,0,"LED Off","2024-09-05 00:00:00"
"Day",9,6,11,94.1004974790214,7,0,0,"LED Off","2024-09-06 00:00:00"
"Day",9,7,12,82.2536941257962,5,0,0,"LED Off","2024-09-07 00:00:00"
"Day",9,8,18,193.720079686739,12,1,0,"LED Off","2024-09-08 00:00:00"
"Day",9,9,16,54.7655744952477,9,2,0,"LED Off","2024-09-09 00:00:00"
