"DayNight","Month","Day","abundance","biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
"Day",7,23,34,259.936967759143,19,5,0,"LED Off","2024-07-23 00:00:00"
"Day",7,24,52,502.756740601793,22,9,1,"LED Off","2024-07-24 00:00:00"
"Day",7,25,73,636.918260405712,37,12,0,"LED Off","2024-07-25 00:00:00"
"Day",7,26,71,805.83507357414,44,1,0,"LED Off","2024-07-26 00:00:00"
"Day",7,27,134,1108.68757557442,68,21,1,"LED Off","2024-07-27 00:00:00"
"Day",7,28,71,576.299031730872,38,8,0,"LED Off","2024-07-28 00:00:00"
"Day",7,29,93,1223.7866132663,70,9,0,"LED Off","2024-07-29 00:00:00"
"Day",7,30,107,1222.34459460806,59,11,2,"LED Off","2024-07-30 00:00:00"
"Day",7,31,89,661.048045245168,54,12,1,"LED Off","2024-07-31 00:00:00"
"Day",8,1,109,1057.83569550875,73,11,1,"LED Off","2024-08-01 00:00:00"
"Day",8,2,78,642.499050463999,38,7,1,"LED Off","2024-08-02 00:00:00"
"Day",8,3,59,506.440552260006,38,7,1,"LED Off","2024-08-03 00:00:00"
"Day",8,4,89,787.365768371258,55,6,2,"LED Off","2024-08-04 00:00:00"
"Day",8,5,76,615.260008105812,41,13,1,"LED Off","2024-08-05 00:00:00"
"Day",8,6,84,1230.08003847998,58,5,5,"LED Off","2024-08-06 00:00:00"
"Day",8,7,139,1339.34277463457,100,7,3,"LED Off","2024-08-07 00:00:00"
"Day",8,8,147,1420.96046058744,105,16,2,"LED Off","2024-08-08 00:00:00"
"Day",8,9,82,1135.76173979041,63,8,1,"LED Off","2024-08-09 00:00:00"
"Day",8,10,81,1797.89319506332,58,6,1,"LED Off","2024-08-10 00:00:00"
"Day",8,11,80,598.41448578229,37,6,2,"LED Off","2024-08-11 00:00:00"
"Day",8,12,114,1117.83894773787,76,10,2,"LED Off","2024-08-12 00:00:00"
"Day",8,13,106,677.614617879298,66,5,0,"LED Off","2024-08-13 00:00:00"
"Day",8,14,122,1256.67221592111,93,3,2,"LED Off","2024-08-14 00:00:00"
"Day",8,15,96,650.948185608629,54,11,3,"LED Off","2024-08-15 00:00:00"
"Day",8,16,107,1356.34264646266,66,7,2,"LED Off","2024-08-16 00:00:00"
"Day",8,17,86,835.663047907526,61,2,3,"LED Off","2024-08-17 00:00:00"
"Day",8,18,5,60.8651663794692,4,0,0,"LED Off","2024-08-18 00:00:00"
"Day",8,19,61,512.205348399176,53,0,0,"LED Off","2024-08-19 00:00:00"
"Day",8,20,210,1530.52781572221,150,7,4,"LED Off","2024-08-20 00:00:00"
"Day",8,21,50,571.183608617283,42,0,0,"LED Off","2024-08-21 00:00:00"
"Day",8,22,66,411.542081769326,47,4,1,"LED Off","2024-08-22 00:00:00"
"Day",8,23,48,278.47124326554,32,4,0,"LED Off","2024-08-23 00:00:00"
"Day",8,24,61,466.596035365516,45,3,1,"LED Off","2024-08-24 00:00:00"
"Day",8,25,68,507.471079879344,58,2,1,"LED Off","2024-08-25 00:00:00"
"Day",8,26,111,808.920538998489,88,1,0,"LED Off","2024-08-26 00:00:00"
"Day",8,27,53,490.569612846274,29,4,2,"LED Off","2024-08-27 00:00:00"
"Day",8,28,83,489.016950019908,55,5,0,"LED Off","2024-08-28 00:00:00"
"Day",8,29,67,464.866097382435,46,7,0,"LED Off","2024-08-29 00:00:00"
"Day",8,30,47,310.505195391864,27,1,1,"LED Off","2024-08-30 00:00:00"
"Day",8,31,63,651.519502968061,42,5,3,"LED Off","2024-08-31 00:00:00"
"Day",9,1,68,375.673889500593,33,5,2,"LED Off","2024-09-01 00:00:00"
"Day",9,2,76,471.915476945411,56,1,0,"LED Off","2024-09-02 00:00:00"
"Day",9,3,51,412.94443942727,36,3,1,"LED Off","2024-09-03 00:00:00"
"Day",9,4,64,267.767104028923,27,1,0,"LED Off","2024-09-04 00:00:00"
"Day",9,5,19,109.579295789308,13,1,0,"LED Off","2024-09-05 00:00:00"
