"DayNight","Month","Day","abundance","biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
"Day",7,23,18,57.7430656606352,10,1,0,"LED Off","2024-07-23 00:00:00"
"Day",7,24,10,38.8573248423913,6,0,0,"LED Off","2024-07-24 00:00:00"
"Day",7,25,6,19.5433594568472,4,0,0,"LED Off","2024-07-25 00:00:00"
"Day",7,26,15,65.0205231065623,9,0,0,"LED Off","2024-07-26 00:00:00"
"Day",7,27,38,134.465242727153,17,2,1,"LED Off","2024-07-27 00:00:00"
"Day",7,28,9,52.5637280948764,5,4,0,"LED Off","2024-07-28 00:00:00"
"Day",7,29,9,35.1822804798037,6,0,0,"LED Off","2024-07-29 00:00:00"
"Day",7,30,17,87.7417311948158,11,1,1,"LED Off","2024-07-30 00:00:00"
"Day",7,31,19,43.6654827413309,10,0,0,"LED Off","2024-07-31 00:00:00"
"Day",8,1,26,124.722730586841,22,1,0,"LED Off","2024-08-01 00:00:00"
"Day",8,2,75,270.544971914447,44,2,1,"LED Off","2024-08-02 00:00:00"
"Day",8,3,30,119.30368585735,16,1,1,"LED Off","2024-08-03 00:00:00"
"Day",8,4,13,43.3664580727691,10,1,0,"LED Off","2024-08-04 00:00:00"
"Day",8,5,18,84.3184104988071,14,0,0,"LED Off","2024-08-05 00:00:00"
"Day",8,6,28,125.863282163655,11,1,0,"LED Off","2024-08-06 00:00:00"
"Day",8,7,87,285.39672604494,52,2,0,"LED Off","2024-08-07 00:00:00"
"Day",8,8,19,99.2308249664697,4,3,0,"LED Off","2024-08-08 00:00:00"
"Day",8,9,23,53.029540166746,12,0,1,"LED Off","2024-08-09 00:00:00"
"Day",8,10,10,30.6700755919319,5,1,0,"LED Off","2024-08-10 00:00:00"
"Day",8,11,21,67.7510427093696,14,0,0,"LED Off","2024-08-11 00:00:00"
"Day",8,12,19,78.5815752684141,14,0,0,"LED Off","2024-08-12 00:00:00"
"Day",8,13,36,123.035654289319,15,2,0,"LED Off","2024-08-13 00:00:00"
"Day",8,14,47,148.807127917034,24,4,0,"LED Off","2024-08-14 00:00:00"
"Day",8,15,20,41.304889723195,7,2,0,"LED Off","2024-08-15 00:00:00"
"Day",8,16,22,62.8289530724556,15,1,0,"LED Off","2024-08-16 00:00:00"
"Day",8,17,11,36.5056510402359,6,1,0,"LED Off","2024-08-17 00:00:00"
"Day",8,18,4,19.3898852144185,2,0,0,"LED Off","2024-08-18 00:00:00"
"Day",8,19,3,16.2523976723051,1,0,0,"LED Off","2024-08-19 00:00:00"
"Day",8,20,6,40.2580568288704,2,1,0,"LED Off","2024-08-20 00:00:00"
"Day",8,21,34,113.994324080456,13,3,0,"LED Off","2024-08-21 00:00:00"
"Day",8,22,11,50.837654677322,8,0,0,"LED Off","2024-08-22 00:00:00"
