"DayNight","Month","Day","abundance","biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
"Day",7,23,90,569.975540724464,70,8,0,"LED Off","2024-07-23 00:00:00"
"Day",7,24,29,165.043978389265,20,3,0,"LED Off","2024-07-24 00:00:00"
"Day",7,25,47,312.193436374634,30,4,0,"LED Off","2024-07-25 00:00:00"
"Day",7,26,100,644.118138581858,64,12,1,"LED Off","2024-07-26 00:00:00"
"Day",7,27,99,703.503714612436,61,8,0,"LED Off","2024-07-27 00:00:00"
"Day",7,28,93,679.776133572414,68,6,0,"LED Off","2024-07-28 00:00:00"
"Day",7,29,94,730.580984562029,59,12,1,"LED Off","2024-07-29 00:00:00"
"Day",7,30,80,480.28175394442,45,12,0,"LED Off","2024-07-30 00:00:00"
"Day",7,31,107,532.033002221761,64,7,1,"LED Off","2024-07-31 00:00:00"
"Day",8,1,145,863.53856544587,92,17,0,"LED Off","2024-08-01 00:00:00"
"Day",8,2,222,1301.62166683991,136,20,0,"LED Off","2024-08-02 00:00:00"
"Day",8,3,193,1248.64174543022,143,8,0,"LED Off","2024-08-03 00:00:00"
"Day",8,4,70,397.536205520476,37,8,0,"LED Off","2024-08-04 00:00:00"
"Day",8,5,86,485.102248744243,48,12,0,"LED Off","2024-08-05 00:00:00"
"Day",8,6,102,718.47980222299,55,16,2,"LED Off","2024-08-06 00:00:00"
"Day",8,7,201,1005.186068446,102,30,2,"LED Off","2024-08-07 00:00:00"
"Day",8,8,179,916.071724198139,108,14,0,"LED Off","2024-08-08 00:00:00"
"Day",8,9,83,646.240617814537,45,15,1,"LED Off","2024-08-09 00:00:00"
"Day",8,10,89,485.644458009304,38,10,0,"LED Off","2024-08-10 00:00:00"
"Day",8,11,110,598.160232244975,42,21,2,"LED Off","2024-08-11 00:00:00"
"Day",8,12,78,368.76441260122,38,12,0,"LED Off","2024-08-12 00:00:00"
"Day",8,13,92,554.318588382961,50,6,2,"LED Off","2024-08-13 00:00:00"
"Day",8,14,105,572.804338399802,60,5,1,"LED Off","2024-08-14 00:00:00"
"Day",8,15,49,356.264486077585,23,8,0,"LED Off","2024-08-15 00:00:00"
"Day",8,16,91,397.566618953039,48,5,0,"LED Off","2024-08-16 00:00:00"
"Day",8,17,101,570.667612692914,48,15,0,"LED Off","2024-08-17 00:00:00"
"Day",8,18,17,50.0773455620137,8,1,0,"LED Off","2024-08-18 00:00:00"
"Day",8,19,115,622.135635826269,73,7,0,"LED Off","2024-08-19 00:00:00"
"Day",8,20,127,595.594898182815,54,17,6,"LED Off","2024-08-20 00:00:00"
"Day",8,21,23,127.141882061146,17,3,1,"LED Off","2024-08-21 00:00:00"
"Day",8,22,86,470.031789601185,42,12,2,"LED Off","2024-08-22 00:00:00"
"Day",8,23,63,369.113361100692,23,22,1,"LED Off","2024-08-23 00:00:00"
"Day",8,24,33,231.826737779754,20,4,0,"LED Off","2024-08-24 00:00:00"
"Day",8,25,106,753.420875538766,78,2,1,"LED Off","2024-08-25 00:00:00"
"Day",8,26,107,992.831430992796,74,5,5,"LED Off","2024-08-26 00:00:00"
"Day",8,27,69,472.914390278855,31,13,0,"LED Off","2024-08-27 00:00:00"
"Day",8,28,90,357.044080732296,36,18,1,"LED Off","2024-08-28 00:00:00"
"Day",8,29,67,285.54539426623,25,13,0,"LED Off","2024-08-29 00:00:00"
"Day",8,30,30,147.29467812097,7,14,1,"LED Off","2024-08-30 00:00:00"
"Day",8,31,36,268.755470651955,22,3,0,"LED Off","2024-08-31 00:00:00"
"Day",9,1,42,288.275329273755,21,5,1,"LED Off","2024-09-01 00:00:00"
"Day",9,2,48,297.144275364265,36,2,0,"LED Off","2024-09-02 00:00:00"
"Day",9,3,115,623.057819352769,78,9,0,"LED Off","2024-09-03 00:00:00"
"Day",9,4,90,699.590620133345,71,5,0,"LED Off","2024-09-04 00:00:00"
"Day",9,5,34,249.727280321147,27,2,0,"LED Off","2024-09-05 00:00:00"
"Day",9,6,37,303.246481308138,17,9,0,"LED Off","2024-09-06 00:00:00"
"Day",9,7,19,154.187112404083,14,1,0,"LED Off","2024-09-07 00:00:00"
"Day",9,8,10,43.1422267143499,8,1,0,"LED Off","2024-09-08 00:00:00"
"Day",9,9,5,32.49544864478,3,0,0,"LED Off","2024-09-09 00:00:00"
"Day",9,10,31,227.314952657111,18,1,0,"LED Off","2024-09-10 00:00:00"
"Day",9,11,63,269.592269405685,36,0,0,"LED Off","2024-09-11 00:00:00"
"Day",9,12,0,0,0,0,0,"LED Off","2024-09-12 00:00:00"
"Day",9,13,0,0,0,0,0,"LED Off","2024-09-13 00:00:00"
"Day",9,14,0,0,0,0,0,"LED Off","2024-09-14 00:00:00"
"Day",9,15,7,59.7386575315355,5,1,0,"LED Off","2024-09-15 00:00:00"
"Day",9,16,0,0,0,0,0,"LED Off","2024-09-16 00:00:00"
"Day",9,17,5,47.0599374900957,3,0,0,"LED Off","2024-09-17 00:00:00"
"Night",7,23,0,0,0,0,0,"LED Off","2024-07-23 21:00:00"
"Night",7,24,0,0,0,0,0,"LED Off","2024-07-24 21:00:00"
"Night",7,25,0,0,0,0,0,"LED Off","2024-07-25 21:00:00"
"Night",7,26,0,0,0,0,0,"LED Off","2024-07-26 21:00:00"
"Night",7,27,0,0,0,0,0,"LED Off","2024-07-27 21:00:00"
"Night",7,28,0,0,0,0,0,"LED Off","2024-07-28 21:00:00"
"Night",7,29,0,0,0,0,0,"LED Off","2024-07-29 21:00:00"
"Night",7,30,2,28.1196853809791,2,0,0,"LED Off","2024-07-30 21:00:00"
"Night",7,31,0,0,0,0,0,"LED Off","2024-07-31 21:00:00"
"Night",8,1,0,0,0,0,0,"LED Off","2024-08-01 21:00:00"
"Night",8,2,0,0,0,0,0,"LED Off","2024-08-02 21:00:00"
"Night",8,3,0,0,0,0,0,"LED Off","2024-08-03 21:00:00"
"Night",8,4,0,0,0,0,0,"LED Off","2024-08-04 21:00:00"
"Night",8,5,0,0,0,0,0,"LED Off","2024-08-05 21:00:00"
"Night",8,6,0,0,0,0,0,"LED Off","2024-08-06 21:00:00"
"Night",8,7,0,0,0,0,0,"LED Off","2024-08-07 21:00:00"
"Night",8,8,0,0,0,0,0,"LED Off","2024-08-08 21:00:00"
"Night",8,9,0,0,0,0,0,"LED Off","2024-08-09 21:00:00"
"Night",8,10,0,0,0,0,0,"LED Off","2024-08-10 21:00:00"
"Night",8,11,0,0,0,0,0,"LED Off","2024-08-11 21:00:00"
"Night",8,12,0,0,0,0,0,"LED Off","2024-08-12 21:00:00"
"Night",8,13,31,527.855373542241,11,1,10,"LED On","2024-08-13 21:00:00"
"Night",8,14,24,176.270610088415,11,0,4,"LED On","2024-08-14 21:00:00"
"Night",8,15,65,453.226841041865,21,2,5,"LED On","2024-08-15 21:00:00"
"Night",8,16,151,1573.12811834504,64,3,39,"LED On","2024-08-16 21:00:00"
"Night",8,17,50,532.820112155897,27,0,6,"LED On","2024-08-17 21:00:00"
"Night",8,18,7,263.277212377373,2,0,4,"LED On","2024-08-18 21:00:00"
"Night",8,19,28,585.983753893133,16,1,7,"LED On","2024-08-19 21:00:00"
"Night",8,20,71,581.440204569935,40,2,6,"LED On","2024-08-20 21:00:00"
"Night",8,21,8,76.6900562093499,6,0,1,"LED On","2024-08-21 21:00:00"
"Night",8,22,15,276.91557712447,5,0,6,"LED On","2024-08-22 21:00:00"
"Night",8,23,25,123.711929075771,12,0,0,"LED On","2024-08-23 21:00:00"
"Night",8,24,9,152.273778561705,6,0,3,"LED On","2024-08-24 21:00:00"
"Night",8,25,101,1337.55454816074,42,4,20,"LED On","2024-08-25 21:00:00"
"Night",8,26,14,81.8282715332012,7,0,2,"LED On","2024-08-26 21:00:00"
"Night",8,27,12,52.1029219985757,5,3,0,"LED On","2024-08-27 21:00:00"
"Night",8,28,11,253.569794406828,6,0,5,"LED On","2024-08-28 21:00:00"
"Night",8,29,24,195.35196578163,10,0,3,"LED On","2024-08-29 21:00:00"
"Night",8,30,12,127.409379366886,2,0,5,"LED On","2024-08-30 21:00:00"
"Night",8,31,13,78.5688699570925,5,0,2,"LED On","2024-08-31 21:00:00"
"Night",9,1,15,203.499723656388,10,0,3,"LED On","2024-09-01 21:00:00"
"Night",9,2,0,0,0,0,0,"LED On","2024-09-02 21:00:00"
"Night",9,3,0,0,0,0,0,"LED On","2024-09-03 21:00:00"
"Night",9,4,0,0,0,0,0,"LED On","2024-09-04 21:00:00"
"Night",9,5,0,0,0,0,0,"LED On","2024-09-05 21:00:00"
"Night",9,6,0,0,0,0,0,"LED On","2024-09-06 21:00:00"
"Night",9,7,1,39.6903706837035,0,0,1,"LED On","2024-09-07 21:00:00"
"Night",9,8,0,0,0,0,0,"LED On","2024-09-08 21:00:00"
"Night",9,9,1,15.6716160483699,1,0,0,"LED On","2024-09-09 21:00:00"
"Night",9,10,0,0,0,0,0,"LED On","2024-09-10 21:00:00"
"Night",9,11,22,144.996771248802,12,0,1,"LED On","2024-09-11 21:00:00"
"Night",9,12,0,0,0,0,0,"LED On","2024-09-12 21:00:00"
"Night",9,13,0,0,0,0,0,"LED On","2024-09-13 21:00:00"
"Night",9,14,0,0,0,0,0,"LED On","2024-09-14 21:00:00"
"Night",9,15,0,0,0,0,0,"LED On","2024-09-15 21:00:00"
"Night",9,16,0,0,0,0,0,"LED On","2024-09-16 21:00:00"
"Night",9,17,0,0,0,0,0,"LED On","2024-09-17 21:00:00"
