"DayNight","Month","Day","abundance","biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
"Day",7,23,119,862.489879575881,50,11,1,"LED Off","2024-07-23 00:00:00"
"Day",7,24,24,143.470557486753,11,2,0,"LED Off","2024-07-24 00:00:00"
"Day",7,25,189,2654.789843915,100,18,7,"LED Off","2024-07-25 00:00:00"
"Day",7,26,151,815.053083018204,72,14,2,"LED Off","2024-07-26 00:00:00"
"Day",7,27,215,1327.61629580492,108,21,1,"LED Off","2024-07-27 00:00:00"
"Day",7,28,69,378.062981597825,39,11,0,"LED Off","2024-07-28 00:00:00"
"Day",7,29,54,302.976658554042,23,4,0,"LED Off","2024-07-29 00:00:00"
"Day",7,30,64,315.150922673408,24,2,1,"LED Off","2024-07-30 00:00:00"
"Day",7,31,125,737.013463481999,38,12,1,"LED Off","2024-07-31 00:00:00"
"Day",8,1,47,247.526570490677,17,4,0,"LED Off","2024-08-01 00:00:00"
"Day",8,2,40,208.756046065651,12,9,0,"LED Off","2024-08-02 00:00:00"
"Day",8,3,30,195.371615869303,14,3,0,"LED Off","2024-08-03 00:00:00"
"Day",8,4,35,127.458177378325,11,2,0,"LED Off","2024-08-04 00:00:00"
"Day",8,5,50,218.553957114341,21,3,0,"LED Off","2024-08-05 00:00:00"
"Day",8,6,51,233.503773410778,17,5,0,"LED Off","2024-08-06 00:00:00"
"Day",8,7,64,269.104332957284,30,7,0,"LED Off","2024-08-07 00:00:00"
"Day",8,8,71,310.76737892433,30,5,1,"LED Off","2024-08-08 00:00:00"
"Day",8,9,35,162.24511734567,12,5,0,"LED Off","2024-08-09 00:00:00"
"Day",8,10,111,1263.48486219528,48,13,1,"LED Off","2024-08-10 00:00:00"
"Day",8,11,88,716.79074544473,47,12,2,"LED Off","2024-08-11 00:00:00"
"Day",8,12,52,285.70700773057,32,0,0,"LED Off","2024-08-12 00:00:00"
"Day",8,13,89,415.140187154285,43,4,0,"LED Off","2024-08-13 00:00:00"
"Day",8,14,36,307.644034949731,19,0,4,"LED Off","2024-08-14 00:00:00"
"Day",8,15,97,578.453378310786,36,12,0,"LED Off","2024-08-15 00:00:00"
"Day",8,16,57,593.942003741763,23,2,0,"LED Off","2024-08-16 00:00:00"
"Day",8,17,65,535.277832325634,41,2,5,"LED Off","2024-08-17 00:00:00"
"Day",8,18,0,0,0,0,0,"LED Off","2024-08-18 00:00:00"
"Day",8,19,29,160.858652584948,21,2,0,"LED Off","2024-08-19 00:00:00"
"Day",8,20,99,559.360763532597,48,3,2,"LED Off","2024-08-20 00:00:00"
"Day",8,21,11,56.7039796165833,6,1,0,"LED Off","2024-08-21 00:00:00"
"Day",8,22,170,3061.07124028682,100,20,4,"LED Off","2024-08-22 00:00:00"
"Day",8,23,200,3279.67196427085,116,24,10,"LED Off","2024-08-23 00:00:00"
"Day",8,24,110,1401.75924242194,57,10,9,"LED Off","2024-08-24 00:00:00"
"Day",8,25,83,755.743054431807,66,4,3,"LED Off","2024-08-25 00:00:00"
"Day",8,26,87,1435.35775176108,56,7,10,"LED Off","2024-08-26 00:00:00"
"Day",8,27,123,1066.27400994617,41,4,3,"LED Off","2024-08-27 00:00:00"
"Day",8,28,96,526.277384195836,39,6,2,"LED Off","2024-08-28 00:00:00"
"Day",8,29,70,441.462582168355,34,4,1,"LED Off","2024-08-29 00:00:00"
"Day",8,30,66,478.920855392919,43,1,4,"LED Off","2024-08-30 00:00:00"
"Day",8,31,101,685.069520510034,52,7,2,"LED Off","2024-08-31 00:00:00"
