"ISWR","P","RH","TA","VW","timestamp","day_of_year","Hour","hourly_abundance","hourly_biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","site","position","Elevation","ISWR_r3d","P_r3d","RH_r3d","TA_r3d","VW_r3d"
0,84883.994,0.935333333333333,12.5766666666667,0.666666666666667,"2024-07-23 00:00:00",205,0,0,0,0,0,0,"LED Off","Jatzhorn","Lower",1532,200.813333333333,84513.1254666667,0.770026666666667,15.1988,2.19066666666667
0,84846.5473333333,0.933333333333333,11.8333333333334,1.43333333333333,"2024-07-23 03:00:00",205,3,1,11.1690563553318,1,0,0,"LED Off","Jatzhorn","Lower",1532,200.813333333333,84519.3390666667,0.776106666666667,15.1397333333334,2.19866666666667
106.666666666667,84865.054,0.941,12.47,0.566666666666667,"2024-07-23 06:00:00",205,6,2,9.06515697132194,1,0,0,"LED Off","Jatzhorn","Lower",1532,205.08,84530.9235333333,0.781506666666667,15.1222666666667,2.18933333333333
311.666666666667,84894.2206666667,0.873,14.8333333333334,1.76666666666667,"2024-07-23 09:00:00",205,9,5,16.2917965218195,3,0,0,"LED Off","Jatzhorn","Lower",1532,212.093333333333,84546.1560666667,0.78392,15.1696,2.21866666666667
875.333333333333,84891.7206666667,0.648,18.0233333333334,4.06666666666667,"2024-07-23 12:00:00",205,12,1,0,1,0,0,"LED Off","Jatzhorn","Lower",1532,224.506666666667,84561.7965333333,0.784013333333333,15.1928,2.32666666666667
645,84881.2256666667,0.503666666666667,19.4633333333333,2.23333333333333,"2024-07-23 15:00:00",205,15,0,0,0,0,0,"LED Off","Jatzhorn","Lower",1532,220.786666666667,84578.5582666667,0.785426666666667,15.1830666666667,2.32133333333333
121,84898.554,0.692333333333333,17.0366666666667,2.93333333333333,"2024-07-23 18:00:00",205,18,6,30.1269316211391,5,0,0,"LED Off","Jatzhorn","Lower",1532,200.76,84598.7489333333,0.79188,15.1192,2.356
0,84883.0773333333,0.835333333333333,14.9266666666667,2.46666666666667,"2024-07-23 21:00:00",205,21,0,0,0,0,0,"LED Off","Jatzhorn","Lower",1532,195.626666666667,84619.7588,0.799093333333333,15.0378666666667,2.384
0,84822.0623333333,0.923666666666667,13.6733333333333,1,"2024-07-24 00:00:00",206,0,0,0,0,0,0,"LED Off","Jatzhorn","Lower",1532,195.626666666667,84637.8477333333,0.80756,14.9761333333334,2.392
0,84738.2056666667,0.968666666666667,12.5433333333334,1.16666666666667,"2024-07-24 03:00:00",206,3,1,5.65752551775699,0,0,0,"LED Off","Jatzhorn","Lower",1532,195.626666666667,84654.5669333333,0.81804,14.9022666666667,2.39733333333333
