"Month","Day","Hour","hourly_abundance","hourly_biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
7,23,0,0,0,0,0,0,"LED Off","2024-07-23 00:00:00"
7,23,1,0,0,0,0,0,"LED Off","2024-07-23 01:00:00"
7,23,2,0,0,0,0,0,"LED Off","2024-07-23 02:00:00"
7,23,3,0,0,0,0,0,"LED Off","2024-07-23 03:00:00"
7,23,4,0,0,0,0,0,"LED Off","2024-07-23 04:00:00"
7,23,5,1,11.1690563553318,1,0,0,"LED Off","2024-07-23 05:00:00"
7,23,6,1,0.904255224998406,0,0,0,"LED Off","2024-07-23 06:00:00"
7,23,7,0,0,0,0,0,"LED Off","2024-07-23 07:00:00"
7,23,8,1,8.16090174632353,1,0,0,"LED Off","2024-07-23 08:00:00"
7,23,9,1,0.904255224998406,0,0,0,"LED Off","2024-07-23 09:00:00"
7,23,10,0,0,0,0,0,"LED Off","2024-07-23 10:00:00"
7,23,11,4,15.3875412968211,3,0,0,"LED Off","2024-07-23 11:00:00"
7,23,12,1,0,1,0,0,"LED Off","2024-07-23 12:00:00"
7,23,13,0,0,0,0,0,"LED Off","2024-07-23 13:00:00"
7,23,14,0,0,0,0,0,"LED Off","2024-07-23 14:00:00"
7,23,15,0,0,0,0,0,"LED Off","2024-07-23 15:00:00"
7,23,16,0,0,0,0,0,"LED Off","2024-07-23 16:00:00"
7,23,17,0,0,0,0,0,"LED Off","2024-07-23 17:00:00"
7,23,18,2,13.9474127711107,2,0,0,"LED Off","2024-07-23 18:00:00"
7,23,19,3,14.9405231447773,2,0,0,"LED Off","2024-07-23 19:00:00"
7,23,20,1,1.2389957052511,1,0,0,"LED Off","2024-07-23 20:00:00"
7,23,21,0,0,0,0,0,"LED Off","2024-07-23 21:00:00"
7,23,22,0,0,0,0,0,"LED Off","2024-07-23 22:00:00"
7,23,23,0,0,0,0,0,"LED Off","2024-07-23 23:00:00"
7,24,0,0,0,0,0,0,"LED Off","2024-07-24 00:00:00"
7,24,1,0,0,0,0,0,"LED Off","2024-07-24 01:00:00"
7,24,2,0,0,0,0,0,"LED Off","2024-07-24 02:00:00"
7,24,3,0,0,0,0,0,"LED Off","2024-07-24 03:00:00"
7,24,4,0,0,0,0,0,"LED Off","2024-07-24 04:00:00"
7,24,5,1,5.65752551775699,0,0,0,"LED Off","2024-07-24 05:00:00"
7,24,6,0,0,0,0,0,"LED Off","2024-07-24 06:00:00"
7,24,7,0,0,0,0,0,"LED Off","2024-07-24 07:00:00"
7,24,8,0,0,0,0,0,"LED Off","2024-07-24 08:00:00"
7,24,9,1,2.26881154451816,0,0,0,"LED Off","2024-07-24 09:00:00"
7,24,10,1,0,1,0,0,"LED Off","2024-07-24 10:00:00"
7,24,11,1,1.11746839708877,1,0,0,"LED Off","2024-07-24 11:00:00"
7,24,12,2,4.75828731147338,2,0,0,"LED Off","2024-07-24 12:00:00"
7,24,13,0,0,0,0,0,"LED Off","2024-07-24 13:00:00"
7,24,14,0,0,0,0,0,"LED Off","2024-07-24 14:00:00"
7,24,15,0,0,0,0,0,"LED Off","2024-07-24 15:00:00"
7,24,16,0,0,0,0,0,"LED Off","2024-07-24 16:00:00"
7,24,17,1,3.22797362412693,0,0,0,"LED Off","2024-07-24 17:00:00"
7,24,18,6,69.5510371746874,6,0,0,"LED Off","2024-07-24 18:00:00"
7,24,19,1,4.35069453019477,0,0,0,"LED Off","2024-07-24 19:00:00"
7,24,20,0,0,0,0,0,"LED Off","2024-07-24 20:00:00"
7,24,21,0,0,0,0,0,"LED Off","2024-07-24 21:00:00"
7,24,22,0,0,0,0,0,"LED Off","2024-07-24 22:00:00"
7,24,23,0,0,0,0,0,"LED Off","2024-07-24 23:00:00"
7,25,0,0,0,0,0,0,"LED Off","2024-07-25 00:00:00"
7,25,1,0,0,0,0,0,"LED Off","2024-07-25 01:00:00"
7,25,2,0,0,0,0,0,"LED Off","2024-07-25 02:00:00"
7,25,3,0,0,0,0,0,"LED Off","2024-07-25 03:00:00"
7,25,4,0,0,0,0,0,"LED Off","2024-07-25 04:00:00"
7,25,5,0,0,0,0,0,"LED Off","2024-07-25 05:00:00"
7,25,6,0,0,0,0,0,"LED Off","2024-07-25 06:00:00"
7,25,7,0,0,0,0,0,"LED Off","2024-07-25 07:00:00"
7,25,8,0,0,0,0,0,"LED Off","2024-07-25 08:00:00"
7,25,9,3,11.316896733437,1,0,0,"LED Off","2024-07-25 09:00:00"
7,25,10,9,49.0494704660985,4,0,1,"LED Off","2024-07-25 10:00:00"
7,25,11,4,12.2335963944261,2,0,0,"LED Off","2024-07-25 11:00:00"
7,25,12,1,1.93600714687042,0,0,0,"LED Off","2024-07-25 12:00:00"
7,25,13,0,0,0,0,0,"LED Off","2024-07-25 13:00:00"
7,25,14,1,3.42220372900639,0,1,0,"LED Off","2024-07-25 14:00:00"
7,25,15,0,0,0,0,0,"LED Off","2024-07-25 15:00:00"
7,25,16,0,0,0,0,0,"LED Off","2024-07-25 16:00:00"
7,25,17,0,0,0,0,0,"LED Off","2024-07-25 17:00:00"
7,25,18,1,1.2389957052511,0,0,0,"LED Off","2024-07-25 18:00:00"
7,25,19,0,0,0,0,0,"LED Off","2024-07-25 19:00:00"
7,25,20,3,4.43551417399932,1,1,0,"LED Off","2024-07-25 20:00:00"
7,25,21,2,3.30337875802006,0,0,0,"LED Off","2024-07-25 21:00:00"
7,25,22,0,0,0,0,0,"LED Off","2024-07-25 22:00:00"
7,25,23,0,0,0,0,0,"LED Off","2024-07-25 23:00:00"
7,26,0,0,0,0,0,0,"LED Off","2024-07-26 00:00:00"
7,26,1,0,0,0,0,0,"LED Off","2024-07-26 01:00:00"
7,26,2,0,0,0,0,0,"LED Off","2024-07-26 02:00:00"
7,26,3,0,0,0,0,0,"LED Off","2024-07-26 03:00:00"
7,26,4,0,0,0,0,0,"LED Off","2024-07-26 04:00:00"
7,26,5,0,0,0,0,0,"LED Off","2024-07-26 05:00:00"
7,26,6,0,0,0,0,0,"LED Off","2024-07-26 06:00:00"
7,26,7,0,0,0,0,0,"LED Off","2024-07-26 07:00:00"
7,26,8,10,70.0733738478735,5,1,0,"LED Off","2024-07-26 08:00:00"
7,26,9,9,29.5595133006749,2,0,0,"LED Off","2024-07-26 09:00:00"
7,26,10,9,75.8328781691203,3,0,2,"LED Off","2024-07-26 10:00:00"
7,26,11,3,29.1829563362429,2,1,0,"LED Off","2024-07-26 11:00:00"
7,26,12,1,37.2644632116589,0,0,0,"LED Off","2024-07-26 12:00:00"
7,26,13,0,0,0,0,0,"LED Off","2024-07-26 13:00:00"
7,26,14,0,0,0,0,0,"LED Off","2024-07-26 14:00:00"
7,26,15,0,0,0,0,0,"LED Off","2024-07-26 15:00:00"
7,26,16,0,0,0,0,0,"LED Off","2024-07-26 16:00:00"
7,26,17,0,0,0,0,0,"LED Off","2024-07-26 17:00:00"
7,26,18,3,9.05400961816857,2,0,0,"LED Off","2024-07-26 18:00:00"
7,26,19,2,4.86063125789036,1,0,0,"LED Off","2024-07-26 19:00:00"
7,26,20,0,0,0,0,0,"LED Off","2024-07-26 20:00:00"
7,26,21,0,0,0,0,0,"LED Off","2024-07-26 21:00:00"
7,26,22,0,0,0,0,0,"LED Off","2024-07-26 22:00:00"
7,26,23,0,0,0,0,0,"LED Off","2024-07-26 23:00:00"
7,27,0,0,0,0,0,0,"LED Off","2024-07-27 00:00:00"
7,27,1,0,0,0,0,0,"LED Off","2024-07-27 01:00:00"
7,27,2,0,0,0,0,0,"LED Off","2024-07-27 02:00:00"
7,27,3,0,0,0,0,0,"LED Off","2024-07-27 03:00:00"
7,27,4,0,0,0,0,0,"LED Off","2024-07-27 04:00:00"
7,27,5,0,0,0,0,0,"LED Off","2024-07-27 05:00:00"
7,27,6,0,0,0,0,0,"LED Off","2024-07-27 06:00:00"
7,27,7,2,23.4626997879113,2,0,0,"LED Off","2024-07-27 07:00:00"
7,27,8,7,43.3918105101878,4,0,0,"LED Off","2024-07-27 08:00:00"
7,27,9,10,31.7626466169504,2,0,0,"LED Off","2024-07-27 09:00:00"
7,27,10,8,30.1533984168826,2,0,0,"LED Off","2024-07-27 10:00:00"
7,27,11,0,0,0,0,0,"LED Off","2024-07-27 11:00:00"
7,27,12,0,0,0,0,0,"LED Off","2024-07-27 12:00:00"
7,27,13,4,9.68674974324494,2,0,0,"LED Off","2024-07-27 13:00:00"
7,27,14,1,1.11746839708877,1,0,0,"LED Off","2024-07-27 14:00:00"
7,27,15,5,15.8359791639919,3,1,0,"LED Off","2024-07-27 15:00:00"
7,27,16,1,1.11746839708877,0,1,0,"LED Off","2024-07-27 16:00:00"
7,27,17,1,5.94669562707619,1,0,0,"LED Off","2024-07-27 17:00:00"
7,27,18,7,12.9400897802851,1,0,0,"LED Off","2024-07-27 18:00:00"
7,27,19,9,22.9898896544534,1,2,0,"LED Off","2024-07-27 19:00:00"
7,27,20,1,7.81681609536883,0,0,0,"LED Off","2024-07-27 20:00:00"
7,27,21,0,0,0,0,0,"LED Off","2024-07-27 21:00:00"
7,27,22,0,0,0,0,0,"LED Off","2024-07-27 22:00:00"
7,27,23,0,0,0,0,0,"LED Off","2024-07-27 23:00:00"
7,28,0,0,0,0,0,0,"LED Off","2024-07-28 00:00:00"
7,28,1,0,0,0,0,0,"LED Off","2024-07-28 01:00:00"
7,28,2,0,0,0,0,0,"LED Off","2024-07-28 02:00:00"
7,28,3,0,0,0,0,0,"LED Off","2024-07-28 03:00:00"
7,28,4,0,0,0,0,0,"LED Off","2024-07-28 04:00:00"
7,28,5,0,0,0,0,0,"LED Off","2024-07-28 05:00:00"
7,28,6,0,0,0,0,0,"LED Off","2024-07-28 06:00:00"
