"Month","Day","Hour","hourly_abundance","hourly_biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
7,23,0,0,0,0,0,0,"LED Off","2024-07-23 00:00:00"
7,23,1,0,0,0,0,0,"LED Off","2024-07-23 01:00:00"
7,23,2,0,0,0,0,0,"LED Off","2024-07-23 02:00:00"
7,23,3,0,0,0,0,0,"LED Off","2024-07-23 03:00:00"
7,23,4,0,0,0,0,0,"LED Off","2024-07-23 04:00:00"
7,23,5,0,0,0,0,0,"LED Off","2024-07-23 05:00:00"
7,23,6,0,0,0,0,0,"LED Off","2024-07-23 06:00:00"
7,23,7,1,3.48167728232229,1,0,0,"LED Off","2024-07-23 07:00:00"
7,23,8,5,63.0531918027673,5,0,0,"LED Off","2024-07-23 08:00:00"
7,23,9,3,18.1144702936751,2,0,1,"LED Off","2024-07-23 09:00:00"
7,23,10,0,0,0,0,0,"LED Off","2024-07-23 10:00:00"
7,23,11,0,0,0,0,0,"LED Off","2024-07-23 11:00:00"
7,23,12,3,16.3071182478946,1,1,1,"LED Off","2024-07-23 12:00:00"
7,23,13,1,25.8927426979872,1,0,0,"LED Off","2024-07-23 13:00:00"
7,23,14,3,24.1360968832392,3,0,0,"LED Off","2024-07-23 14:00:00"
7,23,15,1,27.2147831232952,1,0,0,"LED Off","2024-07-23 15:00:00"
7,23,16,3,42.3169434240028,1,0,0,"LED Off","2024-07-23 16:00:00"
7,23,17,1,3.91364627921447,0,1,0,"LED Off","2024-07-23 17:00:00"
7,23,18,3,19.8159890364334,1,0,0,"LED Off","2024-07-23 18:00:00"
7,23,19,3,11.6632217897427,2,0,0,"LED Off","2024-07-23 19:00:00"
7,23,20,0,0,0,0,0,"LED Off","2024-07-23 20:00:00"
7,23,21,1,11.855773473583,1,0,0,"LED Off","2024-07-23 21:00:00"
7,23,22,0,0,0,0,0,"LED Off","2024-07-23 22:00:00"
7,23,23,0,0,0,0,0,"LED Off","2024-07-23 23:00:00"
7,24,0,0,0,0,0,0,"LED Off","2024-07-24 00:00:00"
7,24,1,0,0,0,0,0,"LED Off","2024-07-24 01:00:00"
7,24,2,0,0,0,0,0,"LED Off","2024-07-24 02:00:00"
7,24,3,0,0,0,0,0,"LED Off","2024-07-24 03:00:00"
7,24,4,0,0,0,0,0,"LED Off","2024-07-24 04:00:00"
7,24,5,0,0,0,0,0,"LED Off","2024-07-24 05:00:00"
7,24,6,0,0,0,0,0,"LED Off","2024-07-24 06:00:00"
7,24,7,0,0,0,0,0,"LED Off","2024-07-24 07:00:00"
7,24,8,11,43.4833705806036,4,0,0,"LED Off","2024-07-24 08:00:00"
7,24,9,2,35.5506185892025,2,0,0,"LED Off","2024-07-24 09:00:00"
7,24,10,0,0,0,0,0,"LED Off","2024-07-24 10:00:00"
7,24,11,1,4.39578488784419,1,0,0,"LED Off","2024-07-24 11:00:00"
7,24,12,0,0,0,0,0,"LED Off","2024-07-24 12:00:00"
7,24,13,0,0,0,0,0,"LED Off","2024-07-24 13:00:00"
7,24,14,8,86.0972533764326,0,7,0,"LED Off","2024-07-24 14:00:00"
7,24,15,0,0,0,0,0,"LED Off","2024-07-24 15:00:00"
7,24,16,13,95.7660932847399,5,0,3,"LED Off","2024-07-24 16:00:00"
7,24,17,9,97.8615890486784,0,5,1,"LED Off","2024-07-24 17:00:00"
7,24,18,2,9.17412292711802,1,0,0,"LED Off","2024-07-24 18:00:00"
7,24,19,0,0,0,0,0,"LED Off","2024-07-24 19:00:00"
7,24,20,0,0,0,0,0,"LED Off","2024-07-24 20:00:00"
7,24,21,0,0,0,0,0,"LED Off","2024-07-24 21:00:00"
7,24,22,0,0,0,0,0,"LED Off","2024-07-24 22:00:00"
7,24,23,0,0,0,0,0,"LED Off","2024-07-24 23:00:00"
7,25,0,0,0,0,0,0,"LED Off","2024-07-25 00:00:00"
7,25,1,0,0,0,0,0,"LED Off","2024-07-25 01:00:00"
7,25,2,0,0,0,0,0,"LED Off","2024-07-25 02:00:00"
7,25,3,0,0,0,0,0,"LED Off","2024-07-25 03:00:00"
7,25,4,0,0,0,0,0,"LED Off","2024-07-25 04:00:00"
7,25,5,0,0,0,0,0,"LED Off","2024-07-25 05:00:00"
7,25,6,0,0,0,0,0,"LED Off","2024-07-25 06:00:00"
7,25,7,0,0,0,0,0,"LED Off","2024-07-25 07:00:00"
7,25,8,3,21.0583571106171,1,0,1,"LED Off","2024-07-25 08:00:00"
7,25,9,0,0,0,0,0,"LED Off","2024-07-25 09:00:00"
7,25,10,4,35.5979657713468,3,0,0,"LED Off","2024-07-25 10:00:00"
7,25,11,3,31.6340547231168,3,0,0,"LED Off","2024-07-25 11:00:00"
7,25,12,0,0,0,0,0,"LED Off","2024-07-25 12:00:00"
7,25,13,0,0,0,0,0,"LED Off","2024-07-25 13:00:00"
7,25,14,0,0,0,0,0,"LED Off","2024-07-25 14:00:00"
7,25,15,1,9.51475302031643,1,0,0,"LED Off","2024-07-25 15:00:00"
7,25,16,0,0,0,0,0,"LED Off","2024-07-25 16:00:00"
7,25,17,1,0,0,0,0,"LED Off","2024-07-25 17:00:00"
7,25,18,2,2.99445122391459,0,1,0,"LED Off","2024-07-25 18:00:00"
7,25,19,4,80.822862025456,4,0,0,"LED Off","2024-07-25 19:00:00"
7,25,20,0,0,0,0,0,"LED Off","2024-07-25 20:00:00"
7,25,21,0,0,0,0,0,"LED Off","2024-07-25 21:00:00"
7,25,22,0,0,0,0,0,"LED Off","2024-07-25 22:00:00"
7,25,23,0,0,0,0,0,"LED Off","2024-07-25 23:00:00"
7,26,0,0,0,0,0,0,"LED Off","2024-07-26 00:00:00"
7,26,1,0,0,0,0,0,"LED Off","2024-07-26 01:00:00"
7,26,2,0,0,0,0,0,"LED Off","2024-07-26 02:00:00"
7,26,3,0,0,0,0,0,"LED Off","2024-07-26 03:00:00"
7,26,4,0,0,0,0,0,"LED Off","2024-07-26 04:00:00"
7,26,5,1,0,0,0,0,"LED Off","2024-07-26 05:00:00"
7,26,6,0,0,0,0,0,"LED Off","2024-07-26 06:00:00"
7,26,7,7,20.0951209146047,1,0,0,"LED Off","2024-07-26 07:00:00"
7,26,8,7,77.063035867963,5,0,0,"LED Off","2024-07-26 08:00:00"
7,26,9,2,2.85600873246524,0,0,0,"LED Off","2024-07-26 09:00:00"
7,26,10,3,185.161642446148,1,0,0,"LED Off","2024-07-26 10:00:00"
7,26,11,3,27.0643866691228,3,0,0,"LED Off","2024-07-26 11:00:00"
7,26,12,0,0,0,0,0,"LED Off","2024-07-26 12:00:00"
7,26,13,0,0,0,0,0,"LED Off","2024-07-26 13:00:00"
7,26,14,2,27.369614976694,2,0,0,"LED Off","2024-07-26 14:00:00"
7,26,15,0,0,0,0,0,"LED Off","2024-07-26 15:00:00"
7,26,16,0,0,0,0,0,"LED Off","2024-07-26 16:00:00"
7,26,17,1,1.42800436623262,1,0,0,"LED Off","2024-07-26 17:00:00"
7,26,18,3,19.0648020134513,3,0,0,"LED Off","2024-07-26 18:00:00"
7,26,19,3,15.798869284943,3,0,0,"LED Off","2024-07-26 19:00:00"
7,26,20,3,28.2475817760944,2,0,0,"LED Off","2024-07-26 20:00:00"
7,26,21,0,0,0,0,0,"LED Off","2024-07-26 21:00:00"
7,26,22,0,0,0,0,0,"LED Off","2024-07-26 22:00:00"
7,26,23,0,0,0,0,0,"LED Off","2024-07-26 23:00:00"
7,27,0,0,0,0,0,0,"LED Off","2024-07-27 00:00:00"
7,27,1,0,0,0,0,0,"LED Off","2024-07-27 01:00:00"
7,27,2,0,0,0,0,0,"LED Off","2024-07-27 02:00:00"
7,27,3,0,0,0,0,0,"LED Off","2024-07-27 03:00:00"
7,27,4,0,0,0,0,0,"LED Off","2024-07-27 04:00:00"
7,27,5,0,0,0,0,0,"LED Off","2024-07-27 05:00:00"
7,27,6,1,0.208662857659651,0,0,0,"LED Off","2024-07-27 06:00:00"
7,27,7,0,0,0,0,0,"LED Off","2024-07-27 07:00:00"
7,27,8,1,3.70452237322369,1,0,0,"LED Off","2024-07-27 08:00:00"
7,27,9,4,26.1028577173174,4,0,0,"LED Off","2024-07-27 09:00:00"
7,27,10,1,3.48167728232229,1,0,0,"LED Off","2024-07-27 10:00:00"
7,27,11,0,0,0,0,0,"LED Off","2024-07-27 11:00:00"
7,27,12,0,0,0,0,0,"LED Off","2024-07-27 12:00:00"
7,27,13,0,0,0,0,0,"LED Off","2024-07-27 13:00:00"
7,27,14,0,0,0,0,0,"LED Off","2024-07-27 14:00:00"
7,27,15,1,0,1,0,0,"LED Off","2024-07-27 15:00:00"
7,27,16,0,0,0,0,0,"LED Off","2024-07-27 16:00:00"
7,27,17,3,16.4881790374869,2,0,0,"LED Off","2024-07-27 17:00:00"
7,27,18,2,74.8275287307882,1,0,0,"LED Off","2024-07-27 18:00:00"
7,27,19,0,0,0,0,0,"LED Off","2024-07-27 19:00:00"
7,27,20,0,0,0,0,0,"LED Off","2024-07-27 20:00:00"
7,27,21,0,0,0,0,0,"LED Off","2024-07-27 21:00:00"
7,27,22,0,0,0,0,0,"LED Off","2024-07-27 22:00:00"
7,27,23,0,0,0,0,0,"LED Off","2024-07-27 23:00:00"
7,28,0,0,0,0,0,0,"LED Off","2024-07-28 00:00:00"
7,28,1,0,0,0,0,0,"LED Off","2024-07-28 01:00:00"
7,28,2,0,0,0,0,0,"LED Off","2024-07-28 02:00:00"
7,28,3,0,0,0,0,0,"LED Off","2024-07-28 03:00:00"
7,28,4,0,0,0,0,0,"LED Off","2024-07-28 04:00:00"
7,28,5,0,0,0,0,0,"LED Off","2024-07-28 05:00:00"
7,28,6,0,0,0,0,0,"LED Off","2024-07-28 06:00:00"
