"Month","Day","Hour","hourly_abundance","hourly_biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
7,23,0,0,0,0,0,0,"LED Off","2024-07-23 00:00:00"
7,23,1,0,0,0,0,0,"LED Off","2024-07-23 01:00:00"
7,23,2,0,0,0,0,0,"LED Off","2024-07-23 02:00:00"
7,23,3,0,0,0,0,0,"LED Off","2024-07-23 03:00:00"
7,23,4,0,0,0,0,0,"LED Off","2024-07-23 04:00:00"
7,23,5,0,0,0,0,0,"LED Off","2024-07-23 05:00:00"
7,23,6,0,0,0,0,0,"LED Off","2024-07-23 06:00:00"
7,23,7,0,0,0,0,0,"LED Off","2024-07-23 07:00:00"
7,23,8,0,0,0,0,0,"LED Off","2024-07-23 08:00:00"
7,23,9,1,0.103586027632746,0,0,0,"LED Off","2024-07-23 09:00:00"
7,23,10,2,26.0663180224378,2,0,0,"LED Off","2024-07-23 10:00:00"
7,23,11,2,13.3131507863588,0,2,0,"LED Off","2024-07-23 11:00:00"
7,23,12,5,38.3833295301824,3,0,0,"LED Off","2024-07-23 12:00:00"
7,23,13,11,74.5708172926312,8,0,0,"LED Off","2024-07-23 13:00:00"
7,23,14,1,8.00350032976441,0,0,0,"LED Off","2024-07-23 14:00:00"
7,23,15,5,42.690552163719,1,2,0,"LED Off","2024-07-23 15:00:00"
7,23,16,1,11.0194733231418,0,1,0,"LED Off","2024-07-23 16:00:00"
7,23,17,0,0,0,0,0,"LED Off","2024-07-23 17:00:00"
7,23,18,3,23.786218468009,2,0,0,"LED Off","2024-07-23 18:00:00"
7,23,19,2,14.9937487781712,2,0,0,"LED Off","2024-07-23 19:00:00"
7,23,20,1,7.00627303709418,1,0,0,"LED Off","2024-07-23 20:00:00"
7,23,21,0,0,0,0,0,"LED Off","2024-07-23 21:00:00"
7,23,22,0,0,0,0,0,"LED Off","2024-07-23 22:00:00"
7,23,23,0,0,0,0,0,"LED Off","2024-07-23 23:00:00"
7,24,0,0,0,0,0,0,"LED Off","2024-07-24 00:00:00"
7,24,1,0,0,0,0,0,"LED Off","2024-07-24 01:00:00"
7,24,2,0,0,0,0,0,"LED Off","2024-07-24 02:00:00"
7,24,3,0,0,0,0,0,"LED Off","2024-07-24 03:00:00"
7,24,4,0,0,0,0,0,"LED Off","2024-07-24 04:00:00"
7,24,5,0,0,0,0,0,"LED Off","2024-07-24 05:00:00"
7,24,6,0,0,0,0,0,"LED Off","2024-07-24 06:00:00"
7,24,7,0,0,0,0,0,"LED Off","2024-07-24 07:00:00"
7,24,8,0,0,0,0,0,"LED Off","2024-07-24 08:00:00"
7,24,9,1,6.10773225856158,1,0,0,"LED Off","2024-07-24 09:00:00"
7,24,10,2,14.3529101604898,2,0,0,"LED Off","2024-07-24 10:00:00"
7,24,11,3,24.0521729601277,2,0,0,"LED Off","2024-07-24 11:00:00"
7,24,12,1,8.70855821517903,1,0,0,"LED Off","2024-07-24 12:00:00"
7,24,13,7,45.0464038160501,4,0,0,"LED Off","2024-07-24 13:00:00"
7,24,14,0,0,0,0,0,"LED Off","2024-07-24 14:00:00"
7,24,15,0,0,0,0,0,"LED Off","2024-07-24 15:00:00"
7,24,16,12,120.34120719268,3,3,0,"LED Off","2024-07-24 16:00:00"
7,24,17,14,141.069204421603,3,6,1,"LED Off","2024-07-24 17:00:00"
7,24,18,9,103.501223317217,5,0,0,"LED Off","2024-07-24 18:00:00"
7,24,19,3,39.5773282598849,1,0,0,"LED Off","2024-07-24 19:00:00"
7,24,20,0,0,0,0,0,"LED Off","2024-07-24 20:00:00"
7,24,21,0,0,0,0,0,"LED Off","2024-07-24 21:00:00"
7,24,22,0,0,0,0,0,"LED Off","2024-07-24 22:00:00"
7,24,23,0,0,0,0,0,"LED Off","2024-07-24 23:00:00"
7,25,0,0,0,0,0,0,"LED Off","2024-07-25 00:00:00"
7,25,1,0,0,0,0,0,"LED Off","2024-07-25 01:00:00"
7,25,2,0,0,0,0,0,"LED Off","2024-07-25 02:00:00"
7,25,3,0,0,0,0,0,"LED Off","2024-07-25 03:00:00"
7,25,4,0,0,0,0,0,"LED Off","2024-07-25 04:00:00"
7,25,5,0,0,0,0,0,"LED Off","2024-07-25 05:00:00"
7,25,6,0,0,0,0,0,"LED Off","2024-07-25 06:00:00"
7,25,7,0,0,0,0,0,"LED Off","2024-07-25 07:00:00"
7,25,8,4,99.9188843520845,4,0,0,"LED Off","2024-07-25 08:00:00"
7,25,9,1,7.00627303709418,1,0,0,"LED Off","2024-07-25 09:00:00"
7,25,10,4,34.509266895499,1,0,0,"LED Off","2024-07-25 10:00:00"
7,25,11,4,20.4960842818922,2,1,0,"LED Off","2024-07-25 11:00:00"
7,25,12,14,114.699562385597,3,2,0,"LED Off","2024-07-25 12:00:00"
7,25,13,12,99.2730367166817,6,3,0,"LED Off","2024-07-25 13:00:00"
7,25,14,6,47.8368339330155,6,0,0,"LED Off","2024-07-25 14:00:00"
7,25,15,3,17.0842184359712,2,0,0,"LED Off","2024-07-25 15:00:00"
7,25,16,5,54.9022516651534,0,2,0,"LED Off","2024-07-25 16:00:00"
7,25,17,8,76.5179681682925,0,4,0,"LED Off","2024-07-25 17:00:00"
7,25,18,4,19.2210295097595,4,0,0,"LED Off","2024-07-25 18:00:00"
7,25,19,4,24.2526336191586,4,0,0,"LED Off","2024-07-25 19:00:00"
7,25,20,4,21.2002174055121,4,0,0,"LED Off","2024-07-25 20:00:00"
7,25,21,0,0,0,0,0,"LED Off","2024-07-25 21:00:00"
7,25,22,0,0,0,0,0,"LED Off","2024-07-25 22:00:00"
7,25,23,0,0,0,0,0,"LED Off","2024-07-25 23:00:00"
7,26,0,0,0,0,0,0,"LED Off","2024-07-26 00:00:00"
7,26,1,0,0,0,0,0,"LED Off","2024-07-26 01:00:00"
7,26,2,0,0,0,0,0,"LED Off","2024-07-26 02:00:00"
7,26,3,0,0,0,0,0,"LED Off","2024-07-26 03:00:00"
7,26,4,0,0,0,0,0,"LED Off","2024-07-26 04:00:00"
7,26,5,0,0,0,0,0,"LED Off","2024-07-26 05:00:00"
7,26,6,0,0,0,0,0,"LED Off","2024-07-26 06:00:00"
7,26,7,1,9.44608681157341,1,0,0,"LED Off","2024-07-26 07:00:00"
7,26,8,4,162.993344180143,2,0,0,"LED Off","2024-07-26 08:00:00"
7,26,9,3,17.2797742524697,2,1,0,"LED Off","2024-07-26 09:00:00"
7,26,10,5,38.9742222728888,1,0,0,"LED Off","2024-07-26 10:00:00"
7,26,11,8,66.9915825231793,7,0,0,"LED Off","2024-07-26 11:00:00"
7,26,12,12,55.0491467661334,8,0,0,"LED Off","2024-07-26 12:00:00"
7,26,13,4,29.0702662025894,3,0,0,"LED Off","2024-07-26 13:00:00"
7,26,14,4,30.6413320773974,2,0,0,"LED Off","2024-07-26 14:00:00"
7,26,15,2,55.4975889715475,0,0,0,"LED Off","2024-07-26 15:00:00"
7,26,16,3,31.9035130228784,1,0,0,"LED Off","2024-07-26 16:00:00"
7,26,17,7,183.515910992099,3,0,0,"LED Off","2024-07-26 17:00:00"
7,26,18,1,2.69938508772314,0,0,0,"LED Off","2024-07-26 18:00:00"
7,26,19,7,46.5105556721531,4,0,0,"LED Off","2024-07-26 19:00:00"
7,26,20,10,75.262364741365,10,0,0,"LED Off","2024-07-26 20:00:00"
7,26,21,0,0,0,0,0,"LED Off","2024-07-26 21:00:00"
7,26,22,0,0,0,0,0,"LED Off","2024-07-26 22:00:00"
7,26,23,0,0,0,0,0,"LED Off","2024-07-26 23:00:00"
7,27,0,0,0,0,0,0,"LED Off","2024-07-27 00:00:00"
7,27,1,0,0,0,0,0,"LED Off","2024-07-27 01:00:00"
7,27,2,0,0,0,0,0,"LED Off","2024-07-27 02:00:00"
7,27,3,0,0,0,0,0,"LED Off","2024-07-27 03:00:00"
7,27,4,0,0,0,0,0,"LED Off","2024-07-27 04:00:00"
7,27,5,0,0,0,0,0,"LED Off","2024-07-27 05:00:00"
7,27,6,0,0,0,0,0,"LED Off","2024-07-27 06:00:00"
7,27,7,0,0,0,0,0,"LED Off","2024-07-27 07:00:00"
7,27,8,14,90.6351086186427,11,1,0,"LED Off","2024-07-27 08:00:00"
7,27,9,9,89.9919997403016,7,1,0,"LED Off","2024-07-27 09:00:00"
7,27,10,16,112.819840664016,8,2,0,"LED Off","2024-07-27 10:00:00"
7,27,11,26,276.034103782356,7,4,0,"LED Off","2024-07-27 11:00:00"
7,27,12,5,42.159626087175,2,1,0,"LED Off","2024-07-27 12:00:00"
7,27,13,10,83.213895684321,7,1,0,"LED Off","2024-07-27 13:00:00"
7,27,14,4,24.6159471674638,0,1,0,"LED Off","2024-07-27 14:00:00"
7,27,15,5,35.8694421213625,4,1,0,"LED Off","2024-07-27 15:00:00"
7,27,16,8,60.3276457862963,3,1,0,"LED Off","2024-07-27 16:00:00"
7,27,17,5,47.2768426301751,1,4,0,"LED Off","2024-07-27 17:00:00"
7,27,18,10,77.3681134519197,5,1,0,"LED Off","2024-07-27 18:00:00"
7,27,19,15,113.408553952749,9,2,0,"LED Off","2024-07-27 19:00:00"
7,27,20,7,54.9664558876451,4,1,1,"LED Off","2024-07-27 20:00:00"
7,27,21,0,0,0,0,0,"LED Off","2024-07-27 21:00:00"
7,27,22,0,0,0,0,0,"LED Off","2024-07-27 22:00:00"
7,27,23,0,0,0,0,0,"LED Off","2024-07-27 23:00:00"
7,28,0,0,0,0,0,0,"LED Off","2024-07-28 00:00:00"
7,28,1,0,0,0,0,0,"LED Off","2024-07-28 01:00:00"
7,28,2,0,0,0,0,0,"LED Off","2024-07-28 02:00:00"
7,28,3,0,0,0,0,0,"LED Off","2024-07-28 03:00:00"
