"Month","Day","Hour","hourly_abundance","hourly_biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
7,23,0,0,0,0,0,0,"LED Off","2024-07-23 00:00:00"
7,23,1,0,0,0,0,0,"LED Off","2024-07-23 01:00:00"
7,23,2,0,0,0,0,0,"LED Off","2024-07-23 02:00:00"
7,23,3,0,0,0,0,0,"LED Off","2024-07-23 03:00:00"
7,23,4,0,0,0,0,0,"LED Off","2024-07-23 04:00:00"
7,23,5,0,0,0,0,0,"LED Off","2024-07-23 05:00:00"
7,23,6,0,0,0,0,0,"LED Off","2024-07-23 06:00:00"
7,23,7,0,0,0,0,0,"LED Off","2024-07-23 07:00:00"
7,23,8,18,97.0842750609727,14,2,0,"LED Off","2024-07-23 08:00:00"
7,23,9,6,39.2330889861351,5,0,0,"LED Off","2024-07-23 09:00:00"
7,23,10,7,47.6345421014094,7,0,0,"LED Off","2024-07-23 10:00:00"
7,23,11,24,151.924815342774,21,0,0,"LED Off","2024-07-23 11:00:00"
7,23,12,7,17.0722442051944,5,1,0,"LED Off","2024-07-23 12:00:00"
7,23,13,3,26.122234203169,3,0,0,"LED Off","2024-07-23 13:00:00"
7,23,14,7,35.7553664597148,5,1,0,"LED Off","2024-07-23 14:00:00"
7,23,15,7,63.3278560639712,4,1,0,"LED Off","2024-07-23 15:00:00"
7,23,16,5,63.099453614364,1,3,0,"LED Off","2024-07-23 16:00:00"
7,23,17,5,22.7749690596831,4,0,0,"LED Off","2024-07-23 17:00:00"
7,23,18,0,0,0,0,0,"LED Off","2024-07-23 18:00:00"
7,23,19,1,5.94669562707619,1,0,0,"LED Off","2024-07-23 19:00:00"
7,23,20,0,0,0,0,0,"LED Off","2024-07-23 20:00:00"
7,23,21,0,0,0,0,0,"LED Off","2024-07-23 21:00:00"
7,23,22,0,0,0,0,0,"LED Off","2024-07-23 22:00:00"
7,23,23,0,0,0,0,0,"LED Off","2024-07-23 23:00:00"
7,24,0,0,0,0,0,0,"LED Off","2024-07-24 00:00:00"
7,24,1,0,0,0,0,0,"LED Off","2024-07-24 01:00:00"
7,24,2,0,0,0,0,0,"LED Off","2024-07-24 02:00:00"
7,24,3,0,0,0,0,0,"LED Off","2024-07-24 03:00:00"
7,24,4,0,0,0,0,0,"LED Off","2024-07-24 04:00:00"
7,24,5,0,0,0,0,0,"LED Off","2024-07-24 05:00:00"
7,24,6,0,0,0,0,0,"LED Off","2024-07-24 06:00:00"
7,24,7,0,0,0,0,0,"LED Off","2024-07-24 07:00:00"
7,24,8,1,10.3598899929131,1,0,0,"LED Off","2024-07-24 08:00:00"
7,24,9,0,0,0,0,0,"LED Off","2024-07-24 09:00:00"
7,24,10,1,6.24371799639755,1,0,0,"LED Off","2024-07-24 10:00:00"
7,24,11,10,51.377921404276,8,0,0,"LED Off","2024-07-24 11:00:00"
7,24,12,3,28.1797043121212,3,0,0,"LED Off","2024-07-24 12:00:00"
7,24,13,0,0,0,0,0,"LED Off","2024-07-24 13:00:00"
7,24,14,1,6.54862606249359,1,0,0,"LED Off","2024-07-24 14:00:00"
7,24,15,7,17.7305418623875,2,3,0,"LED Off","2024-07-24 15:00:00"
7,24,16,4,37.436872528973,3,0,0,"LED Off","2024-07-24 16:00:00"
7,24,17,1,0.618078167209891,0,0,0,"LED Off","2024-07-24 17:00:00"
7,24,18,0,0,0,0,0,"LED Off","2024-07-24 18:00:00"
7,24,19,0,0,0,0,0,"LED Off","2024-07-24 19:00:00"
7,24,20,1,6.54862606249359,1,0,0,"LED Off","2024-07-24 20:00:00"
7,24,21,0,0,0,0,0,"LED Off","2024-07-24 21:00:00"
7,24,22,0,0,0,0,0,"LED Off","2024-07-24 22:00:00"
7,24,23,0,0,0,0,0,"LED Off","2024-07-24 23:00:00"
7,25,0,0,0,0,0,0,"LED Off","2024-07-25 00:00:00"
7,25,1,0,0,0,0,0,"LED Off","2024-07-25 01:00:00"
7,25,2,0,0,0,0,0,"LED Off","2024-07-25 02:00:00"
7,25,3,0,0,0,0,0,"LED Off","2024-07-25 03:00:00"
7,25,4,0,0,0,0,0,"LED Off","2024-07-25 04:00:00"
7,25,5,0,0,0,0,0,"LED Off","2024-07-25 05:00:00"
7,25,6,0,0,0,0,0,"LED Off","2024-07-25 06:00:00"
7,25,7,8,81.1770131454036,4,3,0,"LED Off","2024-07-25 07:00:00"
7,25,8,5,34.3582668319919,3,0,0,"LED Off","2024-07-25 08:00:00"
7,25,9,4,31.0144083701177,2,0,0,"LED Off","2024-07-25 09:00:00"
7,25,10,3,6.74796121394023,1,0,0,"LED Off","2024-07-25 10:00:00"
7,25,11,1,19.8662232808582,1,0,0,"LED Off","2024-07-25 11:00:00"
7,25,12,4,18.7553142729159,4,0,0,"LED Off","2024-07-25 12:00:00"
7,25,13,5,38.0761058117675,2,1,0,"LED Off","2024-07-25 13:00:00"
7,25,14,1,1.93600714687042,1,0,0,"LED Off","2024-07-25 14:00:00"
7,25,15,1,7.18223010491093,1,0,0,"LED Off","2024-07-25 15:00:00"
7,25,16,0,0,0,0,0,"LED Off","2024-07-25 16:00:00"
7,25,17,5,14.6895912238051,4,0,0,"LED Off","2024-07-25 17:00:00"
7,25,18,8,37.9309264752373,5,0,0,"LED Off","2024-07-25 18:00:00"
7,25,19,1,11.5860698044615,1,0,0,"LED Off","2024-07-25 19:00:00"
7,25,20,1,8.87331869235408,1,0,0,"LED Off","2024-07-25 20:00:00"
7,25,21,0,0,0,0,0,"LED Off","2024-07-25 21:00:00"
7,25,22,0,0,0,0,0,"LED Off","2024-07-25 22:00:00"
7,25,23,0,0,0,0,0,"LED Off","2024-07-25 23:00:00"
7,26,0,0,0,0,0,0,"LED Off","2024-07-26 00:00:00"
7,26,1,0,0,0,0,0,"LED Off","2024-07-26 01:00:00"
7,26,2,0,0,0,0,0,"LED Off","2024-07-26 02:00:00"
7,26,3,0,0,0,0,0,"LED Off","2024-07-26 03:00:00"
7,26,4,0,0,0,0,0,"LED Off","2024-07-26 04:00:00"
7,26,5,0,0,0,0,0,"LED Off","2024-07-26 05:00:00"
7,26,6,14,128.773439791018,10,1,0,"LED Off","2024-07-26 06:00:00"
7,26,7,28,167.915074058523,20,2,0,"LED Off","2024-07-26 07:00:00"
7,26,8,10,87.978328216911,7,2,1,"LED Off","2024-07-26 08:00:00"
7,26,9,5,22.2760412633607,4,0,0,"LED Off","2024-07-26 09:00:00"
7,26,10,8,31.8015064620829,4,1,0,"LED Off","2024-07-26 10:00:00"
7,26,11,13,50.251262760617,7,2,0,"LED Off","2024-07-26 11:00:00"
7,26,12,6,25.096554051355,1,1,0,"LED Off","2024-07-26 12:00:00"
7,26,13,1,2.82228016460296,1,0,0,"LED Off","2024-07-26 13:00:00"
7,26,14,4,30.3449173652476,3,1,0,"LED Off","2024-07-26 14:00:00"
7,26,15,5,40.7357517853595,2,1,0,"LED Off","2024-07-26 15:00:00"
7,26,16,2,15.6209699819534,1,1,0,"LED Off","2024-07-26 16:00:00"
7,26,17,0,0,0,0,0,"LED Off","2024-07-26 17:00:00"
7,26,18,1,11.1690563553318,1,0,0,"LED Off","2024-07-26 18:00:00"
7,26,19,3,29.3329563254946,3,0,0,"LED Off","2024-07-26 19:00:00"
7,26,20,0,0,0,0,0,"LED Off","2024-07-26 20:00:00"
7,26,21,0,0,0,0,0,"LED Off","2024-07-26 21:00:00"
7,26,22,0,0,0,0,0,"LED Off","2024-07-26 22:00:00"
7,26,23,0,0,0,0,0,"LED Off","2024-07-26 23:00:00"
7,27,0,0,0,0,0,0,"LED Off","2024-07-27 00:00:00"
7,27,1,0,0,0,0,0,"LED Off","2024-07-27 01:00:00"
7,27,2,0,0,0,0,0,"LED Off","2024-07-27 02:00:00"
7,27,3,0,0,0,0,0,"LED Off","2024-07-27 03:00:00"
7,27,4,0,0,0,0,0,"LED Off","2024-07-27 04:00:00"
7,27,5,0,0,0,0,0,"LED Off","2024-07-27 05:00:00"
7,27,6,2,58.9738924818875,1,0,0,"LED Off","2024-07-27 06:00:00"
7,27,7,7,48.8323145382546,7,0,0,"LED Off","2024-07-27 07:00:00"
7,27,8,19,194.770620605842,12,2,0,"LED Off","2024-07-27 08:00:00"
7,27,9,9,77.9432566958668,7,0,0,"LED Off","2024-07-27 09:00:00"
7,27,10,10,44.7567227360183,9,0,0,"LED Off","2024-07-27 10:00:00"
7,27,11,11,66.3483655677936,7,2,0,"LED Off","2024-07-27 11:00:00"
7,27,12,8,49.1008021005025,3,0,0,"LED Off","2024-07-27 12:00:00"
7,27,13,4,15.1085671671861,3,0,0,"LED Off","2024-07-27 13:00:00"
7,27,14,4,14.4170887189057,2,0,0,"LED Off","2024-07-27 14:00:00"
7,27,15,1,0,0,1,0,"LED Off","2024-07-27 15:00:00"
7,27,16,4,30.864598936568,1,1,0,"LED Off","2024-07-27 16:00:00"
7,27,17,1,1.50265524492733,0,0,0,"LED Off","2024-07-27 17:00:00"
7,27,18,3,23.4861345097509,3,0,0,"LED Off","2024-07-27 18:00:00"
7,27,19,13,56.5343517697109,4,2,0,"LED Off","2024-07-27 19:00:00"
7,27,20,3,20.8643435392223,2,0,0,"LED Off","2024-07-27 20:00:00"
7,27,21,0,0,0,0,0,"LED Off","2024-07-27 21:00:00"
7,27,22,0,0,0,0,0,"LED Off","2024-07-27 22:00:00"
7,27,23,0,0,0,0,0,"LED Off","2024-07-27 23:00:00"
7,28,0,0,0,0,0,0,"LED Off","2024-07-28 00:00:00"
7,28,1,0,0,0,0,0,"LED Off","2024-07-28 01:00:00"
7,28,2,0,0,0,0,0,"LED Off","2024-07-28 02:00:00"
7,28,3,0,0,0,0,0,"LED Off","2024-07-28 03:00:00"
