"Month","Day","Hour","hourly_abundance","hourly_biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","timestamp"
7,23,0,0,0,0,0,0,"LED Off","2024-07-23 00:00:00"
7,23,1,0,0,0,0,0,"LED Off","2024-07-23 01:00:00"
7,23,2,0,0,0,0,0,"LED Off","2024-07-23 02:00:00"
7,23,3,0,0,0,0,0,"LED Off","2024-07-23 03:00:00"
7,23,4,0,0,0,0,0,"LED Off","2024-07-23 04:00:00"
7,23,5,0,0,0,0,0,"LED Off","2024-07-23 05:00:00"
7,23,6,0,0,0,0,0,"LED Off","2024-07-23 06:00:00"
7,23,7,0,0,0,0,0,"LED Off","2024-07-23 07:00:00"
7,23,8,1,7.51099009460466,1,0,0,"LED Off","2024-07-23 08:00:00"
7,23,9,4,20.6149443997371,2,1,0,"LED Off","2024-07-23 09:00:00"
7,23,10,10,130.824507652958,9,0,0,"LED Off","2024-07-23 10:00:00"
7,23,11,23,92.2316740538227,13,1,0,"LED Off","2024-07-23 11:00:00"
7,23,12,25,114.78773377766,8,3,1,"LED Off","2024-07-23 12:00:00"
7,23,13,17,76.2561011189748,3,3,0,"LED Off","2024-07-23 13:00:00"
7,23,14,15,45.9614553261314,3,1,0,"LED Off","2024-07-23 14:00:00"
7,23,15,9,137.783275661451,4,2,0,"LED Off","2024-07-23 15:00:00"
7,23,16,3,138.755036585998,2,0,0,"LED Off","2024-07-23 16:00:00"
7,23,17,0,0,0,0,0,"LED Off","2024-07-23 17:00:00"
7,23,18,4,65.2174338045205,2,0,0,"LED Off","2024-07-23 18:00:00"
7,23,19,7,28.2408703230943,2,0,0,"LED Off","2024-07-23 19:00:00"
7,23,20,1,4.30585677692993,1,0,0,"LED Off","2024-07-23 20:00:00"
7,23,21,0,0,0,0,0,"LED Off","2024-07-23 21:00:00"
7,23,22,0,0,0,0,0,"LED Off","2024-07-23 22:00:00"
7,23,23,0,0,0,0,0,"LED Off","2024-07-23 23:00:00"
7,24,0,0,0,0,0,0,"LED Off","2024-07-24 00:00:00"
7,24,1,0,0,0,0,0,"LED Off","2024-07-24 01:00:00"
7,24,2,0,0,0,0,0,"LED Off","2024-07-24 02:00:00"
7,24,3,0,0,0,0,0,"LED Off","2024-07-24 03:00:00"
7,24,4,0,0,0,0,0,"LED Off","2024-07-24 04:00:00"
7,24,5,0,0,0,0,0,"LED Off","2024-07-24 05:00:00"
7,24,6,0,0,0,0,0,"LED Off","2024-07-24 06:00:00"
7,24,7,0,0,0,0,0,"LED Off","2024-07-24 07:00:00"
7,24,8,0,0,0,0,0,"LED Off","2024-07-24 08:00:00"
7,24,9,0,0,0,0,0,"LED Off","2024-07-24 09:00:00"
7,24,10,0,0,0,0,0,"LED Off","2024-07-24 10:00:00"
7,24,11,9,54.7082905285816,4,0,0,"LED Off","2024-07-24 11:00:00"
7,24,12,4,25.5703092115461,3,0,0,"LED Off","2024-07-24 12:00:00"
7,24,13,1,5.1026052350484,0,0,0,"LED Off","2024-07-24 13:00:00"
7,24,14,8,56.5099741862763,4,1,0,"LED Off","2024-07-24 14:00:00"
7,24,15,0,0,0,0,0,"LED Off","2024-07-24 15:00:00"
7,24,16,2,1.57937832530033,0,1,0,"LED Off","2024-07-24 16:00:00"
7,24,17,0,0,0,0,0,"LED Off","2024-07-24 17:00:00"
7,24,18,0,0,0,0,0,"LED Off","2024-07-24 18:00:00"
7,24,19,0,0,0,0,0,"LED Off","2024-07-24 19:00:00"
7,24,20,0,0,0,0,0,"LED Off","2024-07-24 20:00:00"
7,24,21,0,0,0,0,0,"LED Off","2024-07-24 21:00:00"
7,24,22,0,0,0,0,0,"LED Off","2024-07-24 22:00:00"
7,24,23,0,0,0,0,0,"LED Off","2024-07-24 23:00:00"
7,25,0,0,0,0,0,0,"LED Off","2024-07-25 00:00:00"
7,25,1,0,0,0,0,0,"LED Off","2024-07-25 01:00:00"
7,25,2,0,0,0,0,0,"LED Off","2024-07-25 02:00:00"
7,25,3,0,0,0,0,0,"LED Off","2024-07-25 03:00:00"
7,25,4,0,0,0,0,0,"LED Off","2024-07-25 04:00:00"
7,25,5,0,0,0,0,0,"LED Off","2024-07-25 05:00:00"
7,25,6,12,883.295526491434,11,0,0,"LED Off","2024-07-25 06:00:00"
7,25,7,0,0,0,0,0,"LED Off","2024-07-25 07:00:00"
7,25,8,4,19.0289583641479,2,0,0,"LED Off","2024-07-25 08:00:00"
7,25,9,14,53.2931308687931,6,1,0,"LED Off","2024-07-25 09:00:00"
7,25,10,13,59.5903573901684,7,0,0,"LED Off","2024-07-25 10:00:00"
7,25,11,8,18.9299007282216,5,1,0,"LED Off","2024-07-25 11:00:00"
7,25,12,11,40.827312810289,2,2,0,"LED Off","2024-07-25 12:00:00"
7,25,13,5,23.6687761104903,2,0,0,"LED Off","2024-07-25 13:00:00"
7,25,14,3,9.93266462925438,0,0,0,"LED Off","2024-07-25 14:00:00"
7,25,15,3,12.8490550455334,0,1,0,"LED Off","2024-07-25 15:00:00"
7,25,16,9,764.807191922519,6,1,0,"LED Off","2024-07-25 16:00:00"
7,25,17,26,189.88108558071,13,5,1,"LED Off","2024-07-25 17:00:00"
7,25,18,36,285.588736238689,23,2,2,"LED Off","2024-07-25 18:00:00"
7,25,19,38,264.93560293086,19,4,4,"LED Off","2024-07-25 19:00:00"
7,25,20,7,28.1615448038899,4,1,0,"LED Off","2024-07-25 20:00:00"
7,25,21,0,0,0,0,0,"LED Off","2024-07-25 21:00:00"
7,25,22,0,0,0,0,0,"LED Off","2024-07-25 22:00:00"
7,25,23,0,0,0,0,0,"LED Off","2024-07-25 23:00:00"
7,26,0,0,0,0,0,0,"LED Off","2024-07-26 00:00:00"
7,26,1,0,0,0,0,0,"LED Off","2024-07-26 01:00:00"
7,26,2,0,0,0,0,0,"LED Off","2024-07-26 02:00:00"
7,26,3,0,0,0,0,0,"LED Off","2024-07-26 03:00:00"
7,26,4,0,0,0,0,0,"LED Off","2024-07-26 04:00:00"
7,26,5,0,0,0,0,0,"LED Off","2024-07-26 05:00:00"
7,26,6,2,15.8035272744891,2,0,0,"LED Off","2024-07-26 06:00:00"
7,26,7,15,74.7737002318363,6,2,0,"LED Off","2024-07-26 07:00:00"
7,26,8,15,92.939927591371,6,1,2,"LED Off","2024-07-26 08:00:00"
7,26,9,8,48.0917182938931,3,3,0,"LED Off","2024-07-26 09:00:00"
7,26,10,11,28.5068514999948,2,2,0,"LED Off","2024-07-26 10:00:00"
7,26,11,13,68.8318430692319,5,0,0,"LED Off","2024-07-26 11:00:00"
7,26,12,9,50.9704750961222,5,1,0,"LED Off","2024-07-26 12:00:00"
7,26,13,10,31.0190368170585,2,1,0,"LED Off","2024-07-26 13:00:00"
7,26,14,7,43.2281805831382,4,0,0,"LED Off","2024-07-26 14:00:00"
7,26,15,6,16.238422613699,4,0,0,"LED Off","2024-07-26 15:00:00"
7,26,16,2,19.2206178913892,0,1,0,"LED Off","2024-07-26 16:00:00"
7,26,17,5,44.1399519671838,5,0,0,"LED Off","2024-07-26 17:00:00"
7,26,18,9,70.8795846178155,6,1,0,"LED Off","2024-07-26 18:00:00"
7,26,19,27,153.605651121804,16,1,0,"LED Off","2024-07-26 19:00:00"
7,26,20,12,56.8035943491775,6,1,0,"LED Off","2024-07-26 20:00:00"
7,26,21,2,7.23466005022982,1,0,0,"LED Off","2024-07-26 21:00:00"
7,26,22,0,0,0,0,0,"LED Off","2024-07-26 22:00:00"
7,26,23,0,0,0,0,0,"LED Off","2024-07-26 23:00:00"
7,27,0,0,0,0,0,0,"LED Off","2024-07-27 00:00:00"
7,27,1,0,0,0,0,0,"LED Off","2024-07-27 01:00:00"
7,27,2,0,0,0,0,0,"LED Off","2024-07-27 02:00:00"
7,27,3,0,0,0,0,0,"LED Off","2024-07-27 03:00:00"
7,27,4,0,0,0,0,0,"LED Off","2024-07-27 04:00:00"
7,27,5,3,11.8278315488208,0,0,0,"LED Off","2024-07-27 05:00:00"
7,27,6,10,45.8970646496078,2,0,0,"LED Off","2024-07-27 06:00:00"
7,27,7,17,94.1991687948022,10,3,0,"LED Off","2024-07-27 07:00:00"
7,27,8,36,229.846028370691,17,6,0,"LED Off","2024-07-27 08:00:00"
7,27,9,21,169.531174758139,14,2,0,"LED Off","2024-07-27 09:00:00"
7,27,10,13,90.169220586202,10,1,0,"LED Off","2024-07-27 10:00:00"
7,27,11,13,53.8485222998717,9,0,0,"LED Off","2024-07-27 11:00:00"
7,27,12,7,22.2273540595361,2,0,0,"LED Off","2024-07-27 12:00:00"
7,27,13,9,64.9117775467801,5,1,0,"LED Off","2024-07-27 13:00:00"
7,27,14,11,57.1672436180072,7,1,0,"LED Off","2024-07-27 14:00:00"
7,27,15,6,39.7666917555428,5,0,0,"LED Off","2024-07-27 15:00:00"
7,27,16,9,22.7539486345369,3,0,0,"LED Off","2024-07-27 16:00:00"
7,27,17,18,238.819236245892,9,1,0,"LED Off","2024-07-27 17:00:00"
7,27,18,10,47.7014611894244,4,0,0,"LED Off","2024-07-27 18:00:00"
7,27,19,15,59.4325672440113,4,3,1,"LED Off","2024-07-27 19:00:00"
7,27,20,17,79.5170045030579,7,3,0,"LED Off","2024-07-27 20:00:00"
7,27,21,4,20.447360611959,2,0,0,"LED Off","2024-07-27 21:00:00"
7,27,22,0,0,0,0,0,"LED Off","2024-07-27 22:00:00"
7,27,23,0,0,0,0,0,"LED Off","2024-07-27 23:00:00"
7,28,0,0,0,0,0,0,"LED Off","2024-07-28 00:00:00"
7,28,1,0,0,0,0,0,"LED Off","2024-07-28 01:00:00"
7,28,2,0,0,0,0,0,"LED Off","2024-07-28 02:00:00"
7,28,3,0,0,0,0,0,"LED Off","2024-07-28 03:00:00"
