file_name,kingdom,phylum,class,order,score,highest_classification_rank,taxonomic_name_2,score_2,score_diff,year,month,day,hour,minute,second
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709113242_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.7906050682067871,order,Hemiptera,0.106234110891819,0.6843709573149681,2024,7,9,11,32,42
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709113428_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9134320616722108,order,Hymenoptera,0.039996713399887,0.8734353482723236,2024,7,9,11,34,28
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709114756_crop_0.jpg,Animalia,Arthropoda,Insecta,Hemiptera,0.8276622295379639,order,Coleoptera,0.1112304553389549,0.7164317741990089,2024,7,9,11,47,56
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709120937_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.979924499988556,order,Coleoptera,0.0071081882342696,0.9728163117542864,2024,7,9,12,9,37
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709122142_crop_1.jpg,Animalia,Arthropoda,Insecta,Hymenoptera,0.3795233964920044,order,Hemiptera,0.2101655155420303,0.169357880949974,2024,7,9,12,21,42
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709122240_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9575509428977966,order,Coleoptera,0.0217463485896587,0.935804594308138,2024,7,9,12,22,40
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709123033_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.1725655496120453,order,Asterales,0.1498494446277618,0.0227161049842834,2024,7,9,12,30,33
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709123208_crop_0.jpg,Animalia,Arthropoda,Insecta,Lepidoptera,0.3403190672397613,order,Diptera,0.1346204876899719,0.2056985795497894,2024,7,9,12,32,8
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709125635_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9847130179405212,order,Coleoptera,0.0060981255955994,0.9786148923449218,2024,7,9,12,56,35
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709125710_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.8923617005348206,order,Coleoptera,0.057639367878437,0.8347223326563835,2024,7,9,12,57,10
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709125749_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.4532935321331024,order,Hemiptera,0.2907251119613647,0.1625684201717376,2024,7,9,12,57,49
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709130104_crop_0.jpg,Animalia,Arthropoda,Insecta,Coleoptera,0.495879977941513,order,Hymenoptera,0.1279404759407043,0.3679395020008087,2024,7,9,13,1,4
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709130532_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9956754446029664,order,Coleoptera,0.001768299145624,0.9939071454573424,2024,7,9,13,5,32
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709132048_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.711051881313324,order,Hemiptera,0.08541951328516,0.6256323680281639,2024,7,9,13,20,48
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709134528_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.8256255388259888,order,Jungermanniales,0.0638842210173606,0.7617413178086281,2024,7,9,13,45,28
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709142855_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9895641207695008,order,Coleoptera,0.0057770265266299,0.9837870942428708,2024,7,9,14,28,55
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709144804_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.474722683429718,order,Coleoptera,0.148053228855133,0.3266694545745849,2024,7,9,14,48,4
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709145253_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.893737256526947,order,Hymenoptera,0.0631415024399757,0.8305957540869713,2024,7,9,14,52,53
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709145615_crop_0.jpg,Animalia,Arthropoda,Insecta,Coleoptera,0.2918113470077514,order,Diptera,0.2839562594890594,0.007855087518692,2024,7,9,14,56,15
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709151118_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.783260703086853,order,Coleoptera,0.1169757321476936,0.6662849709391594,2024,7,9,15,11,18
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709151743_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.7681491374969482,order,Coleoptera,0.0896986722946167,0.6784504652023315,2024,7,9,15,17,43
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709162400_crop_1.jpg,Animalia,Arthropoda,Insecta,Hemiptera,0.4809494018554687,order,Coleoptera,0.3649117052555084,0.1160376965999603,2024,7,9,16,24,0
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709162415_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.842406153678894,order,Coleoptera,0.0923164561390876,0.7500896975398064,2024,7,9,16,24,15
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709162528_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.404470682144165,order,Hemiptera,0.2883765697479248,0.1160941123962402,2024,7,9,16,25,28
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709163105_crop_0.jpg,Animalia,Arthropoda,Insecta,Coleoptera,0.6185036301612854,order,Diptera,0.1286434829235077,0.4898601472377777,2024,7,9,16,31,5
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709163119_crop_0.jpg,Animalia,Arthropoda,Insecta,Coleoptera,0.3231399357318878,order,Hemiptera,0.0925430729985237,0.2305968627333641,2024,7,9,16,31,19
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709163137_crop_0.jpg,Animalia,Arthropoda,Insecta,Coleoptera,0.3011774718761444,order,Sessilida,0.2247943133115768,0.0763831585645675,2024,7,9,16,31,37
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709163210_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.8238012790679932,order,Hymenoptera,0.1080444455146789,0.7157568335533142,2024,7,9,16,32,10
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709163454_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.881587564945221,order,Hemiptera,0.0671988055109977,0.8143887594342232,2024,7,9,16,34,54
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709163512_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.942948579788208,order,Hymenoptera,0.0301135312765836,0.9128350485116244,2024,7,9,16,35,12
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709163512_crop_1.jpg,Animalia,Arthropoda,Insecta,Diptera,0.7650261521339417,order,Hemiptera,0.0722653269767761,0.6927608251571655,2024,7,9,16,35,12
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709163647_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.979308009147644,order,Coleoptera,0.0051767947152256,0.9741312144324183,2024,7,9,16,36,47
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709165348_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.5573269724845886,order,Hemiptera,0.2257573902606964,0.3315695822238922,2024,7,9,16,53,48
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709165543_crop_0.jpg,Animalia,Arthropoda,Insecta,Coleoptera,0.4182331562042236,order,Diphyllobothriidea,0.1308644860982895,0.2873686701059341,2024,7,9,16,55,43
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709172842_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.5718804597854614,order,Hymenoptera,0.1878100335597992,0.3840704262256622,2024,7,9,17,28,42
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709174955_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9799007177352904,order,Hymenoptera,0.0052813817746937,0.9746193359605968,2024,7,9,17,49,55
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709180336_crop_0.jpg,Animalia,Arthropoda,Insecta,Lepidoptera,0.3427462875843048,order,Coleoptera,0.2719574868679046,0.0707888007164001,2024,7,9,18,3,36
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709191437_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9930292963981628,order,Coleoptera,0.0019472195999696,0.9910820767981932,2024,7,9,19,14,37
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709191506_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.956531584262848,order,Coleoptera,0.0386765487492084,0.9178550355136396,2024,7,9,19,15,6
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709194954_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9707427024841307,order,Nassulida,0.0135389454662799,0.9572037570178508,2024,7,9,19,49,54
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709195039_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.7686983942985535,order,Coleoptera,0.0537624284625053,0.7149359658360481,2024,7,9,19,50,39
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709195304_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9876084327697754,order,Hymenoptera,0.0076370183378458,0.9799714144319296,2024,7,9,19,53,4
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709195344_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.4319948852062225,order,Coleoptera,0.1932883262634277,0.2387065589427948,2024,7,9,19,53,44
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709204220_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.6818207502365112,order,Lepidoptera,0.1195235475897789,0.5622972026467323,2024,7,9,20,42,20
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709204220_crop_1.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9937506318092346,order,Coleoptera,0.0022673038765788,0.9914833279326558,2024,7,9,20,42,20
/Volumes/Untitled 1/DIOPSIS-388_analyzed/photos/20240709/cropped/20240709204956_crop_0.jpg,Animalia,Arthropoda,Insecta,Lepidoptera,0.267666608095169,order,Caryophyllales,0.1440529227256775,0.1236136853694915,2024,7,9,20,49,56
