"timestamp","ISWR","P","RH","TA","VW"
"2024-07-23 00:00:00",0,84901.599,0.949,13.09,0.4
"2024-07-23 01:00:00",0,84882.459,0.915,12.65,0.4
"2024-07-23 02:00:00",0,84867.924,0.942,11.99,1.2
"2024-07-23 03:00:00",0,84856.944,0.907,12.16,1.5
"2024-07-23 04:00:00",0,84853.639,0.937,11.74,1.8
"2024-07-23 05:00:00",0,84829.059,0.956,11.6,1
"2024-07-23 06:00:00",3,84846.294,0.964,11.41,0.7
"2024-07-23 07:00:00",91,84863.209,0.946,12.25,0.3
"2024-07-23 08:00:00",226,84885.659,0.913,13.75,0.7
"2024-07-23 09:00:00",238,84896.309,0.872,14.31,1.4
"2024-07-23 10:00:00",254,84894.654,0.918,14.32,1.1
"2024-07-23 11:00:00",443,84891.699,0.829,15.87,2.8
"2024-07-23 12:00:00",829,84894.419,0.742,16.89,3
"2024-07-23 13:00:00",931,84891.839,0.656,18.12,4.9
"2024-07-23 14:00:00",866,84888.904,0.546,19.06,4.3
"2024-07-23 15:00:00",830,84889.549,0.509,19.7,1.9
"2024-07-23 16:00:00",631,84878.864,0.495,19.69,2.5
"2024-07-23 17:00:00",474,84875.264,0.507,19,2.3
"2024-07-23 18:00:00",222,84892.879,0.561,18.24,2.7
"2024-07-23 19:00:00",98,84897.569,0.711,16.87,2.1
"2024-07-23 20:00:00",43,84905.214,0.805,16,4
"2024-07-23 21:00:00",0,84895.219,0.806,15.44,4.4
"2024-07-23 22:00:00",0,84891.099,0.84,14.76,1.2
"2024-07-23 23:00:00",0,84862.914,0.86,14.58,1.8
"2024-07-24 00:00:00",0,84837.894,0.896,13.87,0.4
"2024-07-24 01:00:00",0,84828.879,0.919,13.8,1.1
"2024-07-24 02:00:00",0,84799.414,0.956,13.35,1.5
"2024-07-24 03:00:00",0,84770.004,0.967,12.89,1.6
"2024-07-24 04:00:00",0,84730.694,0.964,12.55,0.8
"2024-07-24 05:00:00",0,84713.919,0.975,12.19,1.1
"2024-07-24 06:00:00",2,84706.019,0.977,11.89,2
"2024-07-24 07:00:00",71,84701.004,0.951,11.95,2.1
"2024-07-24 08:00:00",93,84729.724,0.969,11.69,2.9
"2024-07-24 09:00:00",130,84737.129,0.944,12.28,3.6
"2024-07-24 10:00:00",435,84747.234,0.896,13.58,2.6
"2024-07-24 11:00:00",497,84721.419,0.806,14.67,2.8
