"timestamp","ISWR","P","RH","TA","VW"
"2024-07-23 00:00:00",0,75712.769,0.983,7.65000000000003,0.1
"2024-07-23 01:00:00",0,75693.629,0.956,7.62,0.3
"2024-07-23 02:00:00",0,75679.094,0.964,7.35000000000002,0.2
"2024-07-23 03:00:00",0,75668.114,0.955,7.26000000000005,0.4
"2024-07-23 04:00:00",0,75664.809,0.971,7.01000000000005,0.4
"2024-07-23 05:00:00",0,75640.229,0.979,7.05000000000001,0.1
"2024-07-23 06:00:00",4,75657.464,0.984,7.03000000000003,0.2
"2024-07-23 07:00:00",97,75674.379,0.988,7.22000000000003,0.6
"2024-07-23 08:00:00",233,75696.829,0.977,7.69,0.6
"2024-07-23 09:00:00",243,75707.479,0.979,8.10000000000002,0.2
"2024-07-23 10:00:00",259,75705.824,0.985,8.40000000000003,0.5
"2024-07-23 11:00:00",447,75702.869,0.941,9.51000000000005,0.3
"2024-07-23 12:00:00",839,75705.589,0.888,10.28,0.4
"2024-07-23 13:00:00",957,75703.009,0.813,11.34,1
"2024-07-23 14:00:00",890,75700.074,0.736,11.88,1.6
"2024-07-23 15:00:00",847,75700.719,0.715,11.95,2.1
"2024-07-23 16:00:00",644,75690.034,0.712,11.86,2.5
"2024-07-23 17:00:00",482,75686.434,0.741,11.47,2.7
"2024-07-23 18:00:00",239,75704.049,0.771,10.83,2.4
"2024-07-23 19:00:00",105,75708.739,0.81,10.14,1.7
"2024-07-23 20:00:00",50,75716.384,0.881,9.35000000000002,1.9
"2024-07-23 21:00:00",0,75706.389,0.92,8.91000000000003,1.7
"2024-07-23 22:00:00",0,75702.269,0.942,8.66000000000003,1.1
"2024-07-23 23:00:00",0,75674.084,0.943,8.48000000000002,0.8
"2024-07-24 00:00:00",0,75649.064,0.963,8.18000000000001,1
"2024-07-24 01:00:00",0,75640.049,0.97,7.91000000000003,1.4
"2024-07-24 02:00:00",0,75610.584,0.99,7.60000000000002,1.3
"2024-07-24 03:00:00",0,75581.174,0.982,7.33000000000004,1.7
"2024-07-24 04:00:00",0,75541.864,0.995,7.06,1.2
"2024-07-24 05:00:00",0,75525.089,0.998,6.74000000000001,1.8
"2024-07-24 06:00:00",3,75517.189,0.998,6.58000000000004,1.8
"2024-07-24 07:00:00",76,75512.174,0.995,6.44,2.4
"2024-07-24 08:00:00",107,75540.894,0.998,6.22000000000003,2.2
"2024-07-24 09:00:00",150,75548.299,0.996,6.34000000000003,1.6
"2024-07-24 10:00:00",459,75558.404,0.978,6.84000000000003,1.4
"2024-07-24 11:00:00",530,75532.589,0.937,7.83000000000004,0.6
"2024-07-24 12:00:00",733,75529.889,0.835,7.99000000000001,1.8
"2024-07-24 13:00:00",570,75515.409,1,3,2
"2024-07-24 14:00:00",689,75488.304,1,3.15000000000003,2.2
"2024-07-24 15:00:00",492,75487.244,1,6.61000000000001,2.9
"2024-07-24 16:00:00",358,75485.164,0.982,7.5,2.8
"2024-07-24 17:00:00",359,75460.259,1,2.91000000000003,2.7
"2024-07-24 18:00:00",156,75459.119,1,4,2.7
"2024-07-24 19:00:00",62,75452.459,1,2.72000000000003,2.7
"2024-07-24 20:00:00",41,75481.234,1,1.29000000000002,2
"2024-07-24 21:00:00",0,75499.224,1,0.830000000000041,1.9
"2024-07-24 22:00:00",0,75483.004,1,0.560000000000002,0.9
"2024-07-24 23:00:00",0,75475.389,1,0.330000000000041,0.5
"2024-07-25 00:00:00",0,75468.824,1,2.81,0.7
"2024-07-25 01:00:00",0,75436.604,0.911,5.86000000000001,0.4
"2024-07-25 02:00:00",0,75394.439,0.9,5.64000000000004,0.3
"2024-07-25 03:00:00",0,75353.979,0.841,5.89000000000004,0.3
"2024-07-25 04:00:00",0,75324.829,0.654,6.63,0.6
"2024-07-25 05:00:00",0,75308.139,0.524,7.37,0.9
"2024-07-25 06:00:00",2,75277.179,0.51,7.95000000000005,0.9
"2024-07-25 07:00:00",153,75296.809,0.552,8.30000000000001,0.6
"2024-07-25 08:00:00",361,75300.944,0.636,9.43000000000001,0.2
"2024-07-25 09:00:00",567,75309.414,0.612,10.24,0.1
"2024-07-25 10:00:00",754,75301.214,0.589,10.95,0.1
"2024-07-25 11:00:00",891,75285.039,0.543,11.96,0.2
"2024-07-25 12:00:00",971,75272.984,0.504,12.55,0.8
"2024-07-25 13:00:00",992,75277.359,0.491,12.74,1.5
"2024-07-25 14:00:00",946,75275.319,0.539,12.95,2.1
"2024-07-25 15:00:00",849,75272.094,0.605,11.57,1.8
"2024-07-25 16:00:00",715,75258.579,0.714,9.36000000000001,1.5
"2024-07-25 17:00:00",413,75244.184,0.784,8.28000000000003,1.3
"2024-07-25 18:00:00",208,75246.879,0.625,12.41,1.2
"2024-07-25 19:00:00",112,75260.199,0.653,12.29,0.8
"2024-07-25 20:00:00",35,75284.314,0.706,11.32,1.4
"2024-07-25 21:00:00",0,75321.119,0.737,10.76,1.6
"2024-07-25 22:00:00",0,75318.024,0.719,10.46,0.4
"2024-07-25 23:00:00",0,75303.219,0.738,10.25,0.3
"2024-07-26 00:00:00",0,75305.569,0.732,10.19,0.3
"2024-07-26 01:00:00",0,75301.274,0.725,10.06,0.6
"2024-07-26 02:00:00",0,75286.744,0.771,9.80000000000001,0.7
"2024-07-26 03:00:00",0,75251.234,0.812,9.85000000000002,0.8
"2024-07-26 04:00:00",0,75238.754,0.835,9.63,1
"2024-07-26 05:00:00",0,75236.204,0.837,9.52000000000004,1.2
"2024-07-26 06:00:00",1,75255.524,0.833,9.89000000000004,1.3
"2024-07-26 07:00:00",146,75257.979,0.803,10.71,1
"2024-07-26 08:00:00",354,75291.469,0.781,11.66,0.7
"2024-07-26 09:00:00",470,75296.479,0.747,12.42,1.1
"2024-07-26 10:00:00",518,75307.604,0.715,13.16,1.1
"2024-07-26 11:00:00",747,75335.439,0.703,13.62,1.2
"2024-07-26 12:00:00",785,75340.044,0.669,14.61,0.6
"2024-07-26 13:00:00",1028,75367.874,0.692,14.5,1.5
"2024-07-26 14:00:00",949,75376.549,0.661,15.29,1
"2024-07-26 15:00:00",638,75367.184,0.694,15.02,2.3
"2024-07-26 16:00:00",554,75379.229,0.728,14.87,2.1
"2024-07-26 17:00:00",521,75386.184,0.752,14.57,2.2
"2024-07-26 18:00:00",293,75398.984,0.776,14.36,1.5
"2024-07-26 19:00:00",124,75417.799,0.821,13.76,1.1
"2024-07-26 20:00:00",43,75446.819,0.861,13.03,0.8
"2024-07-26 21:00:00",0,75481.724,0.901,12.41,1.3
"2024-07-26 22:00:00",0,75499.859,0.954,11.62,0.9
"2024-07-26 23:00:00",0,75506.844,0.94,11.36,1
"2024-07-27 00:00:00",0,75503.169,0.888,11.27,1.8
"2024-07-27 01:00:00",0,75505.079,0.869,11.02,1.6
"2024-07-27 02:00:00",0,75504.779,0.833,10.96,2.4
"2024-07-27 03:00:00",0,75484.199,0.826,10.65,2.3
"2024-07-27 04:00:00",0,75508.894,0.825,10.54,3.2
"2024-07-27 05:00:00",0,75513.609,0.808,10.61,1.5
"2024-07-27 06:00:00",0,75527.364,0.787,11.18,1.4
