"timestamp","ISWR","P","RH","TA","VW"
"2024-07-23 00:00:00",0,85992.827,0.944,13.79,0.4
"2024-07-23 01:00:00",0,85973.687,0.919,13.17,0.6
"2024-07-23 02:00:00",0,85959.152,0.947,12.46,1.3
"2024-07-23 03:00:00",0,85948.172,0.909,12.68,1.9
"2024-07-23 04:00:00",0,85944.867,0.935,12.36,2.1
"2024-07-23 05:00:00",0,85920.287,0.948,12.25,1.3
"2024-07-23 06:00:00",3,85937.522,0.962,11.87,0.8
"2024-07-23 07:00:00",90,85954.437,0.941,12.86,0.6
"2024-07-23 08:00:00",220,85976.887,0.904,14.54,0.9
"2024-07-23 09:00:00",233,85987.537,0.856,15.16,1.5
"2024-07-23 10:00:00",250,85985.882,0.908,15.07,1.3
"2024-07-23 11:00:00",434,85982.927,0.81,16.62,3.2
"2024-07-23 12:00:00",815,85985.647,0.721,17.74,3.4
"2024-07-23 13:00:00",923,85983.067,0.643,18.94,5.7
"2024-07-23 14:00:00",860,85980.132,0.528,19.92,4.9
"2024-07-23 15:00:00",820,85980.777,0.492,20.73,1.9
"2024-07-23 16:00:00",625,85970.092,0.472,20.65,2.4
"2024-07-23 17:00:00",469,85966.492,0.467,20.06,2.2
"2024-07-23 18:00:00",225,85984.107,0.532,19.23,2.8
"2024-07-23 19:00:00",98,85988.797,0.693,17.82,1.9
"2024-07-23 20:00:00",45,85996.442,0.788,16.9,3.9
"2024-07-23 21:00:00",0,85986.447,0.801,16.2,4.5
"2024-07-23 22:00:00",0,85982.327,0.834,15.49,1.1
"2024-07-23 23:00:00",0,85954.142,0.852,15.35,2
"2024-07-24 00:00:00",0,85929.122,0.891,14.57,0.5
"2024-07-24 01:00:00",0,85920.107,0.918,14.48,1.2
"2024-07-24 02:00:00",0,85890.642,0.951,14.07,1.8
"2024-07-24 03:00:00",0,85861.232,0.965,13.59,1.6
"2024-07-24 04:00:00",0,85821.922,0.961,13.26,0.8
"2024-07-24 05:00:00",0,85805.147,0.971,12.87,1.7
"2024-07-24 06:00:00",2,85797.247,0.974,12.58,2
"2024-07-24 07:00:00",70,85792.232,0.945,12.69,1.8
"2024-07-24 08:00:00",98,85820.952,0.964,12.45,2.9
"2024-07-24 09:00:00",138,85828.357,0.937,13.09,3.9
"2024-07-24 10:00:00",435,85838.462,0.886,14.54,2.5
"2024-07-24 11:00:00",500,85812.647,0.788,15.62,3
"2024-07-24 12:00:00",712,85809.947,0.642,16.47,4.2
"2024-07-24 13:00:00",556,85795.467,1,10.61,4.5
"2024-07-24 14:00:00",659,85768.362,1,10.6,4.5
"2024-07-24 15:00:00",473,85767.302,0.781,14.58,3.1
"2024-07-24 16:00:00",352,85765.222,0.693,15.85,2.5
"2024-07-24 17:00:00",344,85740.317,0.935,10.66,3.5
"2024-07-24 18:00:00",147,85739.177,0.933,11.63,1.7
"2024-07-24 19:00:00",59,85732.517,1,10.01,3.4
"2024-07-24 20:00:00",37,85761.292,1,7.64000000000004,4.4
"2024-07-24 21:00:00",0,85779.282,1,7.17000000000002,4.1
"2024-07-24 22:00:00",0,85763.062,1,6.13,0.4
"2024-07-24 23:00:00",0,85755.447,1,5.75,0.8
"2024-07-25 00:00:00",0,85748.882,1,8.17000000000002,0.5
"2024-07-25 01:00:00",0,85716.662,0.833,11.61,1.5
"2024-07-25 02:00:00",0,85674.497,0.896,10.99,1.4
"2024-07-25 03:00:00",0,85634.037,0.839,9.89000000000004,1.1
"2024-07-25 04:00:00",0,85604.887,1,8.56,0.9
"2024-07-25 05:00:00",0,85588.197,1,8.18000000000001,1.4
"2024-07-25 06:00:00",1,85557.237,1,8.33000000000004,1.6
"2024-07-25 07:00:00",140,85576.867,0.794,11.83,2.9
"2024-07-25 08:00:00",338,85581.002,0.757,15.41,0.2
"2024-07-25 09:00:00",533,85589.472,0.798,16.82,1.3
"2024-07-25 10:00:00",714,85581.272,0.653,18.07,3.7
"2024-07-25 11:00:00",850,85565.097,0.541,19,3.4
"2024-07-25 12:00:00",930,85553.042,0.474,19.14,4
"2024-07-25 13:00:00",963,85557.417,0.273,20.56,4.3
"2024-07-25 14:00:00",913,85555.377,0.359,20.54,5.2
"2024-07-25 15:00:00",818,85552.152,0.431,19.02,4.8
"2024-07-25 16:00:00",690,85538.637,0.498,16.11,4.7
"2024-07-25 17:00:00",398,85524.242,0.608,15.15,4.2
"2024-07-25 18:00:00",193,85526.937,0.523,18.61,4.6
"2024-07-25 19:00:00",103,85540.257,0.624,18.39,4.2
"2024-07-25 20:00:00",31,85564.372,0.774,17.12,6.2
"2024-07-25 21:00:00",0,85601.177,0.674,16.92,3
"2024-07-25 22:00:00",0,85598.082,0.66,15.72,1.4
"2024-07-25 23:00:00",0,85583.277,0.694,14.58,0.6
"2024-07-26 00:00:00",0,85585.627,0.551,14.22,1.3
"2024-07-26 01:00:00",0,85581.332,0.728,13.74,1.4
"2024-07-26 02:00:00",0,85566.802,0.61,13.2,1.9
"2024-07-26 03:00:00",0,85531.292,0.728,13.31,1.6
"2024-07-26 04:00:00",0,85518.812,0.625,16.04,1.6
"2024-07-26 05:00:00",0,85516.262,0.632,15.89,1.3
"2024-07-26 06:00:00",0,85535.582,0.619,16.97,1.3
"2024-07-26 07:00:00",135,85538.037,0.733,15.24,0.8
"2024-07-26 08:00:00",334,85571.527,0.685,18.01,0.2
"2024-07-26 09:00:00",439,85576.537,0.584,20.67,0.6
"2024-07-26 10:00:00",493,85587.662,0.471,22.77,1.4
"2024-07-26 11:00:00",716,85615.497,0.5,22.76,2
"2024-07-26 12:00:00",744,85620.102,0.555,21.6,3.2
"2024-07-26 13:00:00",986,85647.932,0.562,22.36,4.5
"2024-07-26 14:00:00",918,85656.607,0.542,22.85,3.8
"2024-07-26 15:00:00",614,85647.242,0.551,22.85,3.6
"2024-07-26 16:00:00",536,85659.287,0.567,22.83,3
"2024-07-26 17:00:00",496,85666.242,0.628,21.59,4.6
"2024-07-26 18:00:00",274,85679.042,0.646,21.7,4.6
"2024-07-26 19:00:00",115,85697.857,0.72,19.95,4.4
"2024-07-26 20:00:00",39,85726.877,0.808,18.69,4
"2024-07-26 21:00:00",0,85761.782,0.846,18,3
"2024-07-26 22:00:00",0,85779.917,0.889,17.05,0.8
"2024-07-26 23:00:00",0,85786.902,0.841,16.74,1.5
"2024-07-27 00:00:00",0,85783.227,0.836,16.59,0.6
"2024-07-27 01:00:00",0,85785.137,0.845,16.13,0.3
"2024-07-27 02:00:00",0,85784.837,0.82,15.73,1
"2024-07-27 03:00:00",0,85764.257,0.828,15.28,0.2
"2024-07-27 04:00:00",0,85788.952,0.795,15.24,0.2
"2024-07-27 05:00:00",0,85793.667,0.791,14.9,1.5
"2024-07-27 06:00:00",0,85807.422,0.754,15.53,0.7
"2024-07-27 07:00:00",131,85842.457,0.713,17.22,1.4
"2024-07-27 08:00:00",327,85865.827,0.652,19.57,0.4
"2024-07-27 09:00:00",432,85868.867,0.543,22.28,1.4
"2024-07-27 10:00:00",490,85890.297,0.522,23.45,0.3
"2024-07-27 11:00:00",461,85895.622,0.453,24.64,1.4
"2024-07-27 12:00:00",355,85919.282,0.476,24.09,2.8
"2024-07-27 13:00:00",737,85927.287,0.52,23.36,3.8
"2024-07-27 14:00:00",606,85945.432,0.442,25.03,0.8
"2024-07-27 15:00:00",727,85934.552,0.39,26.15,1.1
"2024-07-27 16:00:00",410,85935.027,0.395,25.56,1.8
"2024-07-27 17:00:00",505,85942.602,0.369,25.7,1.5
"2024-07-27 18:00:00",94,85964.167,0.467,23.64,2.6
"2024-07-27 19:00:00",96,85973.857,0.599,22.04,4.1
"2024-07-27 20:00:00",100,86010.902,0.672,20.43,4.3
"2024-07-27 21:00:00",0,86070.637,0.656,19.75,1.9
"2024-07-27 22:00:00",0,86057.857,0.722,18.81,1.9
"2024-07-27 23:00:00",0,86078.552,0.671,18.41,0.3
"2024-07-28 00:00:00",0,86095.832,0.724,17.24,2
"2024-07-28 01:00:00",0,86067.737,0.777,16.01,0.7
"2024-07-28 02:00:00",0,86093.657,0.754,16.24,1.1
"2024-07-28 03:00:00",0,86105.677,0.797,15.75,1.8
"2024-07-28 04:00:00",0,86118.842,0.778,15.89,0.8
"2024-07-28 05:00:00",0,86150.347,0.777,15.96,1.1
"2024-07-28 06:00:00",0,86173.057,0.794,15.62,0.8
"2024-07-28 07:00:00",123,86223.997,0.815,16.75,1
"2024-07-28 08:00:00",145,86266.442,0.899,16.7,5.3
"2024-07-28 09:00:00",341,86291.337,0.83,18.83,5.1
"2024-07-28 10:00:00",433,86297.427,0.771,19.93,3.7
"2024-07-28 11:00:00",562,86319.027,0.732,20.87,4.5
"2024-07-28 12:00:00",739,86332.162,0.753,20.57,5.7
"2024-07-28 13:00:00",376,86346.097,0.814,19.03,6.2
"2024-07-28 14:00:00",811,86354.487,0.744,20.46,6.1
"2024-07-28 15:00:00",673,86346.047,0.704,20.53,5.3
"2024-07-28 16:00:00",608,86328.437,0.752,19.85,4.8
"2024-07-28 17:00:00",434,86318.372,0.74,20.08,5.2
"2024-07-28 18:00:00",203,86296.667,0.776,18.88,4.4
"2024-07-28 19:00:00",101,86308.122,0.789,18.24,5.1
"2024-07-28 20:00:00",96,86287.117,0.83,17.18,6.5
"2024-07-28 21:00:00",0,86337.867,0.849,16.65,3.1
"2024-07-28 22:00:00",0,86355.372,0.851,16.34,0.9
"2024-07-28 23:00:00",0,86331.327,0.867,15.43,0.7
"2024-07-29 00:00:00",0,86309.382,0.881,14.86,1.3
"2024-07-29 01:00:00",0,86302.997,0.901,14.36,0.6
"2024-07-29 02:00:00",0,86291.967,0.901,14.27,1.1
"2024-07-29 03:00:00",0,86261.072,0.72,16.61,1.2
"2024-07-29 04:00:00",0,86243.997,0.694,16.74,1.1
"2024-07-29 05:00:00",0,86254.327,0.688,16.25,1.4
"2024-07-29 06:00:00",0,86271.552,0.692,16.64,1.2
"2024-07-29 07:00:00",126,86262.772,0.647,18.97,1
"2024-07-29 08:00:00",323,86268.307,0.761,18.14,1
"2024-07-29 09:00:00",492,86266.022,0.705,20.48,0.9
"2024-07-29 10:00:00",661,86275.187,0.598,22.11,5
"2024-07-29 11:00:00",794,86292.687,0.472,22.96,4.2
"2024-07-29 12:00:00",640,86294.707,0.469,23.04,3
"2024-07-29 13:00:00",609,86282.757,0.472,23.13,2.9
"2024-07-29 14:00:00",639,86275.012,0.433,23.24,1.4
"2024-07-29 15:00:00",697,86282.207,0.423,23.6,3.2
"2024-07-29 16:00:00",658,86267.697,0.45,23.39,2.3
"2024-07-29 17:00:00",531,86266.832,0.445,23.29,1.4
"2024-07-29 18:00:00",258,86255.867,0.466,22.48,2.4
"2024-07-29 19:00:00",96,86251.337,0.552,20.59,1.7
"2024-07-29 20:00:00",81,86243.657,0.68,19.47,1.1
"2024-07-29 21:00:00",0,86266.037,0.66,18.39,0.5
"2024-07-29 22:00:00",0,86262.112,0.735,17.36,1.1
"2024-07-29 23:00:00",0,86269.652,0.796,16.42,1.6
"2024-07-30 00:00:00",0,86252.467,0.719,16.29,0.7
"2024-07-30 01:00:00",0,86228.827,0.709,15.78,1
"2024-07-30 02:00:00",0,86213.622,0.738,15.12,1
"2024-07-30 03:00:00",0,86198.297,0.591,17.68,2.9
"2024-07-30 04:00:00",0,86198.742,0.594,17.37,2.9
"2024-07-30 05:00:00",0,86189.097,0.526,17.71,3.6
"2024-07-30 06:00:00",0,86192.087,0.507,18.11,0
"2024-07-30 07:00:00",124,86203.422,0.442,21.07,0.4
"2024-07-30 08:00:00",323,86212.832,0.518,19.43,1.4
"2024-07-30 09:00:00",516,86210.012,0.442,21.81,3.2
"2024-07-30 10:00:00",706,86226.547,0.382,24.07,1
"2024-07-30 11:00:00",838,86235.747,0.308,25.15,0.9
"2024-07-30 12:00:00",918,86226.172,0.295,25.84,1.4
"2024-07-30 13:00:00",916,86233.932,0.31,25.96,2
