"timestamp","ISWR","P","RH","TA","VW"
"2024-07-23 00:00:00",0,80649.419,0.962,10.77,0.4
"2024-07-23 01:00:00",0,80630.279,0.944,10.32,0.7
"2024-07-23 02:00:00",0,80615.744,0.964,9.76000000000005,0.8
"2024-07-23 03:00:00",0,80604.764,0.939,9.88,1
"2024-07-23 04:00:00",0,80601.459,0.955,9.71000000000004,1.1
"2024-07-23 05:00:00",0,80576.879,0.957,9.75,0.6
"2024-07-23 06:00:00",3,80594.114,0.975,9.37,0.5
"2024-07-23 07:00:00",94,80611.029,0.963,10.06,0.2
"2024-07-23 08:00:00",224,80633.479,0.938,11.2,0.7
"2024-07-23 09:00:00",237,80644.129,0.908,11.8,0.9
"2024-07-23 10:00:00",255,80642.474,0.942,11.79,0.7
"2024-07-23 11:00:00",438,80639.519,0.865,13.01,1.8
"2024-07-23 12:00:00",825,80642.239,0.794,14.05,1.8
"2024-07-23 13:00:00",940,80639.659,0.719,15.17,2.9
"2024-07-23 14:00:00",876,80636.724,0.61,16.03,2.4
"2024-07-23 15:00:00",833,80637.369,0.581,16.69,1.4
"2024-07-23 16:00:00",636,80626.684,0.562,16.41,2.1
"2024-07-23 17:00:00",476,80623.084,0.548,16.1,1.8
"2024-07-23 18:00:00",233,80640.699,0.619,15.23,2.1
"2024-07-23 19:00:00",102,80645.389,0.728,14.25,1.4
"2024-07-23 20:00:00",49,80653.034,0.809,13.34,2.6
"2024-07-23 21:00:00",0,80643.039,0.859,12.54,2.9
"2024-07-23 22:00:00",0,80638.919,0.887,12.08,0.8
"2024-07-23 23:00:00",0,80610.734,0.891,11.95,1.5
"2024-07-24 00:00:00",0,80585.714,0.927,11.37,0.4
"2024-07-24 01:00:00",0,80576.699,0.947,11.16,0.9
"2024-07-24 02:00:00",0,80547.234,0.968,10.87,1.2
"2024-07-24 03:00:00",0,80517.824,0.973,10.49,1.7
"2024-07-24 04:00:00",0,80478.514,0.975,10.21,0.6
"2024-07-24 05:00:00",0,80461.739,0.983,9.80000000000001,0.7
"2024-07-24 06:00:00",2,80453.839,0.984,9.67000000000002,1.8
"2024-07-24 07:00:00",73,80448.824,0.967,9.71000000000004,1.6
"2024-07-24 08:00:00",105,80477.544,0.978,9.52000000000004,2.2
"2024-07-24 09:00:00",148,80484.949,0.961,9.90000000000003,2.6
"2024-07-24 10:00:00",448,80495.054,0.923,11.02,1.6
"2024-07-24 11:00:00",516,80469.239,0.855,11.96,1.7
"2024-07-24 12:00:00",721,80466.539,0.742,12.68,2.3
"2024-07-24 13:00:00",564,80452.059,1,9.06,2.5
"2024-07-24 14:00:00",673,80424.954,1,9.16000000000003,3.1
"2024-07-24 15:00:00",484,80423.894,0.85,11.78,1.7
"2024-07-24 16:00:00",353,80421.814,0.786,12.59,1.5
"2024-07-24 17:00:00",348,80396.909,0.955,9.19,2.2
"2024-07-24 18:00:00",152,80395.769,0.94,9.76000000000005,1
"2024-07-24 19:00:00",60,80389.109,1,8.49000000000001,1.7
"2024-07-24 20:00:00",38,80417.884,1,6.64000000000004,2.6
"2024-07-24 21:00:00",0,80435.874,1,6.09000000000003,2.5
"2024-07-24 22:00:00",0,80419.654,1,5.38,0.2
"2024-07-24 23:00:00",0,80412.039,1,4.98000000000002,0.4
"2024-07-25 00:00:00",0,80405.474,1,6.46000000000004,0.3
"2024-07-25 01:00:00",0,80373.254,0.88,8.67000000000002,0.7
"2024-07-25 02:00:00",0,80331.089,0.875,8.39000000000004,1.1
"2024-07-25 03:00:00",0,80290.629,0.733,8.15000000000003,1
"2024-07-25 04:00:00",0,80261.479,0.953,7.69,0.8
"2024-07-25 05:00:00",0,80244.789,0.869,7.71000000000004,1.5
"2024-07-25 06:00:00",1,80213.829,0.779,7.79000000000002,1.4
"2024-07-25 07:00:00",146,80233.459,0.696,9.91000000000003,1.5
"2024-07-25 08:00:00",350,80237.594,0.699,12.35,0.3
"2024-07-25 09:00:00",550,80246.064,0.678,13.51,0.5
"2024-07-25 10:00:00",735,80237.864,0.604,14.53,2.1
