"timestamp","ISWR","P","RH","TA","VW"
"2024-07-23 00:00:00",0,84581.604,0.948,12.89,0.3
"2024-07-23 01:00:00",0,84562.464,0.932,12.28,0.5
"2024-07-23 02:00:00",0,84547.929,0.946,11.68,1.1
"2024-07-23 03:00:00",0,84536.949,0.906,11.92,1.6
"2024-07-23 04:00:00",0,84533.644,0.922,11.64,1.7
"2024-07-23 05:00:00",0,84509.064,0.949,11.49,1.1
"2024-07-23 06:00:00",3,84526.299,0.958,11.3,0.7
"2024-07-23 07:00:00",92,84543.214,0.936,12.18,0.2
"2024-07-23 08:00:00",223,84565.664,0.892,13.74,0.6
"2024-07-23 09:00:00",235,84576.314,0.846,14.3,1.3
"2024-07-23 10:00:00",247,84574.659,0.909,14.07,0.2
"2024-07-23 11:00:00",419,84571.704,0.809,15.78,2.7
"2024-07-23 12:00:00",794,84574.424,0.726,16.73,2.9
"2024-07-23 13:00:00",932,84571.844,0.652,18.06,4.7
"2024-07-23 14:00:00",829,84568.909,0.563,18.92,4.2
"2024-07-23 15:00:00",792,84569.554,0.537,19.18,2.7
"2024-07-23 16:00:00",588,84558.869,0.512,19.19,3.1
"2024-07-23 17:00:00",438,84555.269,0.509,18.72,3.2
"2024-07-23 18:00:00",229,84572.884,0.556,18.07,3.3
"2024-07-23 19:00:00",100,84577.574,0.72,16.67,2.6
"2024-07-23 20:00:00",52,84585.219,0.811,15.82,3.9
"2024-07-23 21:00:00",0,84575.224,0.827,15.17,4.3
"2024-07-23 22:00:00",0,84571.104,0.855,14.52,1.3
"2024-07-23 23:00:00",0,84542.919,0.868,14.38,1.7
"2024-07-24 00:00:00",0,84517.899,0.901,13.68,0.3
"2024-07-24 01:00:00",0,84508.884,0.919,13.65,1.1
"2024-07-24 02:00:00",0,84479.419,0.95,13.23,1.8
"2024-07-24 03:00:00",0,84450.009,0.959,12.74,1.7
"2024-07-24 04:00:00",0,84410.699,0.964,12.42,1
"2024-07-24 05:00:00",0,84393.924,0.973,12.11,0.7
"2024-07-24 06:00:00",2,84386.024,0.975,11.8,2.4
"2024-07-24 07:00:00",74,84381.009,0.945,11.88,2.3
"2024-07-24 08:00:00",102,84409.729,0.966,11.64,3.6
"2024-07-24 09:00:00",144,84417.134,0.938,12.13,4.1
"2024-07-24 10:00:00",447,84427.239,0.894,13.39,2.8
"2024-07-24 11:00:00",502,84401.424,0.791,14.66,2.9
"2024-07-24 12:00:00",649,84398.724,0.663,15.18,4
"2024-07-24 13:00:00",527,84384.244,1,10.16,4.5
"2024-07-24 14:00:00",602,84357.139,0.999,10.27,4.1
