"timestamp","ISWR","P","RH","TA","VW"
"2024-07-23 00:00:00",0,79173.744,0.969,9.65000000000003,0.2
"2024-07-23 01:00:00",0,79154.604,0.945,9.43000000000001,0.4
"2024-07-23 02:00:00",0,79140.069,0.948,9.11000000000001,0.4
"2024-07-23 03:00:00",0,79129.089,0.921,9.19,0.4
"2024-07-23 04:00:00",0,79125.784,0.939,8.87,0.6
"2024-07-23 05:00:00",0,79101.204,0.966,8.74000000000001,0.5
"2024-07-23 06:00:00",3,79118.439,0.967,8.81,0.3
"2024-07-23 07:00:00",98,79135.354,0.964,9.20000000000005,0.3
"2024-07-23 08:00:00",235,79157.804,0.933,10.1,0.7
"2024-07-23 09:00:00",246,79168.454,0.92,10.54,0.7
"2024-07-23 10:00:00",255,79166.799,0.953,10.56,0.1
"2024-07-23 11:00:00",426,79163.844,0.883,12.06,0.8
"2024-07-23 12:00:00",810,79166.564,0.816,12.86,0.8
"2024-07-23 13:00:00",964,79163.984,0.731,14.15,1.5
"2024-07-23 14:00:00",820,79161.049,0.654,14.83,1.4
"2024-07-23 15:00:00",791,79161.694,0.643,14.69,2.3
"2024-07-23 16:00:00",574,79151.009,0.632,14.68,2.8
"2024-07-23 17:00:00",427,79147.409,0.653,14.21,2.7
"2024-07-23 18:00:00",229,79165.024,0.681,13.61,2.5
"2024-07-23 19:00:00",103,79169.714,0.779,12.62,2.1
"2024-07-23 20:00:00",58,79177.359,0.862,11.8,2.8
"2024-07-23 21:00:00",0,79167.364,0.883,11.33,3.1
"2024-07-23 22:00:00",0,79163.244,0.908,10.91,1.4
"2024-07-23 23:00:00",0,79135.059,0.911,10.75,1.3
"2024-07-24 00:00:00",0,79110.039,0.938,10.26,0.6
"2024-07-24 01:00:00",0,79101.024,0.943,10.17,1.3
"2024-07-24 02:00:00",0,79071.559,0.97,9.78000000000003,1.5
"2024-07-24 03:00:00",0,79042.149,0.963,9.47000000000003,2.1
"2024-07-24 04:00:00",0,79002.839,0.982,9.12,1.3
"2024-07-24 05:00:00",0,78986.064,0.987,8.81,1.1
"2024-07-24 06:00:00",2,78978.164,0.988,8.57000000000005,2.6
"2024-07-24 07:00:00",80,78973.149,0.975,8.51000000000005,3
"2024-07-24 08:00:00",101,79001.869,0.985,8.28000000000003,3.2
"2024-07-24 09:00:00",142,79009.274,0.972,8.53000000000003,3.1
"2024-07-24 10:00:00",465,79019.379,0.944,9.28000000000003,2.2
"2024-07-24 11:00:00",500,78993.564,0.871,10.47,1.5
"2024-07-24 12:00:00",622,78990.864,0.75,10.55,2.3
"2024-07-24 13:00:00",532,78976.384,1,4.18000000000001,2.5
"2024-07-24 14:00:00",568,78949.279,1,4.31,3.1
"2024-07-24 15:00:00",443,78948.219,0.984,8.57000000000005,2.8
"2024-07-24 16:00:00",343,78946.139,0.879,9.85000000000002,2.9
"2024-07-24 17:00:00",365,78921.234,1,4.26000000000005,3.1
"2024-07-24 18:00:00",148,78920.094,1,5.48000000000002,2.5
"2024-07-24 19:00:00",65,78913.434,1,3.99000000000001,2.6
"2024-07-24 20:00:00",54,78942.209,1,2.16000000000003,3
"2024-07-24 21:00:00",0,78960.199,1,1.70000000000005,3.1
"2024-07-24 22:00:00",0,78943.979,1,1.25,0.9
"2024-07-24 23:00:00",0,78936.364,1,0.970000000000027,0.5
"2024-07-25 00:00:00",0,78929.799,1,3.89000000000004,0.6
"2024-07-25 01:00:00",0,78897.579,0.883,7.67000000000002,0.4
"2024-07-25 02:00:00",0,78855.414,0.911,7.26000000000005,0.8
"2024-07-25 03:00:00",0,78814.954,0.872,7.03000000000003,0.9
"2024-07-25 04:00:00",0,78785.804,0.869,7.22000000000003,0.8
"2024-07-25 05:00:00",0,78769.114,0.745,7.68000000000001,1.3
"2024-07-25 06:00:00",1,78738.154,0.633,8.18000000000001,1.4
"2024-07-25 07:00:00",148,78757.784,0.618,9.43000000000001,0.9
"2024-07-25 08:00:00",353,78761.919,0.669,11.4,0.3
"2024-07-25 09:00:00",556,78770.389,0.683,12.37,0.3
"2024-07-25 10:00:00",739,78762.189,0.632,13.15,1
"2024-07-25 11:00:00",874,78746.014,0.544,14.44,1.3
"2024-07-25 12:00:00",954,78733.959,0.491,15.08,1.6
"2024-07-25 13:00:00",976,78738.334,0.403,15.52,1.7
"2024-07-25 14:00:00",929,78736.294,0.468,15.77,2.2
"2024-07-25 15:00:00",834,78733.069,0.554,13.94,2
"2024-07-25 16:00:00",709,78719.554,0.672,11.03,2.1
"2024-07-25 17:00:00",395,78705.159,0.775,9.71000000000004,1.4
"2024-07-25 18:00:00",201,78707.854,0.601,14.43,1.9
"2024-07-25 19:00:00",112,78721.174,0.657,14.38,2
"2024-07-25 20:00:00",47,78745.289,0.732,13.18,3.5
"2024-07-25 21:00:00",0,78782.094,0.734,12.73,1.7
"2024-07-25 22:00:00",0,78778.999,0.69,12.18,0.2
"2024-07-25 23:00:00",0,78764.194,0.722,11.54,0.6
"2024-07-26 00:00:00",0,78766.544,0.67,11.37,0.9
"2024-07-26 01:00:00",0,78762.249,0.722,11.14,1
"2024-07-26 02:00:00",0,78747.719,0.723,10.84,1.4
"2024-07-26 03:00:00",0,78712.209,0.794,10.86,1.3
"2024-07-26 04:00:00",0,78699.729,0.774,11.49,1.3
"2024-07-26 05:00:00",0,78697.179,0.776,11.33,1.3
"2024-07-26 06:00:00",0,78716.499,0.768,11.88,1.4
"2024-07-26 07:00:00",143,78718.954,0.784,12.07,1
