"timestamp","ISWR","P","RH","TA","VW"
"2024-07-23 00:00:00",0,74990.847,0.986,7.01000000000005,0.6
"2024-07-23 01:00:00",0,74971.707,0.963,7.03000000000003,0.6
"2024-07-23 02:00:00",0,74957.172,0.95,6.97000000000003,0.3
"2024-07-23 03:00:00",0,74946.192,0.93,6.96000000000004,0.7
"2024-07-23 04:00:00",0,74942.887,0.943,6.68000000000001,0.3
"2024-07-23 05:00:00",0,74918.307,0.975,6.52000000000004,0.4
"2024-07-23 06:00:00",4,74935.542,0.969,6.82000000000005,0.2
"2024-07-23 07:00:00",103,74952.457,0.983,6.79000000000002,0.8
"2024-07-23 08:00:00",241,74974.907,0.955,7.22000000000003,1.3
"2024-07-23 09:00:00",253,74985.557,0.974,7.57000000000005,0.3
"2024-07-23 10:00:00",253,74983.902,0.988,7.65000000000003,0.3
"2024-07-23 11:00:00",413,74980.947,0.937,9.12,0.9
"2024-07-23 12:00:00",786,74983.667,0.89,9.72000000000003,0.9
"2024-07-23 13:00:00",993,74981.087,0.795,11.11,1.2
"2024-07-23 14:00:00",783,74978.152,0.745,11.61,0.9
"2024-07-23 15:00:00",751,74978.797,0.766,10.84,2.7
"2024-07-23 16:00:00",520,74968.112,0.765,10.85,3.1
"2024-07-23 17:00:00",383,74964.512,0.807,10.42,3.2
"2024-07-23 18:00:00",237,74982.127,0.8,9.97000000000003,2.7
"2024-07-23 19:00:00",108,74986.817,0.835,9.29000000000002,2.2
"2024-07-23 20:00:00",70,74994.462,0.911,8.53000000000003,2.5
"2024-07-23 21:00:00",0,74984.467,0.945,8.16000000000003,2.5
"2024-07-23 22:00:00",0,74980.347,0.962,7.95000000000005,2.1
"2024-07-23 23:00:00",0,74952.162,0.95,7.81,1.6
"2024-07-24 00:00:00",0,74927.142,0.971,7.47000000000003,1.3
"2024-07-24 01:00:00",0,74918.127,0.959,7.38,2.4
"2024-07-24 02:00:00",0,74888.662,0.984,6.99000000000001,2.1
"2024-07-24 03:00:00",0,74859.252,0.958,6.84000000000003,2.7
"2024-07-24 04:00:00",0,74819.942,0.997,6.45000000000005,2
"2024-07-24 05:00:00",0,74803.167,0.999,6.15000000000003,2.7
"2024-07-24 06:00:00",3,74795.267,0.999,5.96000000000004,3.4
"2024-07-24 07:00:00",88,74790.252,0.997,5.79000000000002,4.3
"2024-07-24 08:00:00",107,74818.972,0.999,5.57000000000005,4
"2024-07-24 09:00:00",150,74826.377,0.999,5.59000000000003,3.1
"2024-07-24 10:00:00",485,74836.482,0.986,5.93000000000001,2
"2024-07-24 11:00:00",498,74810.667,0.936,7.14000000000004,0.6
"2024-07-24 12:00:00",519,74807.967,0.856,7.02000000000004,2
"2024-07-24 13:00:00",509,74793.487,1,2.12,2
"2024-07-24 14:00:00",482,74766.382,1,2.41000000000003,2.5
"2024-07-24 15:00:00",414,74765.322,1,5.64000000000004,3.5
"2024-07-24 16:00:00",330,74763.242,0.996,6.49000000000001,3.6
"2024-07-24 17:00:00",381,74738.337,1,2.21000000000004,3.5
"2024-07-24 18:00:00",151,74737.197,1,3.09000000000003,3.7
"2024-07-24 19:00:00",71,74730.537,1,1.87,3.6
"2024-07-24 20:00:00",66,74759.312,1,0.680000000000007,2.3
"2024-07-24 21:00:00",0,74777.302,1,0.210000000000036,2.8
"2024-07-24 22:00:00",0,74761.082,1,0.200000000000045,1.7
"2024-07-24 23:00:00",0,74753.467,1,-0.0399999999999636,1
"2024-07-25 00:00:00",0,74746.902,1,2.25,1.4
"2024-07-25 01:00:00",0,74714.682,0.918,5.18000000000001,0.4
"2024-07-25 02:00:00",0,74672.517,0.915,5,0.6
"2024-07-25 03:00:00",0,74632.057,0.857,5.27000000000004,1
"2024-07-25 04:00:00",0,74602.907,0.588,6.40000000000003,1.5
"2024-07-25 05:00:00",0,74586.217,0.452,7.34000000000003,1.9
"2024-07-25 06:00:00",2,74555.257,0.444,7.93000000000001,2.2
"2024-07-25 07:00:00",154,74574.887,0.514,8.09000000000003,1.7
"2024-07-25 08:00:00",363,74579.022,0.606,9.01000000000005,0.8
"2024-07-25 09:00:00",570,74587.492,0.618,9.62,0.4
"2024-07-25 10:00:00",753,74579.292,0.614,10.06,0.9
"2024-07-25 11:00:00",888,74563.117,0.54,11.58,0.4
"2024-07-25 12:00:00",967,74551.062,0.498,12.53,0.1
"2024-07-25 13:00:00",981,74555.437,0.502,12.4,1
"2024-07-25 14:00:00",937,74553.397,0.548,12.83,1.7
"2024-07-25 15:00:00",842,74550.172,0.627,11.36,1.4
"2024-07-25 16:00:00",722,74536.657,0.739,9.32000000000005,0.9
"2024-07-25 17:00:00",393,74522.262,0.796,8.03000000000003,0.9
"2024-07-25 18:00:00",214,74524.957,0.639,12.08,1
"2024-07-25 19:00:00",124,74538.277,0.668,11.91,0.8
"2024-07-25 20:00:00",61,74562.392,0.69,10.7,2.3
"2024-07-25 21:00:00",0,74599.197,0.77,10.05,2.6
"2024-07-25 22:00:00",0,74596.102,0.695,10.02,0.6
"2024-07-25 23:00:00",0,74581.297,0.724,9.69,0.7
"2024-07-26 00:00:00",0,74583.647,0.725,9.65000000000003,0.9
"2024-07-26 01:00:00",0,74579.352,0.713,9.57000000000005,1
"2024-07-26 02:00:00",0,74564.822,0.78,9.44,1.7
"2024-07-26 03:00:00",0,74529.312,0.831,9.44,1.7
"2024-07-26 04:00:00",0,74516.832,0.86,9.13,1.9
"2024-07-26 05:00:00",0,74514.282,0.856,9,1.8
"2024-07-26 06:00:00",1,74533.602,0.851,9.29000000000002,2
"2024-07-26 07:00:00",148,74536.057,0.809,10.25,1.5
"2024-07-26 08:00:00",356,74569.547,0.788,11.06,0.9
"2024-07-26 09:00:00",513,74574.557,0.763,11.6,1.4
"2024-07-26 10:00:00",556,74585.682,0.741,12.32,1.3
"2024-07-26 11:00:00",793,74613.517,0.728,12.94,1.3
"2024-07-26 12:00:00",873,74618.122,0.678,14.31,0.4
"2024-07-26 13:00:00",1051,74645.952,0.718,14.02,1.1
"2024-07-26 14:00:00",951,74654.627,0.654,15.35,0
"2024-07-26 15:00:00",477,74645.262,0.75,14.04,2.8
"2024-07-26 16:00:00",414,74657.307,0.772,13.81,2.4
"2024-07-26 17:00:00",512,74664.262,0.767,13.82,2.5
"2024-07-26 18:00:00",325,74677.062,0.774,14.09,1.6
"2024-07-26 19:00:00",122,74695.877,0.842,13.31,0.8
"2024-07-26 20:00:00",63,74724.897,0.864,12.59,1
"2024-07-26 21:00:00",0,74759.802,0.914,11.87,1.6
