"timestamp","PSUM","RH","RSWR","TA","TSG","VW"
"2024-07-23 00:00:00",0,0.95,0,12.73,15.37,0.2
"2024-07-23 01:00:00",0,0.953,0,11.84,14.78,0.3
"2024-07-23 02:00:00",0,0.961,0,11.09,14.53,0.8
"2024-07-23 03:00:00",0,0.897,0,11.6,14.75,2.2
"2024-07-23 04:00:00",0,0.887,0,11.52,14.75,1.8
"2024-07-23 05:00:00",0,0.924,1,11.61,14.73,0.7
"2024-07-23 06:00:00",0,0.949,17,11.24,14.49,0.9
"2024-07-23 07:00:00",0,0.901,27,12.63,14.77,0.2
"2024-07-23 08:00:00",0,0.839,104,14.28,15.1,0.2
"2024-07-23 09:00:00",0,0.763,86,14.96,15.57,0.9
"2024-07-23 10:00:00",0,0.877,90,14.06,15.67,3.8
"2024-07-23 11:00:00",0,0.755,182,16,16.15,2.8
"2024-07-23 12:00:00",0,0.68,222,16.81,16.44,3.1
"2024-07-23 13:00:00",0,0.625,294,18.29,17.64,4.9
"2024-07-23 14:00:00",0,0.572,283,19.17,18.05,4.7
"2024-07-23 15:00:00",0,0.541,173,19.12,17.91,3.9
"2024-07-23 16:00:00",0,0.497,74,18.99,17.5,3.9
"2024-07-23 17:00:00",0,0.479,113,18.97,17.08,5
"2024-07-23 18:00:00",0,0.515,60,18.53,16.85,4.5
"2024-07-23 19:00:00",0,0.722,30,16.91,16.59,3.8
"2024-07-23 20:00:00",0,0.787,6,16.16,16.34,4.3
"2024-07-23 21:00:00",0,0.837,0,15.3,16.1,4.3
"2024-07-23 22:00:00",0,0.866,0,14.53,15.92,1
"2024-07-23 23:00:00",0,0.877,0,14.44,15.81,1.2
"2024-07-24 00:00:00",0,0.909,0,13.72,15.53,0.5
"2024-07-24 01:00:00",0,0.918,0,13.85,15.4,1.5
"2024-07-24 02:00:00",2.4,0.934,0,13.56,15.47,1.5
"2024-07-24 03:00:00",0,0.954,0,12.91,15.44,1.3
"2024-07-24 04:00:00",0,0.953,0,12.75,15.41,1.2
"2024-07-24 05:00:00",0,0.963,0,12.51,15.34,0.7
"2024-07-24 06:00:00",0,0.965,8,12.24,15.29,2.6
"2024-07-24 07:00:00",0,0.918,22,12.48,15.27,1.7
"2024-07-24 08:00:00",0,0.951,37,12.27,15.33,4.1
"2024-07-24 09:00:00",0,0.91,48,12.56,15.34,4
"2024-07-24 10:00:00",0,0.86,178,14,15.54,3.1
"2024-07-24 11:00:00",0,0.741,277,15.43,16.65,3.6
"2024-07-24 12:00:00",0,0.662,303,15.83,17.19,4.9
"2024-07-24 13:00:00",0,0.662,258,16.05,17.7,5.5
"2024-07-24 14:00:00",0,0.647,289,16.47,17.97,5.6
"2024-07-24 15:00:00",0,0.609,159,16.78,17.55,4.5
"2024-07-24 16:00:00",0,0.598,199,17.44,17.45,4.3
"2024-07-24 17:00:00",0,0.587,173,17.4,17.44,4.1
"2024-07-24 18:00:00",0,0.646,79,16.52,17.11,3.6
"2024-07-24 19:00:00",0,0.685,20,15.63,16.71,3.3
"2024-07-24 20:00:00",0,0.839,5,13.66,16.24,4.5
"2024-07-24 21:00:00",0,0.861,0,12.98,15.87,4
"2024-07-24 22:00:00",0,0.897,0,11.48,15.46,1.1
"2024-07-24 23:00:00",0,0.892,0,10.97,14.92,0.6
"2024-07-25 00:00:00",0,0.898,0,9.92000000000002,14.48,0.7
"2024-07-25 01:00:00",0,0.889,0,9.58000000000004,14.23,1.1
"2024-07-25 02:00:00",0,0.927,0,8.61000000000001,14.01,1
"2024-07-25 03:00:00",0,0.92,0,8.46000000000004,13.65,0.8
"2024-07-25 04:00:00",0,0.927,0,8.09000000000003,13.53,0.6
"2024-07-25 05:00:00",0,0.938,0,7.95000000000005,13.3,0.6
"2024-07-25 06:00:00",0,0.919,15,8.21000000000004,13.33,0.6
"2024-07-25 07:00:00",0,0.896,22,9.06,13.33,0.6
"2024-07-25 08:00:00",0,0.743,154,12.78,13.82,0.5
"2024-07-25 09:00:00",0,0.62,204,14.84,14.72,0.9
"2024-07-25 10:00:00",0,0.598,241,16.21,15.47,4.1
