"DayNight","ISWR","P","RH","TA","VW","Hour","timestamp"
"Day",386.1875,84882.5865,0.745625,16.0675,2.23125,12.5,2024-07-23 05:00:00
"Night",0,84827.014625,0.901,13.905,1.6,9.5,2024-07-23 21:00:00
"Day",288.125,84694.6874375,0.922625,10.985,3.03125,12.5,2024-07-24 05:00:00
"Night",0,84618.3665,0.952625,7.19750000000003,1.225,9.5,2024-07-24 21:00:00
"Day",478.0625,84468.2455625,0.6461875,15.530625,3.20625,12.5,2024-07-25 05:00:00
"Night",0,84479.572125,0.663625,14.30375,1.4,9.5,2024-07-25 21:00:00
"Day",427,84530.16525,0.631125,19.579375,2.475,12.5,2024-07-26 05:00:00
"Night",0,84688.148375,0.8345,15.83625,1.125,9.5,2024-07-26 21:00:00
"Day",342.1875,84816.1011875,0.561,21.265625,1.78125,12.5,2024-07-27 05:00:00
"Night",0,84994.870875,0.736125,16.78875,1.1,9.5,2024-07-27 21:00:00
"Day",357.125,85198.718375,0.7914375,17.993125,4.06875,12.5,2024-07-28 05:00:00
"Night",0,85213.019625,0.83825,15.18,1.0875,9.5,2024-07-28 21:00:00
"Day",414.25,85178.2049375,0.5765,20.24125,2.0125,12.5,2024-07-29 05:00:00
"Night",0,85144.9915,0.689375,16.3875,1.35,9.5,2024-07-29 21:00:00
"Day",478.375,85110.56025,0.393125,22.52,1.0875,12.5,2024-07-30 05:00:00
"Night",0,85032.01025,0.474625,19.10125,1.325,9.5,2024-07-30 21:00:00
"Day",311.6875,84890.3324375,0.4641875,21.65875,2.11875,12.5,2024-07-31 05:00:00
"Night",0,84789.4765,0.690125,15.5375,1.225,9.5,2024-07-31 21:00:00
"Day",310.8125,84611.759,0.6019375,18.246875,2.23125,12.5,2024-08-01 05:00:00
"Night",0,84544.709,0.78525,14.03,0.7375,9.5,2024-08-01 21:00:00
"Day",192.8125,84443.437125,0.78475,15.973125,1.51875,12.5,2024-08-02 05:00:00
"Night",0,84375.794625,0.857875,12.785,1.0125,9.5,2024-08-02 21:00:00
"Day",254.8125,84411.4449375,0.74825,15.3225,2.3375,12.5,2024-08-03 05:00:00
