"DayNight","ISWR","P","RH","TA","VW","Hour","timestamp"
"Day",391.875,79379.5545,0.8138125,12.273125,1.3625,12.5,2024-07-23 05:00:00
"Night",0,79323.982625,0.935625,10.44125,1.25,9.5,2024-07-23 21:00:00
"Day",293.6875,79191.6554375,0.958,7.66062500000003,2.275,12.5,2024-07-24 05:00:00
"Night",0,79115.3345,0.9455,5.06625000000003,0.7875,9.5,2024-07-24 21:00:00
"Day",489.8125,78965.2135625,0.6216875,12.615625,1.6,12.5,2024-07-25 05:00:00
"Night",0,78976.540125,0.7165,11.8675,0.8875,9.5,2024-07-25 21:00:00
"Day",438.9375,79027.13325,0.7000625,15.818125,1.5375,12.5,2024-07-26 05:00:00
"Night",0,79185.116375,0.860375,13.1225,1.45,9.5,2024-07-26 21:00:00
"Day",351,79313.0691875,0.6399375,17.143125,1.26875,12.5,2024-07-27 05:00:00
"Night",0,79491.838875,0.75775,14.20875,0.9625,9.5,2024-07-27 21:00:00
"Day",362.8125,79695.686375,0.824,14.80125,2.28125,12.5,2024-07-28 05:00:00
"Night",0,79709.987625,0.852125,12.68375,0.6625,9.5,2024-07-28 21:00:00
"Day",424.3125,79675.1729375,0.649125,16.136875,1.4375,12.5,2024-07-29 05:00:00
"Night",0,79641.9595,0.697,13.67375,0.7375,9.5,2024-07-29 21:00:00
"Day",488.625,79607.52825,0.4451875,18.38125,1.1625,12.5,2024-07-30 05:00:00
"Night",0,79528.97825,0.529875,15.96,0.4125,9.5,2024-07-30 21:00:00
"Day",321.875,79387.3004375,0.508625,17.748125,1.45,12.5,2024-07-31 05:00:00
"Night",0,79286.4445,0.673,13.19,0.85,9.5,2024-07-31 21:00:00
"Day",317,79108.727,0.6559375,14.843125,1.34375,12.5,2024-08-01 05:00:00
"Night",0,79041.677,0.81175,11.3425,0.3375,9.5,2024-08-01 21:00:00
"Day",202.3125,78940.405125,0.83525,12.175,0.91875,12.5,2024-08-02 05:00:00
"Night",0,78872.762625,0.883875,9.69875000000003,0.775,9.5,2024-08-02 21:00:00
"Day",266.125,78908.4129375,0.8205625,11.26625,1.61875,12.5,2024-08-03 05:00:00
"Night",0,79019.318875,0.921375,9.50000000000002,0.4625,9.5,2024-08-03 21:00:00
"Day",306.3125,79046.286375,0.78825,11.98,1.6375,12.5,2024-08-04 05:00:00
"Night",0,79081.980125,0.953625,10.4275,0.95,9.5,2024-08-04 21:00:00
"Day",428.75,79045.293875,0.74975,14.10375,1.4375,12.5,2024-08-05 05:00:00
"Night",0,79078.24825,0.75325,12.395,0.7125,9.5,2024-08-05 21:00:00
"Day",469.875,79024.408875,0.6,16.404375,1.79375,12.5,2024-08-06 05:00:00
"Night",0,79087.77825,0.82425,13.2475,0.75,9.5,2024-08-06 21:00:00
"Day",221.0625,79108.232,0.7950625,13.091875,1.00625,12.5,2024-08-07 05:00:00
"Night",0,79173.1295,0.871,10.94375,0.6,9.5,2024-08-07 21:00:00
"Day",348.75,79230.2595,0.7474375,13.36875,1.61875,12.5,2024-08-08 05:00:00
"Night",0,79336.173875,0.876875,10.92875,1.1125,9.5,2024-08-08 21:00:00
"Day",434.3125,79472.6885625,0.643875,15.260625,1.6125,12.5,2024-08-09 05:00:00
"Night",0,79651.956375,0.8475,12.62875,0.8875,9.5,2024-08-09 21:00:00
"Day",465.1875,79760.9529375,0.617875,17.53125,1.41875,12.5,2024-08-10 05:00:00
"Night",0,79816.69575,0.676875,15.50875,0.55,9.5,2024-08-10 21:00:00
"Day",455.75,79714.3804375,0.57725,19.656875,1.3125,12.5,2024-08-11 05:00:00
"Night",0,79545.29825,0.7835,15.77875,1.1125,9.5,2024-08-11 21:00:00
"Day",384.375,79337.0498125,0.59125,18.41,1.60625,12.5,2024-08-12 05:00:00
"Night",0,79232.41075,0.832375,14.2575,1.2375,9.5,2024-08-12 21:00:00
"Day",302.5,79091.621375,0.65175,16.488125,1.35,12.5,2024-08-13 05:00:00
"Night",0,79045.728875,0.643125,14.10375,1.5375,9.5,2024-08-13 21:00:00
"Day",311.4375,79124.7016875,0.5918125,14.906875,1.25,12.5,2024-08-14 05:00:00
"Night",0,79278.2095,0.705,12.31375,1.0875,9.5,2024-08-14 21:00:00
"Day",373,79412.8416875,0.582875,16.188125,0.79375,12.5,2024-08-15 05:00:00
"Night",0,79475.68575,0.670125,13.4475,1.075,9.5,2024-08-15 21:00:00
"Day",317.5,79373.7273125,0.7049375,16,1.4,12.5,2024-08-16 05:00:00
"Night",0,79265.49325,0.898375,13.27375,0.7375,9.5,2024-08-16 21:00:00
"Day",259.5625,79032.252,0.87725,14.01125,1.56875,12.5,2024-08-17 05:00:00
"Night",0,78755.430125,0.97225,11.39375,0.7375,9.5,2024-08-17 21:00:00
"Day",80.5,78558.7335625,0.9768125,9.17312500000002,1.65625,12.5,2024-08-18 05:00:00
"Night",0,78743.098875,0.990875,6.90000000000003,2.375,9.5,2024-08-18 21:00:00
"Day",209.5,78891.4085625,0.96425,7.80437500000002,1.975,12.5,2024-08-19 05:00:00
"Night",0,78936.788875,0.9295,9.17250000000003,1.075,9.5,2024-08-19 21:00:00
"Day",372,78890.4210625,0.7065,14.828125,1.375,12.5,2024-08-20 05:00:00
"Night",0,79002.55075,0.9685,10.96875,1.825,9.5,2024-08-20 21:00:00
"Day",310.625,79099.4954375,0.8348125,10.826875,2.2375,12.5,2024-08-21 05:00:00
"Night",0,79099.006375,0.874125,9.21000000000002,1.45,9.5,2024-08-21 21:00:00
"Day",375.25,79021.4573125,0.6956875,14.42875,1.375,12.5,2024-08-22 05:00:00
"Night",0,79116.80075,0.824625,11.99125,1.025,9.5,2024-08-22 21:00:00
"Day",391.4375,79199.55575,0.6556875,15.88875,1.08125,12.5,2024-08-23 05:00:00
"Night",0,79351.20825,0.765375,13.10375,1.3875,9.5,2024-08-23 21:00:00
"Day",337.5,79318.007,0.5859375,16.56875,1.90625,12.5,2024-08-24 05:00:00
"Night",0,79295.437,0.676125,13.0375,1.85,9.5,2024-08-24 21:00:00
"Day",164,79323.6423125,0.9485,10.37375,1.375,12.5,2024-08-25 05:00:00
"Night",0,79286.717,0.9935,8.60625000000002,0.825,9.5,2024-08-25 21:00:00
"Day",283,79260.548875,0.853875,10.44375,1.06875,12.5,2024-08-26 05:00:00
"Night",0,79346.132,0.947125,8.49125000000003,0.8625,9.5,2024-08-26 21:00:00
"Day",349.75,79370.252,0.63125,14.031875,1.2625,12.5,2024-08-27 05:00:00
"Night",0,79436.18575,0.7015,11.69,1.325,9.5,2024-08-27 21:00:00
"Day",288.125,79469.832625,0.6059375,14.795625,0.80625,12.5,2024-08-28 05:00:00
"Night",0,79548.9395,0.682875,12.735,0.9125,9.5,2024-08-28 21:00:00
"Day",384.4375,79565.8960625,0.62225,15.770625,1.1625,12.5,2024-08-29 05:00:00
"Night",0,79561.74575,0.669875,13.38875,1.1,9.5,2024-08-29 21:00:00
"Day",351.3125,79520.652,0.538625,16.725,1.61875,12.5,2024-08-30 05:00:00
"Night",0,79555.9345,0.755625,13.76,1.325,9.5,2024-08-30 21:00:00
"Day",287.4375,79537.5391875,0.60225,15.841875,1.24375,12.5,2024-08-31 05:00:00
"Night",0,79481.272,0.687,13.1375,1.525,9.5,2024-08-31 21:00:00
"Day",264.5,79304.120125,0.610875,14.67125,1.29375,12.5,2024-09-01 05:00:00
"Night",0,79140.382625,0.7035,11.63125,1.125,9.5,2024-09-01 21:00:00
"Day",264.125,79041.2198125,0.7089375,12.905625,1.00625,12.5,2024-09-02 05:00:00
"Night",0,79123.405125,0.75575,10.555,1.1125,9.5,2024-09-02 21:00:00
"Day",223.9375,79196.2804375,0.7224375,12.96125,0.7625,12.5,2024-09-03 05:00:00
"Night",0,79188.03075,0.786125,11.02625,1.5375,9.5,2024-09-03 21:00:00
"Day",185.4375,79043.10825,0.7248125,12.68875,0.9125,12.5,2024-09-04 05:00:00
"Night",0,78726.188875,0.75275,11.29875,2.35,9.5,2024-09-04 21:00:00
"Day",103.3125,78456.8410625,0.70525,11.65875,2.3375,12.5,2024-09-05 05:00:00
"Night",0,78533.63825,0.85025,8.69750000000002,1.1,9.5,2024-09-05 21:00:00
"Day",290.625,78696.4229375,0.7473125,11.981875,1.125,12.5,2024-09-06 05:00:00
"Night",0,78949.373875,0.81675,9.18375000000001,1.6625,9.5,2024-09-06 21:00:00
"Day",368.125,79009.62825,0.575875,13.51625,2.35,12.5,2024-09-07 05:00:00
"Night",0,79060.078875,0.64925,11.78,2.0375,9.5,2024-09-07 21:00:00
"Day",62.0625,78717.39575,0.8445,10.6025,1.4875,12.5,2024-09-08 05:00:00
"Night",0,78230.99825,0.96375,6.70250000000002,1.775,9.5,2024-09-08 21:00:00
"Day",89.5,78244.083875,0.952625,5.19187500000002,1.725,12.5,2024-09-09 05:00:00
"Night",0,78494.63075,0.971375,4.86750000000003,1.8875,9.5,2024-09-09 21:00:00
"Day",214.0625,78633.242,0.90475,6.07625000000003,1.675,12.5,2024-09-10 05:00:00
"Night",0,78550.80825,0.77375,5.33250000000003,0.85,9.5,2024-09-10 21:00:00
"Day",222.4375,78282.978875,0.695,8.11062500000003,0.93125,12.5,2024-09-11 05:00:00
"Night",0,78001.3795,0.981375,1.70500000000002,2.575,9.5,2024-09-11 21:00:00
"Day",149.1875,78015.9904375,0.949875,-1.11874999999998,2.3625,12.5,2024-09-12 05:00:00
"Night",0,77971.747,0.9685,-2.52874999999998,3.05,9.5,2024-09-12 21:00:00
"Day",175.6875,78277.053875,0.95025,-2.90062499999998,3.4125,12.5,2024-09-13 05:00:00
"Night",0,78653.44575,0.981875,-2.94874999999997,4.1875,9.5,2024-09-13 21:00:00
"Day",151.6875,78962.9585625,0.977875,-2.22062499999997,2.65,12.5,2024-09-14 05:00:00
"Night",0,79067.831375,0.929125,-3.03749999999997,1.625,9.5,2024-09-14 21:00:00
"Day",359.1875,78957.8685625,0.5268125,1.21812500000003,1.9625,12.5,2024-09-15 05:00:00
