"DayNight","ISWR","P","RH","TA","VW","Hour","timestamp"
"Day",396,75693.7565,0.86875,9.63125000000003,1.175,12.5,2024-07-23 05:00:00
"Night",0,75638.184625,0.963125,8.01625000000002,1.275,9.5,2024-07-23 21:00:00
"Day",299.0625,75505.8574375,0.9823125,5.38500000000002,2.1,12.5,2024-07-24 05:00:00
"Night",0,75429.5365,0.91325,3.56875000000002,0.7,9.5,2024-07-24 21:00:00
"Day",498.0625,75279.4155625,0.5991875,10.604375,0.9625,12.5,2024-07-25 05:00:00
"Night",0,75290.742125,0.758625,10.125,0.7125,9.5,2024-07-25 21:00:00
"Day",448.1875,75341.33525,0.7545625,13.186875,1.29375,12.5,2024-07-26 05:00:00
"Night",0,75499.318375,0.8795,11.22875,1.8125,9.5,2024-07-26 21:00:00
"Day",358.3125,75627.2711875,0.7074375,14.223125,1.5125,12.5,2024-07-27 05:00:00
"Night",0,75806.040875,0.776,12.38125,1.5375,9.5,2024-07-27 21:00:00
"Day",367.625,76009.888375,0.8475625,12.596875,1.41875,12.5,2024-07-28 05:00:00
"Night",0,76024.189625,0.863125,10.91375,0.7125,9.5,2024-07-28 21:00:00
"Day",432.3125,75989.3749375,0.7089375,13.266875,1.61875,12.5,2024-07-29 05:00:00
"Night",0,75956.1615,0.705,11.725,1,9.5,2024-07-29 21:00:00
"Day",495.4375,75921.73025,0.489625,15.478125,1.75625,12.5,2024-07-30 05:00:00
"Night",0,75843.18025,0.576,13.715,0.9125,9.5,2024-07-30 21:00:00
"Day",330.75,75701.5024375,0.544375,15.011875,1.575,12.5,2024-07-31 05:00:00
"Night",0,75600.6465,0.664875,11.51625,0.9,9.5,2024-07-31 21:00:00
"Day",320.5,75422.929,0.7010625,12.44875,1.58125,12.5,2024-08-01 05:00:00
"Night",0,75355.879,0.8345,9.42000000000001,0.7375,9.5,2024-08-01 21:00:00
"Day",211,75254.607125,0.8761875,9.51812500000001,1.26875,12.5,2024-08-02 05:00:00
"Night",0,75186.964625,0.9065,7.51500000000002,1.325,9.5,2024-08-02 21:00:00
"Day",276.4375,75222.6149375,0.8794375,8.43187500000003,1.6125,12.5,2024-08-03 05:00:00
"Night",0,75333.520875,0.940875,7.41750000000002,0.8125,9.5,2024-08-03 21:00:00
"Day",312.5,75360.488375,0.844375,9.30437500000003,1.1375,12.5,2024-08-04 05:00:00
"Night",0,75396.182125,0.963375,8.20875000000004,0.5125,9.5,2024-08-04 21:00:00
"Day",435.3125,75359.495875,0.7649375,11.645625,1.15625,12.5,2024-08-05 05:00:00
"Night",0,75392.45025,0.746875,10.58125,0.4375,9.5,2024-08-05 21:00:00
"Day",477.4375,75338.610875,0.646625,13.79875,1.575,12.5,2024-08-06 05:00:00
"Night",0,75401.98025,0.855375,11.19875,0.7875,9.5,2024-08-06 21:00:00
"Day",225.4375,75422.434,0.822875,10.67375,1.0875,12.5,2024-08-07 05:00:00
"Night",0,75487.3315,0.905125,8.85500000000003,0.95,9.5,2024-08-07 21:00:00
"Day",352.9375,75544.4615,0.7655625,11.020625,1.19375,12.5,2024-08-08 05:00:00
"Night",0,75650.375875,0.882625,9.26000000000003,0.9,9.5,2024-08-08 21:00:00
"Day",441.875,75786.8905625,0.7013125,12.54625,1.50625,12.5,2024-08-09 05:00:00
"Night",0,75966.158375,0.890375,10.6275,0.7125,9.5,2024-08-09 21:00:00
"Day",473.8125,76075.1549375,0.615125,15.328125,1.06875,12.5,2024-08-10 05:00:00
"Night",0,76130.89775,0.697375,13.925,0.85,9.5,2024-08-10 21:00:00
"Day",463.0625,76028.5824375,0.5843125,17.258125,1.24375,12.5,2024-08-11 05:00:00
"Night",0,75859.50025,0.818125,14.04,1.2125,9.5,2024-08-11 21:00:00
"Day",390.8125,75651.2518125,0.6314375,15.761875,1.6375,12.5,2024-08-12 05:00:00
"Night",0,75546.61275,0.879625,12.21,0.9125,9.5,2024-08-12 21:00:00
"Day",307.875,75405.823375,0.6679375,14.193125,1.2625,12.5,2024-08-13 05:00:00
"Night",0,75359.930875,0.681,11.61125,2.05,9.5,2024-08-13 21:00:00
"Day",318.0625,75438.9036875,0.624625,12.379375,1.70625,12.5,2024-08-14 05:00:00
"Night",0,75592.4115,0.72125,10.31,1.3625,9.5,2024-08-14 21:00:00
"Day",379.75,75727.0436875,0.612,13.62375,1.0625,12.5,2024-08-15 05:00:00
"Night",0,75789.88775,0.66825,11.67,1.2125,9.5,2024-08-15 21:00:00
"Day",327.375,75687.9293125,0.712375,13.66,1.44375,12.5,2024-08-16 05:00:00
"Night",0,75579.69525,0.939875,11.05625,0.675,9.5,2024-08-16 21:00:00
"Day",260.875,75346.454,0.88125,11.77875,1.0375,12.5,2024-08-17 05:00:00
