"DayNight","ISWR","P","RH","TA","VW","Hour","timestamp"
"Day",381.875,85973.8145,0.7290625,16.8975,2.41875,12.5,2024-07-23 05:00:00
"Night",0,85918.242625,0.896625,14.62625,1.6875,9.5,2024-07-23 21:00:00
"Day",286.375,85785.9154375,0.9030625,12.618125,3.1,12.5,2024-07-24 05:00:00
"Night",0,85709.5945,0.946,8.53375000000001,1.3375,9.5,2024-07-24 21:00:00
"Day",475.9375,85559.4735625,0.6316875,16.3925,3.54375,12.5,2024-07-25 05:00:00
"Night",0,85570.800125,0.65875,14.71625,1.6,9.5,2024-07-25 21:00:00
"Day",427.4375,85621.39325,0.6126875,20.420625,2.70625,12.5,2024-07-26 05:00:00
"Night",0,85779.376375,0.8375,16.345,0.95,9.5,2024-07-26 21:00:00
"Day",341.9375,85907.3291875,0.547375,22.099375,1.86875,12.5,2024-07-27 05:00:00
"Night",0,86086.098875,0.734875,17.2625,1.3125,9.5,2024-07-27 21:00:00
"Day",352.8125,86289.946375,0.7825,18.7175,4.425,12.5,2024-07-28 05:00:00
"Night",0,86304.247625,0.833,15.6575,1.25,9.5,2024-07-28 21:00:00
"Day",412.8125,86269.4329375,0.5595625,21.11125,2.13125,12.5,2024-07-29 05:00:00
"Night",0,86236.2195,0.69275,16.80125,1.4625,9.5,2024-07-29 21:00:00
"Day",474.625,86201.78825,0.383625,23.345,1.25625,12.5,2024-07-30 05:00:00
"Night",0,86123.23825,0.46825,19.605,1.65,9.5,2024-07-30 21:00:00
"Day",313.6875,85981.5604375,0.4515,22.505,2.225,12.5,2024-07-31 05:00:00
"Night",0,85880.7045,0.70075,15.96625,1.4,9.5,2024-07-31 21:00:00
"Day",307.125,85702.987,0.5926875,18.926875,2.5375,12.5,2024-08-01 05:00:00
"Night",0,85635.937,0.78325,14.5175,0.9,9.5,2024-08-01 21:00:00
"Day",197.5625,85534.665125,0.7738125,16.80375,1.6125,12.5,2024-08-02 05:00:00
"Night",0,85467.022625,0.85875,13.4025,1.25,9.5,2024-08-02 21:00:00
"Day",259.375,85502.6729375,0.7343125,16.206875,2.4875,12.5,2024-08-03 05:00:00
"Night",0,85613.578875,0.89175,12.99625,0.8125,9.5,2024-08-03 21:00:00
"Day",299.5625,85640.546375,0.7036875,16.679375,3.025,12.5,2024-08-04 05:00:00
"Night",0,85676.240125,0.937625,14.27125,2.1125,9.5,2024-08-04 21:00:00
"Day",416,85639.553875,0.7148125,18.469375,2.9,12.5,2024-08-05 05:00:00
"Night",0,85672.50825,0.75875,15.44375,1.475,9.5,2024-08-05 21:00:00
"Day",457.25,85618.668875,0.52525,20.95625,2.725,12.5,2024-08-06 05:00:00
"Night",0,85682.03825,0.776125,16.67375,1.3375,9.5,2024-08-06 21:00:00
"Day",214.25,85702.492,0.7445625,17.243125,2.11875,12.5,2024-08-07 05:00:00
"Night",0,85767.3895,0.820375,14.42375,1.35,9.5,2024-08-07 21:00:00
"Day",337.9375,85824.5195,0.71725,17.410625,3.45625,12.5,2024-08-08 05:00:00
"Night",0,85930.433875,0.870375,13.75625,2.15,9.5,2024-08-08 21:00:00
"Day",423.6875,86066.9485625,0.556375,20.015,2.6125,12.5,2024-08-09 05:00:00
"Night",0,86246.216375,0.783,15.9375,2.45,9.5,2024-08-09 21:00:00
"Day",451.0625,86355.2129375,0.6129375,21.36,3.425,12.5,2024-08-10 05:00:00
"Night",0,86410.95575,0.65375,18.0875,0.8,9.5,2024-08-10 21:00:00
"Day",442.6875,86308.6404375,0.55575,23.729375,2.1875,12.5,2024-08-11 05:00:00
"Night",0,86139.55825,0.743375,18.58625,1.05,9.5,2024-08-11 21:00:00
"Day",373.5,85931.3098125,0.533125,22.939375,2.61875,12.5,2024-08-12 05:00:00
"Night",0,85826.67075,0.76975,17.725,2.0125,9.5,2024-08-12 21:00:00
"Day",295.75,85685.881375,0.6211875,20.43375,1.90625,12.5,2024-08-13 05:00:00
"Night",0,85639.988875,0.592375,18.4325,1,9.5,2024-08-13 21:00:00
"Day",302.375,85718.9616875,0.5488125,19.194375,1.65,12.5,2024-08-14 05:00:00
"Night",0,85872.4695,0.68425,15.71875,1.275,9.5,2024-08-14 21:00:00
"Day",362.3125,86007.1016875,0.5348125,20.5375,2.54375,12.5,2024-08-15 05:00:00
"Night",0,86069.94575,0.669625,16.51375,1.875,9.5,2024-08-15 21:00:00
"Day",308.8125,85967.9873125,0.6869375,20.06125,3.55625,12.5,2024-08-16 05:00:00
"Night",0,85859.75325,0.83,17.05875,1.3875,9.5,2024-08-16 21:00:00
"Day",251.75,85626.512,0.8683125,17.858125,3.15,12.5,2024-08-17 05:00:00
"Night",0,85349.690125,0.95825,15.08875,1.7125,9.5,2024-08-17 21:00:00
"Day",77.625,85152.9935625,0.962,13.008125,2.1625,12.5,2024-08-18 05:00:00
"Night",0,85337.358875,0.976625,10.26625,2.75,9.5,2024-08-18 21:00:00
"Day",202.0625,85485.6685625,0.9286875,10.79,4.35,12.5,2024-08-19 05:00:00
"Night",0,85531.048875,0.936,11.2725,1.4375,9.5,2024-08-19 21:00:00
"Day",360.5625,85484.6810625,0.6735625,18.56875,3.14375,12.5,2024-08-20 05:00:00
"Night",0,85596.81075,0.946875,14.73875,2.2,9.5,2024-08-20 21:00:00
"Day",302.0625,85693.7554375,0.752125,15.32,3.69375,12.5,2024-08-21 05:00:00
"Night",0,85693.266375,0.881875,11.38,1.7,9.5,2024-08-21 21:00:00
"Day",365.125,85615.7173125,0.605625,18.980625,2.125,12.5,2024-08-22 05:00:00
"Night",0,85711.06075,0.844375,14.4375,1.1125,9.5,2024-08-22 21:00:00
"Day",380.625,85793.81575,0.6175,19.99375,2.70625,12.5,2024-08-23 05:00:00
"Night",0,85945.46825,0.7515,15.73375,0.9875,9.5,2024-08-23 21:00:00
"Day",328.75,85912.267,0.4948125,21.709375,1.78125,12.5,2024-08-24 05:00:00
"Night",0,85889.697,0.61775,16.29375,0.875,9.5,2024-08-24 21:00:00
"Day",158.6875,85917.9023125,0.9539375,12.414375,3.19375,12.5,2024-08-25 05:00:00
"Night",0,85880.977,0.98575,10.765,1.7,9.5,2024-08-25 21:00:00
"Day",273.3125,85854.808875,0.949875,12.694375,3.36875,12.5,2024-08-26 05:00:00
"Night",0,85940.392,0.966875,10.16,1.4625,9.5,2024-08-26 21:00:00
"Day",340.375,85964.512,0.569625,18.60125,2.075,12.5,2024-08-27 05:00:00
"Night",0,86030.44575,0.674125,15.24375,0.5,9.5,2024-08-27 21:00:00
"Day",280.3125,86064.092625,0.5509375,19.1225,1.375,12.5,2024-08-28 05:00:00
"Night",0,86143.1995,0.636125,15.76,0.9,9.5,2024-08-28 21:00:00
"Day",373.1875,86160.1560625,0.5291875,20.683125,2.25625,12.5,2024-08-29 05:00:00
"Night",0,86156.00575,0.61475,17.03625,1.2,9.5,2024-08-29 21:00:00
"Day",342.5625,86114.912,0.437,21.893125,2.11875,12.5,2024-08-30 05:00:00
"Night",0,86150.1945,0.71025,17.4025,1.3625,9.5,2024-08-30 21:00:00
"Day",278.5625,86131.7991875,0.557375,20.015,1.65625,12.5,2024-08-31 05:00:00
"Night",0,86075.532,0.6565,16.465,0.9125,9.5,2024-08-31 21:00:00
"Day",257,85898.380125,0.5320625,19.248125,1.59375,12.5,2024-09-01 05:00:00
"Night",0,85734.642625,0.656,14.5075,1.1875,9.5,2024-09-01 21:00:00
"Day",255.8125,85635.4798125,0.6585625,17.051875,1.70625,12.5,2024-09-02 05:00:00
"Night",0,85717.665125,0.753125,13.2975,1.1625,9.5,2024-09-02 21:00:00
"Day",216.625,85790.5404375,0.6385,17.293125,1.45625,12.5,2024-09-03 05:00:00
"Night",0,85782.29075,0.732125,14.46125,1.075,9.5,2024-09-03 21:00:00
"Day",180.0625,85637.36825,0.650875,17.194375,1.6625,12.5,2024-09-04 05:00:00
"Night",0,85320.448875,0.677375,15.58625,1.825,9.5,2024-09-04 21:00:00
"Day",99.9375,85051.1010625,0.5860625,17.143125,1.91875,12.5,2024-09-05 05:00:00
"Night",0,85127.89825,0.82825,12.20375,1.075,9.5,2024-09-05 21:00:00
