"DayNight","ISWR","P","RH","TA","VW","Hour","timestamp"
"Day",388.8125,80630.4065,0.782375,13.390625,1.49375,12.5,2024-07-23 05:00:00
"Night",0,80574.834625,0.928375,11.33375,1.25,9.5,2024-07-23 21:00:00
"Day",292.8125,80442.5074375,0.93275,10.058125,1.925,12.5,2024-07-24 05:00:00
"Night",0,80366.1865,0.930125,6.97625000000002,0.875,9.5,2024-07-24 21:00:00
"Day",487.3125,80216.0655625,0.6050625,13.78625,2.075,12.5,2024-07-25 05:00:00
"Night",0,80227.392125,0.714875,12.27,1.225,9.5,2024-07-25 21:00:00
"Day",439.125,80277.98525,0.6674375,16.93875,1.7,12.5,2024-07-26 05:00:00
"Night",0,80435.968375,0.87025,13.6775,1,9.5,2024-07-26 21:00:00
"Day",350.75,80563.9211875,0.619,18.125,1.50625,12.5,2024-07-27 05:00:00
"Night",0,80742.690875,0.754625,14.72625,0.775,9.5,2024-07-27 21:00:00
"Day",360,80946.538375,0.80425,15.851875,2.66875,12.5,2024-07-28 05:00:00
"Night",0,80960.839625,0.843875,13.235,0.8375,9.5,2024-07-28 21:00:00
"Day",423.1875,80926.0249375,0.6161875,17.309375,1.4,12.5,2024-07-29 05:00:00
"Night",0,80892.8115,0.700625,14.0825,0.7125,9.5,2024-07-29 21:00:00
"Day",484.3125,80858.38025,0.4281875,19.43875,0.99375,12.5,2024-07-30 05:00:00
"Night",0,80779.83025,0.522125,16.51375,0.6375,9.5,2024-07-30 21:00:00
"Day",324.125,80638.1524375,0.4846875,18.824375,1.40625,12.5,2024-07-31 05:00:00
"Night",0,80537.2965,0.6915,13.6375,0.875,9.5,2024-07-31 21:00:00
"Day",312.625,80359.579,0.6399375,15.705625,1.44375,12.5,2024-08-01 05:00:00
"Night",0,80292.529,0.809875,11.8475,0.5375,9.5,2024-08-01 21:00:00
"Day",206.8125,80191.257125,0.8178125,13.28125,0.95,12.5,2024-08-02 05:00:00
"Night",0,80123.614625,0.890125,10.41625,0.85,9.5,2024-08-02 21:00:00
"Day",270.0625,80159.2649375,0.799,12.42375,1.54375,12.5,2024-08-03 05:00:00
"Night",0,80270.170875,0.912875,10.12625,0.3875,9.5,2024-08-03 21:00:00
"Day",307.25,80297.138375,0.759875,13.1325,1.68125,12.5,2024-08-04 05:00:00
