"DayNight","ISWR","P","RH","TA","VW","Hour","timestamp"
"Day",399.8125,74116.6865,0.8844375,8.60687500000002,1.23125,12.5,2024-07-23 05:00:00
"Night",0,74061.114625,0.97475,6.98000000000003,1.3625,9.5,2024-07-23 21:00:00
"Day",302.625,73928.7874375,0.9891875,4.83000000000003,1.775,12.5,2024-07-24 05:00:00
"Night",0,73852.4665,0.888375,3.21750000000003,0.775,9.5,2024-07-24 21:00:00
"Day",501.625,73702.3455625,0.58525,9.86750000000001,1.1625,12.5,2024-07-25 05:00:00
"Night",0,73713.672125,0.78425,9.26625000000003,0.8125,9.5,2024-07-25 21:00:00
"Day",452.4375,73764.26525,0.77125,12.16125,1.3625,12.5,2024-07-26 05:00:00
"Night",0,73922.248375,0.89475,10.3475,1.825,9.5,2024-07-26 21:00:00
"Day",360.9375,74050.2011875,0.7401875,12.90875,1.825,12.5,2024-07-27 05:00:00
"Night",0,74228.970875,0.783125,11.5225,1.85,9.5,2024-07-27 21:00:00
"Day",371.1875,74432.818375,0.8505,11.8225,1.38125,12.5,2024-07-28 05:00:00
"Night",0,74447.119625,0.864875,10.12125,0.8875,9.5,2024-07-28 21:00:00
"Day",435.5,74412.3049375,0.726625,12.15375,1.58125,12.5,2024-07-29 05:00:00
"Night",0,74379.0915,0.707375,10.7725,1.4,9.5,2024-07-29 21:00:00
"Day",497.5,74344.66025,0.5061875,14.276875,1.9375,12.5,2024-07-30 05:00:00
"Night",0,74266.11025,0.598875,12.68125,1.2375,9.5,2024-07-30 21:00:00
"Day",334.4375,74124.4324375,0.55325,13.86875,1.69375,12.5,2024-07-31 05:00:00
"Night",0,74023.5765,0.667,10.70875,1.1875,9.5,2024-07-31 21:00:00
"Day",321.5625,73845.859,0.7185,11.443125,1.79375,12.5,2024-08-01 05:00:00
"Night",0,73778.809,0.846125,8.49000000000003,1.075,9.5,2024-08-01 21:00:00
"Day",214,73677.537125,0.89225,8.48250000000002,1.36875,12.5,2024-08-02 05:00:00
"Night",0,73609.894625,0.922875,6.52875000000002,1.7375,9.5,2024-08-02 21:00:00
"Day",279.0625,73645.5449375,0.9059375,7.29000000000003,1.5875,12.5,2024-08-03 05:00:00
"Night",0,73756.450875,0.946625,6.46625000000002,0.9875,9.5,2024-08-03 21:00:00
"Day",316.4375,73783.418375,0.864625,8.26250000000002,1.05,12.5,2024-08-04 05:00:00
"Night",0,73819.112125,0.965625,7.28125000000003,0.6,9.5,2024-08-04 21:00:00
"Day",438.875,73782.425875,0.7568125,10.7425,1.375,12.5,2024-08-05 05:00:00
"Night",0,73815.38025,0.739625,9.79125000000002,0.625,9.5,2024-08-05 21:00:00
"Day",480.9375,73761.540875,0.66,12.8025,1.41875,12.5,2024-08-06 05:00:00
"Night",0,73824.91025,0.87175,10.235,0.9875,9.5,2024-08-06 21:00:00
"Day",228,73845.364,0.829625,9.63312500000002,1.2,12.5,2024-08-07 05:00:00
"Night",0,73910.2615,0.923625,7.84125000000002,1.1,9.5,2024-08-07 21:00:00
"Day",355.875,73967.3915,0.7678125,10.06375,1.2375,12.5,2024-08-08 05:00:00
"Night",0,74073.305875,0.88475,8.51750000000003,0.9875,9.5,2024-08-08 21:00:00
"Day",446.25,74209.8205625,0.7186875,11.54875,1.475,12.5,2024-08-09 05:00:00
"Night",0,74389.088375,0.9085,9.68375000000001,0.85,9.5,2024-08-09 21:00:00
"Day",477.625,74498.0849375,0.6045,14.439375,1.33125,12.5,2024-08-10 05:00:00
"Night",0,74553.82775,0.708375,13.185,0.8625,9.5,2024-08-10 21:00:00
"Day",467.25,74451.5124375,0.574375,16.26375,1.3875,12.5,2024-08-11 05:00:00
"Night",0,74282.43025,0.843375,13.12875,1.0125,9.5,2024-08-11 21:00:00
"Day",394.25,74074.1818125,0.638625,14.660625,1.7,12.5,2024-08-12 05:00:00
"Night",0,73969.54275,0.914375,11.25875,0.775,9.5,2024-08-12 21:00:00
"Day",313.5625,73828.753375,0.6633125,13.30375,1.06875,12.5,2024-08-13 05:00:00
"Night",0,73782.860875,0.6895,10.66875,2.2375,9.5,2024-08-13 21:00:00
"Day",320.4375,73861.8336875,0.637,11.245625,1.85625,12.5,2024-08-14 05:00:00
"Night",0,74015.3415,0.724375,9.43875000000003,1.4375,9.5,2024-08-14 21:00:00
"Day",382.9375,74149.9736875,0.6184375,12.4825,1.5375,12.5,2024-08-15 05:00:00
"Night",0,74212.81775,0.65525,10.9175,1.3375,9.5,2024-08-15 21:00:00
"Day",331.3125,74110.8593125,0.6998125,12.728125,1.8125,12.5,2024-08-16 05:00:00
"Night",0,74002.62525,0.953375,10.10375,0.7375,9.5,2024-08-16 21:00:00
"Day",264.25,73769.384,0.8795625,10.85875,1.025,12.5,2024-08-17 05:00:00
"Night",0,73492.562125,0.988125,8.29125000000003,0.575,9.5,2024-08-17 21:00:00
"Day",81.0625,73295.8655625,0.991625,6.05125000000002,1.4625,12.5,2024-08-18 05:00:00
"Night",0,73480.230875,0.99925,4.18500000000003,2.25,9.5,2024-08-18 21:00:00
"Day",209.6875,73628.5405625,0.99425,5.31187500000002,0.78125,12.5,2024-08-19 05:00:00
"Night",0,73673.920875,0.895875,7.53000000000002,1.0375,9.5,2024-08-19 21:00:00
"Day",381.125,73627.5530625,0.74125,11.5525,1.1375,12.5,2024-08-20 05:00:00
"Night",0,73739.68275,0.988125,7.85125000000003,1.55,9.5,2024-08-20 21:00:00
"Day",320.1875,73836.6274375,0.9200625,7.30812500000002,1.49375,12.5,2024-08-21 05:00:00
"Night",0,73836.138375,0.866375,7.43250000000003,1.6,9.5,2024-08-21 21:00:00
