"DayNight","ISWR","P","RH","TA","VW","Hour","timestamp"
"Day",373.3125,84562.5915,0.7428125,15.88875,2.3375,12.5,2024-07-23 05:00:00
"Night",0,84507.019625,0.905375,13.72375,1.65,9.5,2024-07-23 21:00:00
"Day",277.4375,84374.6924375,0.903375,11.9275,3.2375,12.5,2024-07-24 05:00:00
"Night",0,84298.3715,0.9555,8.04875000000003,1.1875,9.5,2024-07-24 21:00:00
"Day",478.25,84148.2505625,0.63125,15.638125,3.0625,12.5,2024-07-25 05:00:00
"Night",0,84159.577125,0.6985,13.6625,1.375,9.5,2024-07-25 21:00:00
"Day",430.375,84210.17025,0.6381875,19.21875,2.49375,12.5,2024-07-26 05:00:00
"Night",0,84368.153375,0.852125,15.4175,1.175,9.5,2024-07-26 21:00:00
"Day",341,84496.1061875,0.57175,20.9725,1.61875,12.5,2024-07-27 05:00:00
"Night",0,84674.875875,0.7665,16.2475,1.075,9.5,2024-07-27 21:00:00
"Day",340.125,84878.723375,0.8058125,17.568125,4.1125,12.5,2024-07-28 05:00:00
"Night",0,84893.024625,0.863,14.47125,1.025,9.5,2024-07-28 21:00:00
"Day",411.625,84858.2099375,0.5915625,19.690625,2.125,12.5,2024-07-29 05:00:00
"Night",0,84824.9965,0.716625,15.615,1.1875,9.5,2024-07-29 21:00:00
"Day",477.4375,84790.56525,0.411375,21.924375,1.13125,12.5,2024-07-30 05:00:00
"Night",0,84712.01525,0.515625,17.97625,1.125,9.5,2024-07-30 21:00:00
"Day",313.375,84570.3374375,0.4754375,21.243125,1.925,12.5,2024-07-31 05:00:00
"Night",0,84469.4815,0.72975,14.89125,1.225,9.5,2024-07-31 21:00:00
"Day",310.0625,84291.764,0.6223125,17.843125,2.1375,12.5,2024-08-01 05:00:00
"Night",0,84224.714,0.82425,13.4,0.6375,9.5,2024-08-01 21:00:00
"Day",199.875,84123.442125,0.7941875,15.663125,1.39375,12.5,2024-08-02 05:00:00
"Night",0,84055.799625,0.877375,12.46625,0.975,9.5,2024-08-02 21:00:00
"Day",262.1875,84091.4499375,0.7535,15.06125,2.2875,12.5,2024-08-03 05:00:00
"Night",0,84202.355875,0.901125,12.0375,0.6375,9.5,2024-08-03 21:00:00
"Day",287.875,84229.323375,0.7168125,15.619375,2.85,12.5,2024-08-04 05:00:00
"Night",0,84265.017125,0.935625,13.49,1.925,9.5,2024-08-04 21:00:00
"Day",414.5,84228.330875,0.718375,17.468125,2.73125,12.5,2024-08-05 05:00:00
"Night",0,84261.28525,0.7765,14.3,1.2875,9.5,2024-08-05 21:00:00
"Day",459.5,84207.445875,0.5513125,19.6725,2.64375,12.5,2024-08-06 05:00:00
"Night",0,84270.81525,0.791875,15.77625,1.1125,9.5,2024-08-06 21:00:00
"Day",217.8125,84291.269,0.7613125,16.2025,1.79375,12.5,2024-08-07 05:00:00
"Night",0,84356.1665,0.854125,13.335,0.9125,9.5,2024-08-07 21:00:00
"Day",333.875,84413.2965,0.738375,16.33375,3.1125,12.5,2024-08-08 05:00:00
"Night",0,84519.210875,0.881,12.9025,1.7875,9.5,2024-08-08 21:00:00
"Day",415.25,84655.7255625,0.5870625,18.666875,2.525,12.5,2024-08-09 05:00:00
"Night",0,84834.993375,0.810125,14.95875,1.65,9.5,2024-08-09 21:00:00
"Day",453.25,84943.9899375,0.622625,20.32125,2.88125,12.5,2024-08-10 05:00:00
"Night",0,84999.73275,0.685375,16.86375,0.6125,9.5,2024-08-10 21:00:00
"Day",437.9375,84897.4174375,0.5748125,22.62125,2.0125,12.5,2024-08-11 05:00:00
"Night",0,84728.33525,0.76975,17.68625,1.1625,9.5,2024-08-11 21:00:00
"Day",373.375,84520.0868125,0.553125,21.85875,2.45625,12.5,2024-08-12 05:00:00
"Night",0,84415.44775,0.786,16.93125,1.85,9.5,2024-08-12 21:00:00
"Day",283.5,84274.658375,0.640625,19.385625,1.9125,12.5,2024-08-13 05:00:00
"Night",0,84228.765875,0.6615,16.4375,1,9.5,2024-08-13 21:00:00
"Day",305.25,84307.7386875,0.579875,18.026875,1.49375,12.5,2024-08-14 05:00:00
"Night",0,84461.2465,0.72675,14.38375,1.2375,9.5,2024-08-14 21:00:00
"Day",364.4375,84595.8786875,0.5639375,19.361875,2.2,12.5,2024-08-15 05:00:00
"Night",0,84658.72275,0.711625,15.20625,1.5125,9.5,2024-08-15 21:00:00
"Day",312.25,84556.7643125,0.6928125,19.144375,2.90625,12.5,2024-08-16 05:00:00
"Night",0,84448.53025,0.840125,16.205,1.275,9.5,2024-08-16 21:00:00
"Day",245.25,84215.289,0.8635625,17.055,2.80625,12.5,2024-08-17 05:00:00
"Night",0,83938.467125,0.960375,14.3525,1.55,9.5,2024-08-17 21:00:00
"Day",77.4375,83741.7705625,0.96275,12.21,2.1125,12.5,2024-08-18 05:00:00
"Night",0,83926.135875,0.978875,9.63125000000002,2.775,9.5,2024-08-18 21:00:00
"Day",205.1875,84074.4455625,0.92225,10.393125,3.69375,12.5,2024-08-19 05:00:00
"Night",0,84119.825875,0.938875,10.83,1.325,9.5,2024-08-19 21:00:00
"Day",365.75,84073.4580625,0.6955625,17.43,2.75,12.5,2024-08-20 05:00:00
"Night",0,84185.58775,0.95625,13.9225,2.2,9.5,2024-08-20 21:00:00
