"DayNight","ISWR","P","RH","TA","VW","Hour","timestamp"
"Day",377.4375,79154.7315,0.8148125,12.09125,1.39375,12.5,2024-07-23 05:00:00
"Night",0,79099.159625,0.93725,10.22375,1.575,9.5,2024-07-23 21:00:00
"Day",276.875,78966.8324375,0.9584375,7.23750000000003,2.59375,12.5,2024-07-24 05:00:00
"Night",0,78890.5115,0.941875,4.62375000000003,1,9.5,2024-07-24 21:00:00
"Day",489.25,78740.3905625,0.6173125,12.480625,1.55625,12.5,2024-07-25 05:00:00
"Night",0,78751.717125,0.728625,11.51875,1.05,9.5,2024-07-25 21:00:00
"Day",438.5,78802.31025,0.707625,15.580625,1.53125,12.5,2024-07-26 05:00:00
"Night",0,78960.293375,0.863625,12.89375,1.5125,9.5,2024-07-26 21:00:00
"Day",344.625,79088.2461875,0.6514375,16.825625,1.34375,12.5,2024-07-27 05:00:00
"Night",0,79267.015875,0.781,13.80875,1.1875,9.5,2024-07-27 21:00:00
"Day",340,79470.863375,0.8358125,14.460625,2.38125,12.5,2024-07-28 05:00:00
"Night",0,79485.164625,0.865875,12.2825,0.75,9.5,2024-07-28 21:00:00
"Day",417.3125,79450.3499375,0.6585625,15.79125,1.69375,12.5,2024-07-29 05:00:00
"Night",0,79417.1365,0.70375,13.31375,1.0875,9.5,2024-07-29 21:00:00
"Day",489.25,79382.70525,0.4490625,18.0975,1.3875,12.5,2024-07-30 05:00:00
"Night",0,79304.15525,0.547125,15.50375,0.7,9.5,2024-07-30 21:00:00
"Day",314.9375,79162.4774375,0.51725,17.439375,1.56875,12.5,2024-07-31 05:00:00
"Night",0,79061.6215,0.686625,12.8375,1.0625,9.5,2024-07-31 21:00:00
"Day",320.5625,78883.904,0.66575,14.585,1.45625,12.5,2024-08-01 05:00:00
"Night",0,78816.854,0.83475,10.965,0.4625,9.5,2024-08-01 21:00:00
"Day",199,78715.582125,0.8428125,11.908125,1.15,12.5,2024-08-02 05:00:00
"Night",0,78647.939625,0.893,9.42500000000002,1.075,9.5,2024-08-02 21:00:00
"Day",260.6875,78683.5899375,0.8268125,11.006875,1.96875,12.5,2024-08-03 05:00:00
"Night",0,78794.495875,0.924375,9.23375000000002,0.55,9.5,2024-08-03 21:00:00
"Day",283.3125,78821.463375,0.788875,11.75,1.70625,12.5,2024-08-04 05:00:00
"Night",0,78857.157125,0.948875,10.28,0.9125,9.5,2024-08-04 21:00:00
"Day",423.5,78820.470875,0.7435625,13.92375,1.45,12.5,2024-08-05 05:00:00
"Night",0,78853.42525,0.758875,12.04875,0.7,9.5,2024-08-05 21:00:00
"Day",470.25,78799.585875,0.60825,16.091875,1.8625,12.5,2024-08-06 05:00:00
"Night",0,78862.95525,0.836625,12.97375,0.7625,9.5,2024-08-06 21:00:00
"Day",225.5625,78883.409,0.8020625,12.818125,1.09375,12.5,2024-08-07 05:00:00
"Night",0,78948.3065,0.889875,10.5825,0.575,9.5,2024-08-07 21:00:00
"Day",341.5,79005.4365,0.7548125,13.125,1.65625,12.5,2024-08-08 05:00:00
"Night",0,79111.350875,0.878375,10.63375,1.225,9.5,2024-08-08 21:00:00
"Day",416.5,79247.8655625,0.6520625,14.955,1.69375,12.5,2024-08-09 05:00:00
