"DayNight","ISWR","P","RH","TA","VW","Hour","timestamp"
"Day",368.625,74971.8345,0.8809375,9.00187500000003,1.475,12.5,2024-07-23 05:00:00
"Night",0,74916.262625,0.96575,7.38125000000002,2.0875,9.5,2024-07-23 21:00:00
"Day",265.875,74783.9354375,0.9854375,4.60375000000003,2.925,12.5,2024-07-24 05:00:00
"Night",0,74707.6145,0.90975,3.05875000000002,1.3,9.5,2024-07-24 21:00:00
"Day",498.1875,74557.4935625,0.5934375,10.299375,1.15,12.5,2024-07-25 05:00:00
"Night",0,74568.820125,0.76225,9.62375000000002,1.3875,9.5,2024-07-25 21:00:00
"Day",447.1875,74619.41325,0.7721875,12.6125,1.425,12.5,2024-07-26 05:00:00
"Night",0,74777.396375,0.879875,10.76,2.275,9.5,2024-07-26 21:00:00
"Day",344.9375,74905.3491875,0.7323125,13.435625,1.85,12.5,2024-07-27 05:00:00
"Night",0,75084.118875,0.8075,11.6525,2.125,9.5,2024-07-27 21:00:00
"Day",322.9375,75287.966375,0.8676875,11.8075,1.83125,12.5,2024-07-28 05:00:00
"Night",0,75302.267625,0.87575,10.33125,1.075,9.5,2024-07-28 21:00:00
"Day",417.8125,75267.4529375,0.7291875,12.523125,2.3375,12.5,2024-07-29 05:00:00
"Night",0,75234.2395,0.696875,11.29875,2.075,9.5,2024-07-29 21:00:00
"Day",498.5,75199.80825,0.48675,14.93875,2.44375,12.5,2024-07-30 05:00:00
"Night",0,75121.25825,0.582625,13.29125,1.8625,9.5,2024-07-30 21:00:00
"Day",315.25,74979.5804375,0.558125,14.3225,2.025,12.5,2024-07-31 05:00:00
"Night",0,74878.7245,0.660875,11.045,1.75,9.5,2024-07-31 21:00:00
"Day",329.6875,74701.007,0.7105,11.871875,2.15625,12.5,2024-08-01 05:00:00
"Night",0,74633.957,0.85575,8.86750000000002,1.4125,9.5,2024-08-01 21:00:00
"Day",200.9375,74532.685125,0.8895625,8.80625000000002,2.00625,12.5,2024-08-02 05:00:00
"Night",0,74465.042625,0.9095,6.93125000000002,2,9.5,2024-08-02 21:00:00
"Day",262.375,74500.6929375,0.8969375,7.69375000000003,2.60625,12.5,2024-08-03 05:00:00
"Night",0,74611.598875,0.94575,6.88625000000003,1.2375,9.5,2024-08-03 21:00:00
"Day",265.5,74638.566375,0.856625,8.59562500000003,1.41875,12.5,2024-08-04 05:00:00
"Night",0,74674.260125,0.956625,7.69875000000002,0.75,9.5,2024-08-04 21:00:00
"Day",426.8125,74637.573875,0.7615625,11.05,1.49375,12.5,2024-08-05 05:00:00
"Night",0,74670.52825,0.74425,10.0975,0.7875,9.5,2024-08-05 21:00:00
"Day",478.75,74616.688875,0.6634375,13.123125,1.975,12.5,2024-08-06 05:00:00
"Night",0,74680.05825,0.879625,10.6225,1.0375,9.5,2024-08-06 21:00:00
"Day",234.3125,74700.512,0.8374375,10.034375,1.60625,12.5,2024-08-07 05:00:00
"Night",0,74765.4095,0.93025,8.22000000000003,1.5625,9.5,2024-08-07 21:00:00
"Day",340.5,74822.5395,0.772,10.463125,1.575,12.5,2024-08-08 05:00:00
"Night",0,74928.453875,0.881,8.69125000000001,1.4875,9.5,2024-08-08 21:00:00
"Day",405.9375,75064.9685625,0.71725,11.853125,1.94375,12.5,2024-08-09 05:00:00
"Night",0,75244.236375,0.916625,10.01375,1.1875,9.5,2024-08-09 21:00:00
"Day",472.5625,75353.2329375,0.61875,14.91625,1.08125,12.5,2024-08-10 05:00:00
"Night",0,75408.97575,0.674625,13.63125,1.05,9.5,2024-08-10 21:00:00
"Day",441.6875,75306.6604375,0.6059375,16.830625,1.40625,12.5,2024-08-11 05:00:00
"Night",0,75137.57825,0.834625,13.61375,1.3875,9.5,2024-08-11 21:00:00
"Day",384.8125,74929.3298125,0.6363125,15.195625,2.0375,12.5,2024-08-12 05:00:00
"Night",0,74824.69075,0.8805,11.6925,1.3125,9.5,2024-08-12 21:00:00
"Day",265.5625,74683.901375,0.6863125,13.565,1.5,12.5,2024-08-13 05:00:00
"Night",0,74638.008875,0.6735,11.1425,2.7,9.5,2024-08-13 21:00:00
"Day",319.75,74716.9816875,0.622875,11.8925,2.45,12.5,2024-08-14 05:00:00
"Night",0,74870.4895,0.724375,9.78625000000002,1.85,9.5,2024-08-14 21:00:00
"Day",380.75,75005.1216875,0.626375,13.076875,1.3625,12.5,2024-08-15 05:00:00
"Night",0,75067.96575,0.673,11.1625,1.6125,9.5,2024-08-15 21:00:00
"Day",322.1875,74966.0073125,0.7206875,13.104375,1.725,12.5,2024-08-16 05:00:00
"Night",0,74857.77325,0.952,10.55125,0.9,9.5,2024-08-16 21:00:00
"Day",247.5,74624.532,0.87375,11.37375,1.125,12.5,2024-08-17 05:00:00
"Night",0,74347.710125,0.980375,8.74375000000002,0.85,9.5,2024-08-17 21:00:00
"Day",84.3125,74151.0135625,0.987125,6.41750000000003,2.28125,12.5,2024-08-18 05:00:00
"Night",0,74335.378875,0.999125,4.49125000000002,3.4125,9.5,2024-08-18 21:00:00
"Day",227.125,74483.6885625,0.975625,6.08437500000002,1.4625,12.5,2024-08-19 05:00:00
"Night",0,74529.068875,0.87575,7.97500000000002,1.4875,9.5,2024-08-19 21:00:00
"Day",392.3125,74482.7010625,0.7265,12.224375,1.70625,12.5,2024-08-20 05:00:00
"Night",0,74594.83075,0.98625,8.21125000000003,3.1375,9.5,2024-08-20 21:00:00
"Day",308.0625,74691.7754375,0.8928125,7.51500000000003,2.3,12.5,2024-08-21 05:00:00
"Night",0,74691.286375,0.867625,7.50250000000002,1.95,9.5,2024-08-21 21:00:00
