"DayNight","PSUM","RH","RSWR","TA","TSG","VW","timestamp"
"Day",0,0.7134375,111.84375,16.2,16.326875,3.0375,2024-07-23 05:00:00
"Night",0.16,0.910933333333333,0,13.7746666666667,15.6073333333333,1.49333333333333,2024-07-23 21:00:00
"Day",0,0.7603125,125.90625,14.84375,16.515,3.796875,2024-07-24 05:00:00
"Night",0,0.901,0,9.86600000000003,14.43,1.24666666666667,2024-07-24 21:00:00
"Day",0,0.61203125,153.28125,16.1715625,16.016875,3.25,2024-07-25 05:00:00
"Night",0,0.842266666666667,0,11.5933333333334,14.4993333333334,1.00666666666667,2024-07-25 21:00:00
"Day",0,0.6533125,151.4375,18.7,16.7503125,2.8375,2024-07-26 05:00:00
"Night",0,0.905866666666667,0,14.24,15.5973333333334,1.13333333333333,2024-07-26 21:00:00
"Day",0,0.58446875,129.625,20.81375,17.445625,1.484375,2024-07-27 05:00:00
"Night",0,0.846466666666667,0,14.8873333333334,15.8526666666667,0.62,2024-07-27 21:00:00
"Day",0.0375,0.8273125,131.875,17.2015625,17.3196875,4.546875,2024-07-28 05:00:00
"Night",0,0.956666666666667,0,12.3286666666667,15.4553333333334,0.966666666666667,2024-07-28 21:00:00
"Day",0,0.62665625,119.5,18.7371875,16.72375,2.446875,2024-07-29 05:00:00
"Night",0,0.8254,0,13.1426666666667,14.6753333333334,0.82,2024-07-29 21:00:00
"Day",0,0.4900625,146.84375,20.665,16.980625,1.684375,2024-07-30 05:00:00
"Night",0,0.69,0,14.354,14.7306666666667,0.74,2024-07-30 21:00:00
"Day",0.0375,0.50915625,129.75,20.5721875,16.9903125,1.8125,2024-07-31 05:00:00
"Night",0.08,0.902933333333333,0,12.9333333333334,15.3333333333334,0.806666666666667,2024-07-31 21:00:00
"Day",0.1875,0.69709375,94.34375,17.101875,16.4353125,2.1625,2024-08-01 05:00:00
"Night",0.08,0.958666666666667,0,11.6466666666667,14.936,0.786666666666667,2024-08-01 21:00:00
"Day",0.2625,0.825,62.84375,15.4234375,15.98625,1.08125,2024-08-02 05:00:00
"Night",0.32,0.9464,0,11.7933333333334,14.9753333333333,0.873333333333333,2024-08-02 21:00:00
"Day",0,0.7549375,78.15625,14.9984375,15.4825,2.253125,2024-08-03 05:00:00
"Night",0,0.901333333333333,0,11.1353333333334,14.1773333333334,0.74,2024-08-03 21:00:00
"Day",0,0.69459375,114.46875,15.8353125,15.6121875,3.178125,2024-08-04 05:00:00
"Night",0,0.919266666666667,0,13.6506666666667,15.1873333333334,2.00666666666667,2024-08-04 21:00:00
"Day",0,0.6839375,136.65625,17.69125,16.6909375,3.109375,2024-08-05 05:00:00
"Night",0,0.861466666666667,0,12.226,13.7706666666667,0.926666666666667,2024-08-05 21:00:00
"Day",0,0.58253125,107.3125,18.9915625,19.350625,2.69375,2024-08-06 05:00:00
"Night",0,0.814266666666667,0,14.8373333333334,15.8486666666667,0.82,2024-08-06 21:00:00
"Day",0.4875,0.778375,58.75,15.7584375,18.2103125,1.73125,2024-08-07 05:00:00
"Night",0,0.946666666666667,0,11.88,15.138,0.893333333333333,2024-08-07 21:00:00
"Day",0,0.77271875,79.40625,15.88125,17.9396875,3.50625,2024-08-08 05:00:00
"Night",0,0.929466666666667,0,11.9,14.51,1.17333333333333,2024-08-08 21:00:00
"Day",0,0.62903125,98.09375,18.0125,19.068125,2.85625,2024-08-09 05:00:00
"Night",0,0.857066666666667,0,13.69,15.7,1.04666666666667,2024-08-09 21:00:00
"Day",0,0.63228125,108.8125,19.6778125,20.275625,2.896875,2024-08-10 05:00:00
"Night",0,0.835666666666667,0,13.992,16.2,0.74,2024-08-10 21:00:00
"Day",0,0.5870625,115.25,21.7725,21.678125,2.3,2024-08-11 05:00:00
"Night",0,0.8586,0,16.0153333333334,18.1413333333334,0.76,2024-08-11 21:00:00
"Day",0,0.56896875,101.875,21.6025,21.6328125,2.6875,2024-08-12 05:00:00
"Night",0.08,0.854,0,16.378,18.172,1.33333333333333,2024-08-12 21:00:00
"Day",0.0375,0.66359375,92.1875,18.945,21.4846875,1.959375,2024-08-13 05:00:00
"Night",0,0.956133333333333,0,12.4093333333334,16.614,0.866666666666667,2024-08-13 21:00:00
"Day",0.15,0.6859375,68.78125,16.944375,19.76125,1.24375,2024-08-14 05:00:00
"Night",0,0.896066666666667,0,11.9493333333334,15.912,1.08,2024-08-14 21:00:00
"Day",0,0.618625,96.46875,18.4834375,19.878125,2.146875,2024-08-15 05:00:00
"Night",0,0.8466,0,12.7346666666667,15.8326666666667,0.666666666666667,2024-08-15 21:00:00
"Day",0,0.6513125,102.375,19.335,20.384375,3.134375,2024-08-16 05:00:00
"Night",0.32,0.832,0,15.91,17.7,1.20666666666667,2024-08-16 21:00:00
"Day",0.075,0.83221875,79,17.2740625,19.66625,3.396875,2024-08-17 05:00:00
