"DayNight","PSUM","RH","RSWR","TA","TSG","VW","timestamp"
"Day",0,0.89303125,51.375,9.73562500000002,17.0996875,1.4875,2024-07-23 05:00:00
"Night",0.586666666666667,0.973533333333333,0,7.92133333333335,8.90733333333336,1.38666666666667,2024-07-23 21:00:00
"Day",0.25,0.943,38.40625,7.47625000000002,13.303125,2.865625,2024-07-24 05:00:00
"Night",0,0.912,0,5.75666666666669,4.60333333333336,0.673333333333333,2024-07-24 21:00:00
"Day",0,0.5868125,68.5,11.735625,19.475625,1.021875,2024-07-25 05:00:00
"Night",0,0.809866666666667,0,9.82666666666669,7.71266666666669,0.493333333333333,2024-07-25 21:00:00
"Day",0,0.79715625,64.875,13.4240625,21.3725,0.940625,2024-07-26 05:00:00
"Night",0,0.9028,0,11.1826666666667,10.006,1.16666666666667,2024-07-26 21:00:00
"Day",0,0.76953125,48.4375,14.24,19.9990625,0.821875,2024-07-27 05:00:00
"Night",0.0266666666666667,0.865733333333333,0,11.8266666666667,10.412,0.92,2024-07-27 21:00:00
"Day",0.0125,0.877125,48.8125,12.4440625,19.52,1.590625,2024-07-28 05:00:00
"Night",0,0.921533333333333,0,10.4813333333334,8.33933333333335,0.693333333333333,2024-07-28 21:00:00
"Day",0,0.767125,60.09375,13.2546875,20.7096875,1.925,2024-07-29 05:00:00
"Night",0,0.749933333333333,0,11.7173333333334,8.47266666666669,1.10666666666667,2024-07-29 21:00:00
"Day",0,0.5170625,73.53125,15.9328125,25.77375,1.959375,2024-07-30 05:00:00
"Night",0,0.617866666666667,0,14.0126666666667,10.68,1.52666666666667,2024-07-30 21:00:00
"Day",0.1375,0.609375,52.375,15.0696875,22.70125,1.25,2024-07-31 05:00:00
"Night",0.08,0.713533333333333,0,11.4566666666667,9.85466666666668,0.78,2024-07-31 21:00:00
"Day",0.3625,0.74715625,48.53125,12.3765625,19.2896875,1.3125,2024-08-01 05:00:00
"Night",0.213333333333333,0.883333333333333,0,9.49000000000002,9.24333333333336,1.14,2024-08-01 21:00:00
"Day",0.3,0.89528125,24.46875,9.47000000000002,13.3284375,1.60625,2024-08-02 05:00:00
"Night",0.64,0.927133333333333,0,7.52666666666669,7.82800000000002,1.25333333333333,2024-08-02 21:00:00
"Day",0,0.89984375,37.34375,8.46625000000002,13.93,2.096875,2024-08-03 05:00:00
"Night",0,0.958733333333333,0,7.40933333333336,7.24133333333336,0.806666666666667,2024-08-03 21:00:00
"Day",0,0.8693125,42.21875,9.18812500000003,15.338125,1.290625,2024-08-04 05:00:00
