epoch,loss,lr,ohkm,val_loss,val_ohkm
0,0.025442538782954216,1e-04,0.021202119067311287,0.025630956515669823,0.02135912887752056
1,0.021551644429564476,1e-04,0.017959704622626305,0.02035103365778923,0.01695919595658779
2,0.019125625491142273,1e-04,0.015938015654683113,0.020949291065335274,0.017457742244005203
3,0.01728895492851734,1e-04,0.014407464303076267,0.01846429519355297,0.015386911109089851
4,0.0157423447817564,1e-04,0.013118617236614227,0.017820078879594803,0.014850066974759102
5,0.014118966646492481,1e-04,0.011765805073082447,0.019103871658444405,0.015919893980026245
6,0.012542386539280415,1e-04,0.010451988317072392,0.019600218161940575,0.016333511099219322
7,0.010613075457513332,1e-04,0.008844232186675072,0.022618794813752174,0.018848996609449387
8,0.009340732358396053,1e-04,0.007783946581184864,0.022237125784158707,0.018530938774347305
9,0.00812502857297659,1e-04,0.006770857144147158,0.019206248223781586,0.01600520871579647
10,0.006513047497719526,5e-05,0.005427541211247444,0.022674355655908585,0.01889529451727867
11,0.005592466797679663,5e-05,0.004660387523472309,0.0208902470767498,0.01740853860974312
12,0.005270605906844139,5e-05,0.00439217034727335,0.019752303138375282,0.016460252925753593
13,0.0046959505416452885,5e-05,0.003913292661309242,0.019922586157917976,0.016602154821157455
14,0.004131259396672249,5e-05,0.003442716784775257,0.01937146671116352,0.016142886132001877
