filename,camera,precision,recall,F1_score,TP,FP,FN
20240824141541.jpg,DIOPSIS-384,0.0,0.0,0.0,0,1,1
20240828184325.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240826232721.jpg,DIOPSIS-391,0.0,0.0,0.0,0,1,1
20240723083417.jpg,DIOPSIS-384,0.0,0.0,0.0,0,1,1
20240912213127.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240717185353.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240712162932.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,0
20240725185301.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,1
20240901100554.jpg,DIOPSIS-388,1.0,1.0,1.0,1,0,0
20240716125959.jpg,DIOPSIS-421,0.0,0.0,0.0,0,0,1
20240916084738.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240725120711.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240802154632.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,2
20240816210916.jpg,DIOPSIS-384,0.0,0.0,0.0,0,1,3
20240827122038.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,0
20240902224402.jpg,DIOPSIS-385,0.0,0.0,0.0,0,2,2
20240904090813.jpg,DIOPSIS-384,0.0,0.0,0.0,0,1,1
20240905230334.jpg,DIOPSIS-385,0.4,0.3333333333333333,0.3636363636363636,4,6,8
20240822122756.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,0
20240708122449.jpg,DIOPSIS-421,0.0,0.0,0.0,0,0,0
20240809215419.jpg,DIOPSIS-388,0.0,0.0,0.0,0,1,1
20240801094554.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240824200840.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,1
20240911101529.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240917111552.jpg,DIOPSIS-421,1.0,0.5,0.6666666666666666,1,0,1
20240920121232.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240830212402.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,1
20240715172551.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,1
20240830144852.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240711123721.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,1
20240821081059.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240720082316.jpg,DIOPSIS-421,0.0,0.0,0.0,0,0,0
20240812105524.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240718075613.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,1
20240813112504.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,1
20240918211445.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240728082729.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,1
20240810200352.jpg,DIOPSIS-391,1.0,0.3333333333333333,0.5,1,0,2
20240726143733.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240811195319.jpg,DIOPSIS-383,0.0,0.0,0.0,0,1,1
20240903144822.jpg,DIOPSIS-391,0.0,0.0,0.0,0,1,1
20240822142239.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240816174910.jpg,DIOPSIS-385,1.0,1.0,1.0,1,0,0
20240825101218.jpg,DIOPSIS-391,1.0,0.5,0.6666666666666666,1,0,1
20240816142251.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,0
20240906081346.jpg,DIOPSIS-421,0.0,0.0,0.0,0,0,0
20240826150816.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,1
20240721100013.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240918214452.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240809110729.jpg,DIOPSIS-421,0.0,0.0,0.0,0,1,1
20240809225021.jpg,DIOPSIS-389,0.75,0.5,0.6,3,1,3
20240710151950.jpg,DIOPSIS-421,0.0,0.0,0.0,0,0,0
20240710152155.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,1
20240730164254.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240911143445.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240807135218.jpg,DIOPSIS-384,0.0,0.0,0.0,0,2,3
20240903232718.jpg,DIOPSIS-387,0.5,0.5,0.5,1,1,1
20240909100856.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240828221031.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,1
