file_name,kingdom,phylum,class,order,score,highest_classification_rank,taxonomic_name_2,score_2,score_diff,year,month,day,hour,minute,second
/Volumes/Untitled 1/DIOPSIS-384_analyzed/photos/20240722/cropped/20240722163540_crop_0.jpg,Animalia,Arthropoda,Insecta,Hymenoptera,0.8482254147529602,order,Diptera,0.1080797687172889,0.7401456460356712,2024,7,22,16,35,40
/Volumes/Untitled 1/DIOPSIS-384_analyzed/photos/20240722/cropped/20240722164610_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.2761459946632385,order,Hemiptera,0.2039175778627395,0.0722284168004989,2024,7,22,16,46,10
/Volumes/Untitled 1/DIOPSIS-384_analyzed/photos/20240722/cropped/20240722165322_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9400633573532104,order,Coleoptera,0.0407242551445961,0.8993391022086143,2024,7,22,16,53,22
/Volumes/Untitled 1/DIOPSIS-384_analyzed/photos/20240722/cropped/20240722165338_crop_0.jpg,Animalia,Platyhelminthes,Cestoda,Diphyllobothriidea,0.4598924219608307,order,Coleoptera,0.2946995198726654,0.1651929020881652,2024,7,22,16,53,38
/Volumes/Untitled 1/DIOPSIS-384_analyzed/photos/20240722/cropped/20240722172710_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9275469183921814,order,Coleoptera,0.0346317887306213,0.8929151296615601,2024,7,22,17,27,10
/Volumes/Untitled 1/DIOPSIS-384_analyzed/photos/20240722/cropped/20240722173111_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.8799121379852295,order,Coleoptera,0.0716020390391349,0.8083100989460945,2024,7,22,17,31,11
/Volumes/Untitled 1/DIOPSIS-384_analyzed/photos/20240722/cropped/20240722173319_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9603424072265624,order,Coleoptera,0.0196592528373003,0.9406831543892622,2024,7,22,17,33,19
/Volumes/Untitled 1/DIOPSIS-384_analyzed/photos/20240722/cropped/20240722173402_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.974320113658905,order,Poales,0.0115000111982226,0.9628201024606824,2024,7,22,17,34,2
/Volumes/Untitled 1/DIOPSIS-384_analyzed/photos/20240722/cropped/20240722173431_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9252269268035888,order,Coleoptera,0.061511754989624,0.8637151718139648,2024,7,22,17,34,31
/Volumes/Untitled 1/DIOPSIS-384_analyzed/photos/20240722/cropped/20240722173500_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.6659677624702454,order,Hymenoptera,0.2439219504594802,0.4220458120107651,2024,7,22,17,35,0
/Volumes/Untitled 1/DIOPSIS-384_analyzed/photos/20240722/cropped/20240722173949_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9046573042869568,order,Coleoptera,0.0668361186981201,0.8378211855888367,2024,7,22,17,39,49
/Volumes/Untitled 1/DIOPSIS-384_analyzed/photos/20240722/cropped/20240722174028_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9143828749656676,order,Coleoptera,0.0379132032394409,0.8764696717262268,2024,7,22,17,40,28
/Volumes/Untitled 1/DIOPSIS-384_analyzed/photos/20240722/cropped/20240722174042_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9552200436592102,order,Coleoptera,0.0177965983748435,0.9374234452843666,2024,7,22,17,40,42
/Volumes/Untitled 1/DIOPSIS-384_analyzed/photos/20240722/cropped/20240722174200_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.981393814086914,order,Coleoptera,0.0055299964733421,0.975863817613572,2024,7,22,17,42,0
/Volumes/Untitled 1/DIOPSIS-384_analyzed/photos/20240722/cropped/20240722174459_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9574089646339417,order,Hymenoptera,0.0155877042561769,0.9418212603777648,2024,7,22,17,44,59
/Volumes/Untitled 1/DIOPSIS-384_analyzed/photos/20240722/cropped/20240722174709_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9248023629188538,order,Asterales,0.0328204520046711,0.8919819109141827,2024,7,22,17,47,9
/Volumes/Untitled 1/DIOPSIS-384_analyzed/photos/20240722/cropped/20240722175152_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9647356867790222,order,Coleoptera,0.0156422220170497,0.9490934647619724,2024,7,22,17,51,52
/Volumes/Untitled 1/DIOPSIS-384_analyzed/photos/20240722/cropped/20240722175319_crop_0.jpg,Animalia,Arthropoda,Insecta,Diptera,0.9093738198280334,order,Coleoptera,0.0609144382178783,0.8484593816101551,2024,7,22,17,53,19
